,target_var,condition_var,condition_val,prob
0,X79,X38,0,0.9064257740974426
1,X79,X38,1,0.9049741625785828
2,X19,X9,0,0.03824662044644356
3,X19,X9,1,0.037563614547252655
4,X83,X32,0,0.28445178270339966
5,X83,X32,1,0.2841995060443878
6,X75,X67,0,0.5047377347946167
7,X75,X67,1,0.4953688681125641
8,X40,X10,0,0.8055753111839294
9,X40,X10,1,0.8037388324737549
10,X48,X38,0,0.9242691993713379
11,X48,X38,1,0.9231874346733093
12,X35,X4,0,0.3906535804271698
13,X35,X4,1,0.3951036334037781
14,X36,X35,0,0.7883239984512329
15,X36,X35,1,0.7858789563179016
16,X56,X88,0,0.39236459136009216
17,X56,X88,1,0.39312130212783813
18,X24,X85,0,0.17528784275054932
19,X24,X85,1,0.17103888094425201
20,X34,X0,0,0.847690999507904
21,X34,X0,1,0.8380304574966431
22,X81,X66,0,0.8574994206428528
23,X81,X66,1,0.8619651794433594
24,X39,X47,0,0.682681143283844
25,X39,X47,1,0.6800016760826111
26,X4,X63,0,0.17103008925914764
27,X4,X63,1,0.1551177054643631
28,X88,X65,0,0.5222062468528748
29,X88,X65,1,0.5203145146369934
30,X34,X45,0,0.8493987917900085
31,X34,X45,1,0.83002769947052
32,X9,X26,0,0.11491533368825912
33,X9,X26,1,0.10676487535238266
34,X72,X35,0,0.1179773211479187
35,X72,X35,1,0.11764536798000336
36,X87,X11,0,0.6571047306060791
37,X87,X11,1,0.6573559045791626
38,X39,X22,0,0.6840620636940002
39,X39,X22,1,0.680040717124939
40,X94,X35,0,0.1663753241300583
41,X94,X35,1,0.16388143599033356
42,X9,X51,0,0.11171029508113861
43,X9,X51,1,0.11050780117511749
44,X93,X36,0,0.4311046302318573
45,X93,X36,1,0.42225056886672974
46,X15,X26,0,0.4228883683681488
47,X15,X26,1,0.42644456028938293
48,X19,X27,0,0.037577614188194275
49,X19,X27,1,0.03677355498075485
50,X90,X56,0,0.7814645767211914
51,X90,X56,1,0.7784240245819092
52,X39,X17,0,0.6802205443382263
53,X39,X17,1,0.6821805834770203
54,X14,X24,0,0.2163870930671692
55,X14,X24,1,0.2174389362335205
56,X85,X63,0,0.2996632754802704
57,X85,X63,1,0.30143874883651733
58,X24,X76,0,0.18231362104415894
59,X24,X76,1,0.1829167753458023
60,X52,X21,0,0.3856247365474701
61,X52,X21,1,0.3891324996948242
62,X50,X32,0,0.5447049140930176
63,X50,X32,1,0.5443718433380127
64,X93,X67,0,0.42437517642974854
65,X93,X67,1,0.41792601346969604
66,X25,X89,0,0.06029510125517845
67,X25,X89,1,0.05892656743526459
68,X42,X4,0,0.07747934758663177
69,X42,X4,1,0.07585570961236954
70,X22,X92,0,0.7181427478790283
