,target_var,condition_var,condition_val,prob
0,X66,X11,0,0.8775662183761597
1,X66,X11,1,0.9117394089698792
2,X7,X82,0,0.27209463715553284
3,X7,X82,1,0.24637305736541748
4,X18,X37,0,0.9961089491844177
5,X18,X37,1,0.9967643022537231
6,X11,X76,0,0.24136170744895935
7,X11,X76,1,0.247248113155365
8,X65,X58,0,0.3077363967895508
9,X65,X58,1,0.30314603447914124
10,X46,X97,0,0.3057173490524292
11,X46,X97,1,0.30301812291145325
12,X52,X82,0,0.40168827772140503
13,X52,X82,1,0.38947194814682007
14,X18,X41,0,0.9955154061317444
15,X18,X41,1,0.9954990744590759
16,X73,X36,0,0.036137815564870834
17,X73,X36,1,0.010071215219795704
18,X37,X2,0,0.2581150233745575
19,X37,X2,1,0.26451531052589417
20,X58,X10,0,0.9659354090690613
21,X58,X10,1,0.9680231809616089
22,X67,X61,0,0.8617704510688782
23,X67,X61,1,0.8591222763061523
24,X57,X39,0,0.19831877946853638
25,X57,X39,1,0.3529902994632721
26,X94,X20,0,0.15949757397174835
27,X94,X20,1,0.16293390095233917
28,X67,X26,0,0.8644944429397583
29,X67,X26,1,0.8718627095222473
30,X79,X88,0,0.932830274105072
31,X79,X88,1,0.9324566721916199
32,X82,X90,0,0.16131377220153809
33,X82,X90,1,0.6465933918952942
34,X22,X85,0,0.7570288181304932
35,X22,X85,1,0.806523323059082
36,X13,X18,0,0.03084634430706501
37,X13,X18,1,0.029401689767837524
38,X62,X86,0,0.6949366331100464
39,X62,X86,1,0.6930087208747864
40,X33,X90,0,0.2091256082057953
41,X33,X90,1,0.2185569703578949
42,X53,X97,0,0.5839322209358215
43,X53,X97,1,0.5840821266174316
44,X5,X28,0,0.5005545616149902
45,X5,X28,1,0.4716598093509674
46,X38,X64,0,0.6820244193077087
47,X38,X64,1,0.6705901622772217
48,X91,X90,0,0.5534188151359558
49,X91,X90,1,0.5454112887382507
50,X11,X84,0,0.24970461428165436
51,X11,X84,1,0.2428533285856247
52,X23,X87,0,0.28498703241348267
53,X23,X87,1,0.2823260426521301
54,X48,X16,0,0.9224254488945007
55,X48,X16,1,0.9259704351425171
56,X79,X93,0,0.916368842124939
57,X79,X93,1,0.9089698195457458
58,X2,X34,0,0.17941877245903015
59,X2,X34,1,0.19713151454925537
60,X75,X86,0,0.5095803737640381
61,X75,X86,1,0.4885164499282837
