,target_var,condition_var,condition_val,prob
0,X5,X59,0,0.012100477702915668
1,X5,X59,1,0.011445245705544949
2,X39,X96,0,0.6867534518241882
3,X39,X96,1,0.6914753913879395
4,X7,X36,0,0.12096737325191498
5,X7,X36,1,0.11936523020267487
6,X53,X50,0,0.0072457860223948956
7,X53,X50,1,0.007257429882884026
8,X35,X50,0,0.3751552402973175
9,X35,X50,1,0.39502546191215515
10,X17,X20,0,0.22116155922412872
11,X17,X20,1,0.22191086411476135
12,X65,X57,0,0.7191333174705505
13,X65,X57,1,0.6938934326171875
14,X21,X74,0,0.37656980752944946
15,X21,X74,1,0.3739798665046692
16,X12,X73,0,0.6123083233833313
17,X12,X73,1,0.611139714717865
18,X2,X29,0,0.4092901945114136
19,X2,X29,1,0.42187628149986267
20,X21,X9,0,0.3317621648311615
21,X21,X9,1,0.3594515323638916
22,X24,X5,0,0.03035234846174717
23,X24,X5,1,0.021817287430167198
24,X99,X18,0,0.2838868498802185
25,X99,X18,1,0.28612950444221497
26,X85,X25,0,0.9846012592315674
27,X85,X25,1,0.9818196296691895
28,X97,X48,0,0.27069196105003357
29,X97,X48,1,0.2730538845062256
30,X89,X36,0,0.6288121342658997
31,X89,X36,1,0.6285884380340576
32,X12,X16,0,0.6068471074104309
33,X12,X16,1,0.606396496295929
34,X65,X50,0,0.699962317943573
35,X65,X50,1,0.6989316344261169
36,X45,X11,0,0.7924903035163879
37,X45,X11,1,0.7849926352500916
38,X67,X23,0,0.13893048465251923
39,X67,X23,1,0.1410924643278122
40,X80,X19,0,0.47172799706459045
41,X80,X19,1,0.46338972449302673
42,X22,X17,0,0.7208687663078308
43,X22,X17,1,0.7162411212921143
44,X92,X78,0,0.9272597432136536
45,X92,X78,1,0.9279026389122009
46,X96,X15,0,0.8579050898551941
47,X96,X15,1,0.5541528463363647
48,X68,X6,0,0.36655229330062866
49,X68,X6,1,0.3673478364944458
50,X69,X35,0,0.2334970235824585
51,X69,X35,1,0.004968808498233557
52,X27,X77,0,0.7470622658729553
53,X27,X77,1,0.7499994039535522
54,X90,X57,0,0.9339429140090942
55,X90,X57,1,0.9313764572143555
56,X71,X3,0,0.01882595755159855
57,X71,X3,1,0.01757615990936756
58,X19,X35,0,0.6593096256256104
59,X19,X35,1,0.8182091116905212
60,X76,X40,0,0.39621323347091675
61,X76,X40,1,0.39964666962623596
62,X81,X51,0,0.489597886800766
63,X81,X51,1,0.41057878732681274
64,X96,X94,0,0.9398898482322693
65,X96,X94,1,0.1527123898267746
66,X25,X88,0,0.9813222885131836
67,X25,X88,1,0.9826956987380981
68,X9,X84,0,0.8745715618133545
69,X9,X84,1,0.874301552772522
70,X38,X75,0,0.8134796023368835
71,X38,X75,1,0.8107821345329285
72,X51,X57,0,0.9875659942626953
73,X51,X57,1,0.9875684380531311
74,X81,X58,0,0.4072277247905731
75,X81,X58,1,0.4663409888744354
76,X13,X30,0,0.009332782588899136
77,X13,X30,1,0.00927965808659792
78,X23,X79,0,0.8773460388183594
79,X23,X79,1,0.9025027751922607
80,X20,X54,0,0.8084907531738281
81,X20,X54,1,0.8144018650054932
82,X50,X95,0,0.055745482444763184
83,X50,X95,1,0.18354089558124542
84,X17,X73,0,0.22209683060646057
85,X17,X73,1,0.2154211699962616
86,X90,X50,0,0.9347404837608337
87,X90,X50,1,0.957459568977356
88,X1,X65,0,0.9112541079521179
89,X1,X65,1,0.9230354428291321
90,X51,X50,0,0.9901384115219116
91,X51,X50,1,0.9897375702857971
92,X23,X91,0,0.8952029943466187
93,X23,X91,1,0.8928110599517822
94,X42,X81,0,0.39401695132255554
95,X42,X81,1,0.4211139678955078
96,X17,X16,0,0.2252313494682312
97,X17,X16,1,0.22243033349514008
98,X54,X47,0,0.4092964231967926
99,X54,X47,1,0.517808735370636
100,X74,X63,0,0.3800908923149109
101,X74,X63,1,0.38144704699516296
102,X54,X92,0,0.4999525845050812
103,X54,X92,1,0.4826827347278595
104,X54,X37,0,0.4876783788204193
105,X54,X37,1,0.4761802554130554
106,X6,X60,0,0.27020275592803955
107,X6,X60,1,0.2692890167236328
108,X1,X71,0,0.9134728908538818
109,X1,X71,1,0.9063432216644287
110,X48,X93,0,0.9951915740966797
111,X48,X93,1,0.9949262142181396
112,X96,X27,0,0.7823711037635803
113,X96,X27,1,0.7804741263389587
114,X34,X35,0,0.8290848135948181
115,X34,X35,1,0.8570074439048767
116,X74,X43,0,0.35840436816215515
117,X74,X43,1,0.36365967988967896
118,X1,X46,0,0.8999667167663574
119,X1,X46,1,0.90806645154953
120,X72,X28,0,0.666150689125061
121,X72,X28,1,0.8042834401130676
122,X23,X87,0,0.8891770839691162
123,X23,X87,1,0.8921998143196106
124,X90,X27,0,0.9395239353179932
125,X90,X27,1,0.9353926777839661
126,X97,X74,0,0.27387887239456177
127,X97,X74,1,0.2706172466278076
128,X24,X95,0,0.02896919846534729
129,X24,X95,1,0.029957560822367668
130,X16,X26,0,0.3060595691204071
131,X16,X26,1,0.32777923345565796
132,X44,X66,0,0.11989716440439224
133,X44,X66,1,0.11995544284582138
134,X47,X0,0,0.11896711587905884
135,X47,X0,1,0.18874475359916687
136,X97,X9,0,0.26974618434906006
137,X97,X9,1,0.2693471908569336
138,X12,X2,0,0.6278331279754639
139,X12,X2,1,0.6215276718139648
140,X56,X84,0,0.9601721167564392
