,target_var,condition_var,condition_val,prob
0,X82,X14,0,0.6843084692955017
1,X82,X14,1,0.7026856541633606
2,X2,X5,0,0.8514664173126221
3,X2,X5,1,0.8530638813972473
4,X80,X23,0,0.006055768113583326
5,X80,X23,1,0.41668030619621277
6,X87,X76,0,0.04408057779073715
7,X87,X76,1,0.7920223474502563
8,X46,X1,0,0.9788846969604492
9,X46,X1,1,0.979552686214447
10,X68,X58,0,0.13992555439472198
11,X68,X58,1,0.11879260092973709
12,X42,X65,0,0.00042950070928782225
13,X42,X65,1,0.000541915011126548
14,X98,X65,0,0.3689330816268921
15,X98,X65,1,0.36787816882133484
16,X43,X86,0,0.8149222731590271
17,X43,X86,1,0.8230950832366943
18,X99,X3,0,0.9918683767318726
19,X99,X3,1,0.9929438233375549
20,X65,X37,0,0.0259084552526474
21,X65,X37,1,0.026376064866781235
22,X68,X93,0,0.12036246061325073
23,X68,X93,1,0.13442622125148773
24,X86,X75,0,0.17664788663387299
25,X86,X75,1,0.16371005773544312
26,X23,X1,0,0.6656414866447449
27,X23,X1,1,0.6744570136070251
28,X21,X82,0,0.21945184469223022
29,X21,X82,1,0.21676428616046906
30,X78,X14,0,0.038387611508369446
31,X78,X14,1,0.036341696977615356
32,X34,X54,0,0.3567849397659302
33,X34,X54,1,0.34934520721435547
34,X45,X43,0,0.3091740310192108
35,X45,X43,1,0.3493998050689697
36,X24,X16,0,0.9277299046516418
37,X24,X16,1,0.9283496141433716
38,X11,X38,0,0.2425464242696762
39,X11,X38,1,0.2274133563041687
40,X78,X84,0,0.035320088267326355
41,X78,X84,1,0.032580576837062836
42,X50,X31,0,0.08579795062541962
43,X50,X31,1,0.07958227396011353
44,X59,X56,0,0.05559162050485611
45,X59,X56,1,0.048475541174411774
46,X83,X72,0,0.8961694240570068
47,X83,X72,1,0.8969110250473022
48,X28,X89,0,0.04180603474378586
49,X28,X89,1,0.04197046160697937
50,X9,X37,0,0.5681984424591064
51,X9,X37,1,0.5689598917961121
52,X68,X23,0,0.11943361163139343
53,X68,X23,1,0.1320979744195938
54,X34,X81,0,0.3579794764518738
55,X34,X81,1,0.3597458302974701
56,X64,X47,0,0.5833677053451538
57,X64,X47,1,0.5674484372138977
58,X57,X43,0,4.522149174590595e-05
59,X57,X43,1,2.5274592189816758e-05
60,X28,X68,0,0.05552247166633606
61,X28,X68,1,0.05083543062210083
62,X2,X94,0,0.8630832433700562
63,X2,X94,1,0.8658879995346069
64,X81,X8,0,0.8436424136161804
65,X81,X8,1,0.8424496650695801
66,X77,X80,0,0.3928057849407196
67,X77,X80,1,0.3767191469669342
68,X79,X24,0,0.7945361733436584
69,X79,X24,1,0.798936665058136
70,X17,X40,0,0.8616926670074463
71,X17,X40,1,0.864604115486145
72,X26,X72,0,0.0750642940402031
73,X26,X72,1,0.09446603059768677
74,X46,X88,0,0.9734349846839905
75,X46,X88,1,0.9734054803848267
76,X94,X8,0,0.7149488925933838
77,X94,X8,1,0.6936849355697632
78,X28,X35,0,0.04299444332718849
79,X28,X35,1,0.04401760920882225
80,X42,X89,0,0.0005304561927914619
81,X42,X89,1,0.0005976534448564053
82,X8,X1,0,0.2763146758079529
83,X8,X1,1,0.27721092104911804
84,X58,X30,0,0.1441466212272644
85,X58,X30,1,0.1419338434934616
86,X98,X89,0,0.3861929178237915
87,X98,X89,1,0.3813502788543701
88,X52,X31,0,0.8162531852722168
89,X52,X31,1,0.8225461840629578
90,X66,X26,0,0.02959723398089409
91,X66,X26,1,0.028635608032345772
92,X23,X88,0,0.6667237877845764
93,X23,X88,1,0.7622437477111816
94,X82,X27,0,0.721733033657074
95,X82,X27,1,0.7068048715591431
96,X18,X26,0,0.537701427936554
97,X18,X26,1,0.5389121174812317
98,X42,X35,0,0.00027892307844012976
99,X42,X35,1,0.00032396329334005713
100,X55,X33,0,0.5175222754478455
101,X55,X33,1,0.5088329911231995
102,X85,X73,0,0.7898328900337219
103,X85,X73,1,0.7935290932655334
104,X71,X72,0,0.2930673062801361
105,X71,X72,1,0.29258599877357483
106,X98,X35,0,0.3719095289707184
107,X98,X35,1,0.36256182193756104
108,X83,X66,0,0.8921152353286743
109,X83,X66,1,0.8953227400779724
110,X91,X60,0,0.022539183497428894
111,X91,X60,1,0.02213311567902565
112,X87,X47,0,0.1448790282011032
113,X87,X47,1,0.1446189284324646
114,X51,X54,0,0.2793995440006256
115,X51,X54,1,0.25568199157714844
116,X63,X99,0,0.6760019063949585
117,X63,X99,1,0.6887778043746948
118,X90,X38,0,0.8969987630844116
119,X90,X38,1,0.8941341042518616
120,X78,X27,0,0.03766818717122078
121,X78,X27,1,0.03347218781709671
122,X14,X80,0,0.975802481174469
123,X14,X80,1,0.976324200630188
124,X2,X97,0,0.8440596461296082
125,X2,X97,1,0.8480504155158997
126,X37,X73,0,0.9545973539352417
127,X37,X73,1,0.9493958353996277
128,X25,X5,0,0.9870319366455078
129,X25,X5,1,0.9874609112739563
130,X26,X66,0,0.09856099635362625
131,X26,X66,1,0.07933241128921509
132,X89,X72,0,0.6440751552581787
133,X89,X72,1,0.6576371788978577
134,X96,X82,0,0.3045215904712677
135,X96,X82,1,0.3064761757850647
136,X16,X7,0,0.6496502757072449
137,X16,X7,1,0.6374928951263428
138,X63,X90,0,0.6819150447845459
139,X63,X90,1,0.6995744109153748
140,X68,X40,0,0.13882532715797424
141,X68,X40,1,0.1201004832983017
142,X72,X68,0,0.4175358712673187
143,X72,X68,1,0.4144812524318695
144,X8,X88,0,0.3015759289264679
145,X8,X88,1,0.30204376578330994
146,X11,X64,0,0.233004629611969
147,X11,X64,1,0.1987520158290863
148,X83,X16,0,0.8958439826965332
149,X83,X16,1,0.8985986709594727
150,X10,X22,0,0.17755699157714844
151,X10,X22,1,0.1932966411113739
152,X0,X48,0,0.4526906907558441
153,X0,X48,1,0.4589473009109497
154,X64,X41,0,0.5983843803405762
155,X64,X41,1,0.591314435005188
156,X22,X42,0,0.7863826751708984
157,X22,X42,1,0.7921280860900879
158,X71,X66,0,0.30176398158073425
159,X71,X66,1,0.29934754967689514
160,X35,X51,0,0.49258050322532654
161,X35,X51,1,0.4900330603122711
162,X15,X29,0,0.05034526810050011
163,X15,X29,1,0.046344563364982605
164,X26,X16,0,0.0975169837474823
165,X26,X16,1,0.08171504735946655
166,X82,X69,0,0.7090340852737427
167,X82,X69,1,0.7142324447631836
168,X6,X86,0,0.4805162847042084
169,X6,X86,1,0.5628634095191956
170,X0,X29,0,0.45416197180747986
171,X0,X29,1,0.45392462611198425
172,X66,X61,0,0.03074714168906212
173,X66,X61,1,0.02983144111931324
174,X12,X85,0,0.21149568259716034
175,X12,X85,1,0.2145623415708542
176,X25,X94,0,0.9885038733482361
177,X25,X94,1,0.9891620874404907
178,X40,X99,0,0.4099867045879364
179,X40,X99,1,0.41354838013648987
180,X55,X56,0,0.5039209723472595
181,X55,X56,1,0.491775780916214
182,X99,X71,0,0.9924964904785156
183,X99,X71,1,0.9927944540977478
184,X99,X74,0,0.9926220178604126
185,X99,X74,1,0.9930678606033325
186,X20,X87,0,0.3277716636657715
187,X20,X87,1,0.3422764837741852
188,X89,X66,0,0.643579363822937
189,X89,X66,1,0.6407122611999512
190,X78,X69,0,0.03940317779779434
191,X78,X69,1,0.03710406273603439
192,X25,X86,0,0.9875247478485107
193,X25,X86,1,0.9883648157119751
194,X40,X90,0,0.4257880449295044
195,X40,X90,1,0.4394015073776245
196,X67,X45,0,0.43427059054374695
197,X67,X45,1,0.4169255197048187
198,X10,X67,0,0.20599693059921265
199,X10,X67,1,0.18875351548194885
200,X10,X33,0,0.20784428715705872
201,X10,X33,1,0.20136748254299164
202,X49,X73,0,0.47654634714126587
203,X49,X73,1,0.46720191836357117
204,X4,X7,0,0.907377302646637
205,X4,X7,1,0.9203060269355774
206,X91,X49,0,0.018271734938025475
207,X91,X49,1,0.018041661009192467
208,X57,X60,0,2.391652924416121e-05
209,X57,X60,1,2.447030601615552e-05
210,X82,X65,0,0.6941125988960266
211,X82,X65,1,0.693976879119873
212,X71,X16,0,0.3222663998603821
213,X71,X16,1,0.23479263484477997
214,X66,X62,0,0.02682306058704853
215,X66,X62,1,0.02665954828262329
216,X58,X92,0,0.14693023264408112
217,X58,X92,1,0.1366509199142456
218,X87,X41,0,0.1618632823228836
219,X87,X41,1,0.19091707468032837
220,X22,X96,0,0.8053672909736633
221,X22,X96,1,0.8090642094612122
222,X90,X64,0,0.9022677540779114
223,X90,X64,1,0.90087890625
224,X76,X99,0,0.18887212872505188
225,X76,X99,1,0.19203369319438934
226,X46,X3,0,0.9752609133720398
227,X46,X3,1,0.9749767184257507
228,X3,X26,0,0.7337567210197449
229,X3,X26,1,0.7310758233070374
230,X2,X63,0,0.8554654121398926
231,X2,X63,1,0.8581688404083252
232,X89,X16,0,0.7368810176849365
233,X89,X16,1,0.6268537044525146
234,X67,X52,0,0.401530385017395
235,X67,X52,1,0.3977757394313812
236,X28,X98,0,0.03488066419959068
237,X28,X98,1,0.04890132322907448
238,X76,X90,0,0.20149631798267365
239,X76,X90,1,0.2031724900007248
240,X29,X82,0,0.9950684309005737
241,X29,X82,1,0.9956193566322327
242,X17,X11,0,0.8701881170272827
243,X17,X11,1,0.870373010635376
244,X16,X95,0,0.6430526971817017
245,X16,X95,1,0.6755426526069641
246,X25,X97,0,0.9882251024246216
247,X25,X97,1,0.9885696768760681
248,X85,X55,0,0.7993510365486145
249,X85,X55,1,0.7855007648468018
250,X73,X34,0,0.6891828179359436
251,X73,X34,1,0.6842343807220459
252,X73,X11,0,0.6833581924438477
253,X73,X11,1,0.6754168272018433
254,X42,X98,0,0.0003405552706681192
255,X42,X98,1,0.00035288793151266873
256,X1,X16,0,0.5716453790664673
257,X1,X16,1,0.5584485530853271
258,X57,X9,0,4.864866059506312e-05
259,X57,X9,1,4.530099613475613e-05
260,X82,X89,0,0.6998088359832764
261,X82,X89,1,0.707266092300415
262,X43,X76,0,0.8338050246238708
263,X43,X76,1,0.8380627036094666
264,X62,X68,0,0.21052907407283783
265,X62,X68,1,0.20999540388584137
266,X80,X34,0,0.2904564142227173
267,X80,X34,1,0.26889607310295105
268,X80,X11,0,0.3033900558948517
269,X80,X11,1,0.3128938376903534
270,X28,X39,0,0.058102983981370926
271,X28,X39,1,0.05312037095427513
272,X67,X31,0,0.40458807349205017
273,X67,X31,1,0.4002833962440491
274,X59,X75,0,0.0659167692065239
275,X59,X75,1,0.05141251161694527
276,X82,X68,0,0.7184022665023804
277,X82,X68,1,0.7159326076507568
278,X93,X4,0,0.25415700674057007
279,X93,X4,1,0.26835793256759644
280,X91,X3,0,0.022457849234342575
281,X91,X3,1,0.018494490534067154
282,X10,X56,0,0.1977146565914154
283,X10,X56,1,0.195907860994339
284,X47,X16,0,0.3541847765445709
285,X47,X16,1,0.3484024107456207
286,X17,X91,0,0.8650286793708801
287,X17,X91,1,0.8690641522407532
288,X85,X59,0,0.806014358997345
289,X85,X59,1,0.810739278793335
290,X78,X89,0,0.03606066480278969
291,X78,X89,1,0.034491006284952164
292,X82,X35,0,0.7228014469146729
293,X82,X35,1,0.7188575863838196
294,X39,X57,0,0.8562746644020081
295,X39,X57,1,0.8534488677978516
296,X15,X79,0,0.059226348996162415
297,X15,X79,1,0.05305205658078194
298,X53,X96,0,0.952293872833252
299,X53,X96,1,0.9527502655982971
300,X13,X64,0,0.2821689248085022
301,X13,X64,1,0.28368857502937317
302,X73,X91,0,0.6815001368522644
303,X73,X91,1,0.6720633506774902
304,X41,X65,0,0.11905641108751297
305,X41,X65,1,0.09851261228322983
306,X16,X70,0,0.6866276264190674
307,X16,X70,1,0.657511830329895
308,X84,X47,0,0.1010269820690155
309,X84,X47,1,0.09060904383659363
310,X85,X32,0,0.7819104790687561
