,target_var,condition_var,condition_val,prob
0,X1,X35,0,0.5583775639533997
1,X1,X35,1,0.4005762040615082
2,X30,X2,0,0.0006200040807016194
3,X30,X2,1,0.0007021801429800689
4,X63,X91,0,0.45570167899131775
5,X63,X91,1,0.44483089447021484
6,X95,X13,0,0.8970069289207458
7,X95,X13,1,0.9065024852752686
8,X78,X48,0,0.34561887383461
9,X78,X48,1,0.3462981581687927
10,X41,X99,0,0.3851029574871063
11,X41,X99,1,0.38561391830444336
12,X41,X85,0,0.3908163607120514
13,X41,X85,1,0.39309829473495483
14,X42,X13,0,0.6113853454589844
15,X42,X13,1,0.6329165101051331
16,X7,X95,0,0.7894135117530823
17,X7,X95,1,0.7824857234954834
18,X91,X60,0,0.4648083448410034
19,X91,X60,1,0.4559292793273926
20,X13,X65,0,0.003124804003164172
21,X13,X65,1,0.003501592669636011
22,X98,X78,0,0.047938864678144455
23,X98,X78,1,0.048196978867053986
24,X38,X56,0,0.004766818601638079
25,X38,X56,1,0.005806824658066034
26,X12,X99,0,0.030923813581466675
27,X12,X99,1,0.03152569383382797
28,X63,X4,0,0.42095011472702026
29,X63,X4,1,0.41009074449539185
30,X83,X42,0,0.5998189449310303
31,X83,X42,1,0.5882459878921509
32,X47,X93,0,0.010401184670627117
33,X47,X93,1,0.010609579272568226
34,X93,X99,0,0.7731675505638123
35,X93,X99,1,0.8159655332565308
36,X98,X25,0,0.05666955187916756
37,X98,X25,1,0.05792641639709473
38,X34,X61,0,0.30735132098197937
39,X34,X61,1,0.30794936418533325
40,X22,X84,0,0.7717050909996033
41,X22,X84,1,0.7702603340148926
42,X17,X60,0,0.48240435123443604
43,X17,X60,1,0.7103344202041626
44,X93,X85,0,0.777367889881134
45,X93,X85,1,0.799706220626831
46,X32,X12,0,0.5444343090057373
47,X32,X12,1,0.5443188548088074
48,X46,X22,0,0.5701801180839539
49,X46,X22,1,0.5493603944778442
50,X66,X35,0,0.5854893326759338
51,X66,X35,1,0.5210860967636108
52,X53,X61,0,0.65449458360672
53,X53,X61,1,0.6480333805084229
54,X52,X11,0,0.34207382798194885
55,X52,X11,1,0.3441549241542816
56,X2,X12,0,0.8849605917930603
57,X2,X12,1,0.8818232417106628
58,X21,X96,0,0.14554962515830994
59,X21,X96,1,0.1445067673921585
60,X90,X24,0,0.34470105171203613
61,X90,X24,1,0.6483352780342102
62,X35,X37,0,0.7116902470588684
63,X35,X37,1,0.7081467509269714
64,X15,X96,0,0.2895405888557434
65,X15,X96,1,0.2893752455711365
66,X19,X22,0,0.14530913531780243
67,X19,X22,1,0.13690583407878876
68,X75,X15,0,0.9732449054718018
69,X75,X15,1,0.9731650948524475
70,X28,X3,0,0.29594478011131287
71,X28,X3,1,0.3000260889530182
72,X38,X31,0,0.0037963197100907564
73,X38,X31,1,0.004536967258900404
74,X28,X52,0,0.29254260659217834
75,X28,X52,1,0.2980594038963318
76,X84,X20,0,0.04329701140522957
77,X84,X20,1,0.04428855702280998
78,X87,X53,0,0.9234834909439087
79,X87,X53,1,0.9236311316490173
80,X64,X42,0,0.6493621468544006
81,X64,X42,1,0.639596700668335
82,X72,X49,0,0.006382391322404146
83,X72,X49,1,0.006365478970110416
84,X29,X57,0,0.6085052490234375
85,X29,X57,1,0.4670708477497101
86,X23,X91,0,0.9698678255081177
87,X23,X91,1,0.969720721244812
88,X94,X26,0,0.3073677718639374
89,X94,X26,1,0.3119129538536072
90,X83,X63,0,0.5864261388778687
91,X83,X63,1,0.5790912508964539
92,X94,X1,0,0.2911359369754791
93,X94,X1,1,0.29838496446609497
94,X48,X58,0,0.05201995000243187
95,X48,X58,1,0.055852148681879044
96,X10,X37,0,0.9086247086524963
97,X10,X37,1,0.9185338616371155
98,X23,X4,0,0.9663993120193481
99,X23,X4,1,0.9656305313110352
100,X37,X41,0,0.9808598756790161
101,X37,X41,1,0.9805235266685486
102,X79,X40,0,0.46013230085372925
103,X79,X40,1,0.4540761113166809
104,X30,X19,0,0.0007349579827859998
105,X30,X19,1,0.0008683118503540754
106,X98,X86,0,0.050118595361709595
107,X98,X86,1,0.04901614785194397
108,X88,X43,0,0.5521621704101562
109,X88,X43,1,0.552155077457428
110,X76,X69,0,0.3855240046977997
111,X76,X69,1,0.3854241669178009
112,X9,X64,0,0.7731897830963135
113,X9,X64,1,0.7998552918434143
114,X52,X75,0,0.35050299763679504
115,X52,X75,1,0.35342952609062195
116,X16,X65,0,0.26649239659309387
117,X16,X65,1,0.27132242918014526
118,X14,X6,0,0.006097226869314909
119,X14,X6,1,0.0064157587476074696
120,X34,X36,0,0.30472660064697266
121,X34,X36,1,0.30776381492614746
122,X71,X12,0,0.612795889377594
123,X71,X12,1,0.6138416528701782
124,X64,X63,0,0.6374081969261169
125,X64,X63,1,0.6293202042579651
126,X80,X94,0,0.676131010055542
127,X80,X94,1,0.6782539486885071
128,X13,X44,0,0.001892009750008583
129,X13,X44,1,0.0022650202736258507
130,X49,X22,0,0.24331499636173248
131,X49,X22,1,0.24238735437393188
132,X81,X95,0,0.05182737484574318
133,X81,X95,1,0.05125024914741516
134,X23,X89,0,0.956030547618866
135,X23,X89,1,0.968142032623291
136,X83,X61,0,0.6095700263977051
137,X83,X61,1,0.6013277173042297
138,X53,X36,0,0.6591228246688843
139,X53,X36,1,0.6520553827285767
140,X95,X65,0,0.9381856918334961
141,X95,X65,1,0.9362481236457825
142,X32,X27,0,0.5448633432388306
143,X32,X27,1,0.5438540577888489
144,X70,X40,0,0.5480539202690125
145,X70,X40,1,0.524621844291687
146,X75,X50,0,0.9792876243591309
147,X75,X50,1,0.9766585230827332
148,X53,X71,0,0.654218316078186
149,X53,X71,1,0.644736647605896
150,X57,X87,0,0.6247318387031555
151,X57,X87,1,0.6384448409080505
152,X6,X11,0,0.9527277946472168
153,X6,X11,1,0.9545205235481262
154,X76,X43,0,0.3866652846336365
155,X76,X43,1,0.3862195909023285
156,X2,X27,0,0.8861608505249023
157,X2,X27,1,0.8823745846748352
158,X45,X1,0,0.9256707429885864
159,X45,X1,1,0.922523558139801
