,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X71,X9,0,0.5708347239352796,0.4941449000193651,0.875,86.85714285714286,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X76', 'X16', 'X2', 'X99', 'X30', 'X28', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X0', 'X47', 'X78', 'X23', 'X59', 'X17', 'X60', 'X75', 'X83', 'X81', 'X4', 'X95', 'X19', 'X88', 'X63', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X66', 'X50', 'X84', 'X21', 'X69', 'X26', 'X42', 'X36', 'X85', 'X44', 'X32', 'X92', 'X46', 'X77', 'X93', 'X64', 'X43', 'X65', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X3', 'X38', 'X5', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X33', 'X18', 'X72', 'X10', 'X6']"
1,X71,X9,1,0.49958725001761195,0.49940551017333307,1.0,87.625,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X16', 'X76', 'X2', 'X99', 'X30', 'X28', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X47', 'X0', 'X78', 'X23', 'X59', 'X17', 'X60', 'X75', 'X83', 'X4', 'X81', 'X95', 'X19', 'X88', 'X63', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X66', 'X50', 'X84', 'X21', 'X69', 'X26', 'X42', 'X36', 'X85', 'X44', 'X32', 'X92', 'X77', 'X46', 'X93', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X3', 'X38', 'X5', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X18', 'X33', 'X72', 'X10', 'X6']"
2,X66,X3,0,0.6395299562386104,0.3227985800613704,0.875,86.14285714285714,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X16', 'X2', 'X99', 'X30', 'X28', 'X9', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X47', 'X0', 'X78', 'X23', 'X59', 'X17', 'X60', 'X75', 'X83', 'X4', 'X81', 'X95', 'X19', 'X88', 'X63', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X50', 'X84', 'X21', 'X71', 'X69', 'X26', 'X42', 'X36', 'X85', 'X44', 'X32', 'X92', 'X46', 'X77', 'X93', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X38', 'X5', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X33', 'X18', 'X72', 'X10', 'X6']"
3,X66,X3,1,0.3641251544468105,0.33686900315112817,1.0,86.125,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X16', 'X2', 'X99', 'X30', 'X28', 'X9', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X0', 'X47', 'X78', 'X23', 'X59', 'X17', 'X60', 'X75', 'X83', 'X4', 'X81', 'X95', 'X19', 'X88', 'X63', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X50', 'X84', 'X21', 'X71', 'X69', 'X26', 'X42', 'X36', 'X44', 'X85', 'X32', 'X92', 'X77', 'X46', 'X93', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X5', 'X38', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X33', 'X18', 'X72', 'X10', 'X6']"
4,X9,X42,0,0.5264808144420385,0.3605739226792968,1.0,86.75,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X16', 'X76', 'X2', 'X99', 'X30', 'X28', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X47', 'X0', 'X23', 'X78', 'X59', 'X17', 'X60', 'X75', 'X83', 'X4', 'X81', 'X95', 'X19', 'X88', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X50', 'X84', 'X21', 'X71', 'X69', 'X26', 'X36', 'X44', 'X85', 'X32', 'X92', 'X77', 'X46', 'X93', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X3', 'X5', 'X38', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X33', 'X18', 'X72', 'X10', 'X6']"
5,X9,X42,1,0.8962104065077645,0.017346647752949702,0.875,86.71428571428571,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X76', 'X16', 'X2', 'X99', 'X30', 'X28', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X47', 'X0', 'X78', 'X23', 'X59', 'X17', 'X60', 'X75', 'X83', 'X4', 'X81', 'X95', 'X19', 'X88', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X66', 'X84', 'X21', 'X71', 'X69', 'X26', 'X36', 'X44', 'X85', 'X32', 'X92', 'X46', 'X77', 'X93', 'X64', 'X43', 'X65', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X3', 'X5', 'X38', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X18', 'X33', 'X72', 'X10', 'X6']"
6,X63,X42,0,0.9730618596076965,0.0027829647283400026,1.0,87.625,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X16', 'X76', 'X2', 'X99', 'X30', 'X28', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X0', 'X47', 'X78', 'X23', 'X59', 'X17', 'X60', 'X75', 'X83', 'X81', 'X4', 'X95', 'X19', 'X88', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X50', 'X84', 'X21', 'X69', 'X26', 'X36', 'X44', 'X85', 'X32', 'X92', 'X77', 'X46', 'X93', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X3', 'X38', 'X5', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X33', 'X18', 'X72', 'X10', 'X6']"
7,X63,X42,1,0.07517391536384821,0.0039027337611567694,1.0,86.375,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X16', 'X76', 'X2', 'X99', 'X30', 'X28', 'X9', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X24', 'X82', 'X29', 'X47', 'X0', 'X78', 'X23', 'X59', 'X17', 'X60', 'X75', 'X83', 'X4', 'X81', 'X95', 'X19', 'X88', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X50', 'X84', 'X21', 'X69', 'X26', 'X36', 'X85', 'X44', 'X32', 'X92', 'X77', 'X46', 'X93', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X3', 'X38', 'X5', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X18', 'X33', 'X72', 'X10', 'X6']"
8,X50,X17,0,0.37876802682876587,0.0,0.125,87.0,1.0,"['X70', 'X61', 'X96', 'X12', 'X57', 'X27', 'X79', 'X34', 'X89', 'X20', 'X39', 'X94', 'X73', 'X76', 'X16', 'X2', 'X86', 'X99', 'X41', 'X80', 'X30', 'X28', 'X58', 'X84', 'X35', 'X53', 'X45', 'X87', 'X21', 'X11', 'X71', 'X69', 'X47', 'X0', 'X26', 'X23', 'X78', 'X36', 'X85', 'X44', 'X32', 'X92', 'X59', 'X46', 'X77', 'X93', 'X60', 'X75', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X83', 'X52', 'X81', 'X4', 'X95', 'X19', 'X88', 'X25', 'X31', 'X38', 'X5', 'X90', 'X8', 'X55', 'X62', 'X98', 'X13', 'X1', 'X7', 'X40', 'X14', 'X48', 'X33', 'X18', 'X67', 'X72', 'X97', 'X15', 'X74', 'X49', 'X37', 'X6']"
9,X50,X17,1,0.9991990923881531,2.771615982055664e-05,0.25,87.5,1.0,"['X61', 'X96', 'X12', 'X57', 'X27', 'X89', 'X39', 'X94', 'X73', 'X16', 'X76', 'X2', 'X99', 'X30', 'X28', 'X9', 'X58', 'X35', 'X53', 'X45', 'X87', 'X11', 'X0', 'X47', 'X78', 'X23', 'X59', 'X60', 'X75', 'X83', 'X4', 'X81', 'X95', 'X19', 'X88', 'X63', 'X54', 'X90', 'X55', 'X98', 'X13', 'X40', 'X67', 'X97', 'X15', 'X74', 'X49', 'X37', 'X70', 'X79', 'X34', 'X20', 'X86', 'X41', 'X80', 'X66', 'X84', 'X21', 'X71', 'X69', 'X26', 'X36', 'X44', 'X85', 'X32', 'X92', 'X77', 'X46', 'X93', 'X64', 'X43', 'X65', 'X51', 'X56', 'X91', 'X68', 'X52', 'X25', 'X31', 'X38', 'X5', 'X8', 'X62', 'X1', 'X7', 'X14', 'X48', 'X22', 'X18', 'X33', 'X72', 'X6']"
