,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X25,X32,0,0.1533987062672774,0.08353636430727188,1.0,52.333333333333336,0.0,"['X14', 'X93', 'X29', 'X53', 'X36', 'X48', 'X88', 'X65', 'X16', 'X27', 'X86', 'X33', 'X61', 'X58', 'X44', 'X97', 'X21', 'X49', 'X47', 'X6', 'X50', 'X35', 'X0', 'X10', 'X92', 'X39', 'X1', 'X78', 'X89', 'X80', 'X55', 'X77', 'X52', 'X23', 'X41', 'X38', 'X71', 'X67', 'X7', 'X30', 'X94', 'X20', 'X46', 'X51', 'X31', 'X4', 'X5', 'X12', 'X60', 'X98', 'X74', 'X82', 'X85', 'X37', 'X72', 'X26', 'X18', 'X90', 'X76', 'X63', 'X42', 'X15', 'X11', 'X9', 'X22', 'X83', 'X45', 'X73', 'X95', 'X69', 'X2', 'X91', 'X24', 'X59', 'X34', 'X13']"
1,X25,X32,1,0.4294951756795247,0.08384220336608517,1.0,42.666666666666664,0.0,"['X14', 'X79', 'X29', 'X56', 'X48', 'X36', 'X17', 'X65', 'X16', 'X27', 'X33', 'X61', 'X58', 'X97', 'X21', 'X49', 'X47', 'X6', 'X50', 'X35', 'X0', 'X10', 'X92', 'X39', 'X1', 'X78', 'X89', 'X80', 'X55', 'X77', 'X52', 'X41', 'X38', 'X71', 'X67', 'X7', 'X94', 'X20', 'X46', 'X51', 'X31', 'X4', 'X5', 'X12', 'X60', 'X74', 'X82', 'X62', 'X85', 'X37', 'X26', 'X76', 'X63', 'X15', 'X11', 'X22', 'X83', 'X40', 'X95', 'X69', 'X2', 'X91', 'X24', 'X34', 'X13']"
2,X37,X76,0,0.41448962440093357,0.40363159515843194,1.0,4.0,1.0,"['X85', 'X1', 'X38', 'X69', 'X63', 'X67', 'X7', 'X88']"
3,X37,X76,1,0.16363975405693054,0.014335306136284335,1.0,3.3333333333333335,1.0,"['X38', 'X42', 'X35', 'X7', 'X0', 'X88']"
4,X12,X93,0,0.9591562549273173,0.03632207185575244,1.0,8.333333333333334,1.0,"['X52', 'X17', 'X20', 'X46', 'X92', 'X5', 'X95', 'X2', 'X91', 'X44', 'X34', 'X13']"
5,X12,X93,1,0.024110765506823856,0.0025918358778378317,1.0,9.0,0.6666666666666666,"['X14', 'X72', 'X52', 'X26', 'X36', 'X44', 'X94', 'X20', 'X46', 'X45', 'X5', 'X95', 'X73', 'X2', 'X91', 'X24', 'X34', 'X13']"
6,X6,X35,0,0.9312780896822611,0.02486700737675697,1.0,5.0,1.0,"['X85', 'X21', 'X27', 'X83', 'X40', 'X32', 'X60', 'X80', 'X55', 'X97']"
7,X6,X35,1,3.661704355787757e-05,2.1121091271050054e-05,1.0,4.666666666666667,1.0,"['X85', 'X27', 'X83', 'X32', 'X42', 'X80', 'X97', 'X15']"
8,X93,X77,0,0.009833189037938913,0.000582987034217832,1.0,3.3333333333333335,0.6666666666666666,"['X20', 'X52', 'X95', 'X2', 'X44', 'X34', 'X13']"
9,X93,X77,1,0.9711796840031942,0.008445676157545753,1.0,5.666666666666667,0.6666666666666666,"['X14', 'X94', 'X20', 'X46', 'X72', 'X92', 'X26', 'X45', 'X5', 'X73', 'X2', 'X98', 'X91', 'X36', 'X17', 'X13']"
10,X76,X37,0,0.5739021102587382,0.20700441231219974,1.0,13.0,0.3333333333333333,"['X25', 'X41', 'X38', 'X70', 'X48', 'X7', 'X88', 'X65', 'X27', 'X46', 'X31', 'X5', 'X60', 'X12', 'X58', 'X97', 'X82', 'X85', 'X47', 'X6', 'X63', 'X42', 'X50', 'X0', 'X15', 'X22', 'X92', 'X83', 'X1', 'X40', 'X69', 'X80', 'X55']"
11,X76,X37,1,0.08407860497633617,0.03419862705565434,1.0,2.6666666666666665,1.0,"['X70', 'X69', 'X1', 'X88', 'X38']"
12,X21,X8,0,0.012846230529248714,0.009003786765542369,1.0,30.333333333333332,0.0,"['X14', 'X93', 'X79', 'X29', 'X53', 'X48', 'X88', 'X65', 'X27', 'X86', 'X33', 'X61', 'X58', 'X44', 'X97', 'X49', 'X47', 'X6', 'X50', 'X35', 'X0', 'X10', 'X92', 'X1', 'X78', 'X89', 'X80', 'X55', 'X52', 'X23', 'X25', 'X38', 'X71', 'X67', 'X7', 'X30', 'X94', 'X46', 'X31', 'X5', 'X60', 'X98', 'X82', 'X85', 'X72', 'X26', 'X18', 'X76', 'X63', 'X42', 'X15', 'X11', 'X22', 'X40', 'X69', 'X2', 'X91', 'X59', 'X34']"
13,X21,X8,1,0.750307540098826,0.13361117890431526,1.0,5.666666666666667,0.6666666666666666,"['X27', 'X25', 'X40', 'X32', 'X60', 'X35', 'X55', 'X97']"
14,X62,X64,0,0.999984860420227,0.0,1.0,1.0,1.0,['X67']
15,X62,X64,1,0.07018078118562698,0.0,1.0,1.0,1.0,['X67']
16,X62,X88,0,0.9999582767486572,0.0,1.0,1.0,1.0,['X67']
17,X62,X88,1,0.02272452414035797,0.0,1.0,1.0,1.0,['X67']
18,X88,X29,0,0.9801525870958964,0.0024438662586687,1.0,21.333333333333332,0.6666666666666666,"['X14', 'X93', 'X52', 'X38', 'X67', 'X48', 'X7', 'X36', 'X17', 'X65', 'X94', 'X19', 'X46', 'X27', 'X20', 'X51', 'X31', 'X4', 'X5', 'X32', 'X60', 'X12', 'X33', 'X61', 'X74', 'X58', 'X97', 'X82', 'X85', 'X37', 'X21', 'X49', 'X47', 'X26', 'X91', 'X90', 'X76', 'X6', 'X63', 'X42', 'X35', 'X0', 'X15', 'X10', 'X11', 'X92', 'X1', 'X69', 'X78', 'X2', 'X89', 'X80', 'X55', 'X77', 'X24', 'X34', 'X13']"
19,X88,X29,1,0.3164757011303057,0.44386922495208586,1.0,8.0,1.0,"['X85', 'X37', 'X25', 'X76', 'X38', 'X6', 'X63', 'X67', 'X42', 'X35', 'X0', 'X7', 'X1', 'X60', 'X80', 'X55', 'X97', 'X82']"
20,X40,X0,0,0.00028512846135223907,0.00017954889111143185,1.0,2.6666666666666665,0.0,"['X46', 'X47', 'X58', 'X5', 'X65', 'X71']"
21,X40,X0,1,0.3127985706511633,0.22116638998788873,1.0,8.0,0.3333333333333333,"['X18', 'X25', 'X6', 'X90', 'X71', 'X63', 'X50', 'X48', 'X7', 'X65', 'X64', 'X11', 'X46', 'X27', 'X5', 'X60', 'X61', 'X55', 'X58', 'X97']"
22,X8,X83,0,0.9890628258387247,0.0022903337013096656,1.0,4.333333333333333,1.0,"['X85', 'X27', 'X32', 'X42', 'X80', 'X35', 'X97', 'X15']"
23,X8,X83,1,0.7177938570578893,0.36497892234334606,1.0,6.0,1.0,"['X85', 'X27', 'X25', 'X32', 'X42', 'X80', 'X35', 'X97', 'X15']"
24,X90,X8,0,0.9817177454630533,0.014383420770023024,1.0,5.333333333333333,0.6666666666666666,"['X27', 'X6', 'X25', 'X40', 'X32', 'X60', 'X35', 'X55', 'X97']"
25,X90,X8,1,0.05083795264363289,0.011935468589166115,1.0,8.666666666666666,1.0,"['X18', 'X42', 'X50', 'X35', 'X48', 'X7', 'X65', 'X11', 'X27', 'X40', 'X5', 'X32', 'X60', 'X61', 'X55', 'X58', 'X97']"
26,X70,X40,0,0.7098989486694336,0.3461182176329644,1.0,10.666666666666666,0.6666666666666666,"['X21', 'X85', 'X37', 'X47', 'X6', 'X90', 'X38', 'X71', 'X67', 'X48', 'X65', 'X64', 'X15', 'X11', 'X27', 'X46', 'X92', 'X31', 'X1', 'X5', 'X69', 'X32', 'X60', 'X61', 'X80', 'X91', 'X58', 'X97', 'X82']"
27,X70,X40,1,0.9320987264315287,0.018592196241942284,1.0,6.333333333333333,1.0,"['X46', 'X47', 'X1', 'X76', 'X69', 'X71', 'X58', 'X65']"
28,X40,X70,0,0.33315867282120354,0.4710813099795746,1.0,9.0,0.3333333333333333,"['X77', 'X47', 'X52', 'X26', 'X71', 'X42', 'X36', 'X65', 'X94', 'X20', 'X46', 'X92', 'X1', 'X5', 'X12', 'X91', 'X58', 'X24', 'X97', 'X34', 'X13']"
29,X40,X70,1,0.6661791232569764,0.47095669157190695,1.0,8.666666666666666,1.0,"['X37', 'X47', 'X76', 'X38', 'X71', 'X42', 'X35', 'X7', 'X88', 'X65', 'X22', 'X1', 'X5', 'X69', 'X58']"
30,X88,X62,0,0.968723714351654,0.01170532042715777,1.0,10.333333333333334,1.0,"['X85', 'X37', 'X6', 'X76', 'X38', 'X63', 'X67', 'X42', 'X50', 'X48', 'X0', 'X7', 'X27', 'X69', 'X80', 'X82']"
31,X88,X62,1,0.007871496491134167,0.003278537128272843,1.0,6.333333333333333,1.0,"['X85', 'X37', 'X76', 'X38', 'X69', 'X63', 'X67', 'X42', 'X1', 'X35', 'X7']"
32,X89,X40,0,0.08054704343279202,0.07863054369191436,1.0,19.333333333333332,0.6666666666666666,"['X14', 'X23', 'X52', 'X79', 'X41', 'X29', 'X71', 'X53', 'X48', 'X7', 'X17', 'X65', 'X36', 'X94', 'X16', 'X27', 'X46', 'X20', 'X31', 'X4', 'X32', 'X60', 'X33', 'X61', 'X98', 'X74', 'X58', 'X97', 'X82', 'X21', 'X85', 'X49', 'X47', 'X26', 'X90', 'X76', 'X63', 'X42', 'X50', 'X35', 'X10', 'X11', 'X22', 'X92', 'X83', 'X1', 'X69', 'X95', 'X2', 'X80', 'X55', 'X77', 'X24', 'X34', 'X13']"
33,X89,X40,1,0.0163831136499842,0.004389279091786003,1.0,7.666666666666667,1.0,"['X37', 'X47', 'X76', 'X71', 'X35', 'X7', 'X65', 'X46', 'X22', 'X1', 'X5', 'X69', 'X58', 'X97', 'X34']"
34,X8,X21,0,0.013602727325633168,0.009512787951555936,1.0,5.333333333333333,0.6666666666666666,"['X27', 'X25', 'X40', 'X32', 'X60', 'X35', 'X55', 'X97']"
35,X8,X21,1,0.9819175203641256,0.010121951523891273,1.0,3.0,0.3333333333333333,"['X32', 'X25', 'X27', 'X97']"
36,X49,X67,0,0.1903545210758845,0.09031481732814166,1.0,4.666666666666667,0.6666666666666666,"['X18', 'X79', 'X38', 'X95', 'X53', 'X63', 'X29', 'X55', 'X97', 'X64']"
37,X49,X67,1,1.6056285100300254e-05,1.114767990888496e-05,1.0,4.333333333333333,1.0,"['X18', 'X53', 'X61', 'X55', 'X59', 'X64']"
38,X88,X64,0,0.12704453291371465,0.09133536401935785,1.0,6.333333333333333,0.3333333333333333,"['X85', 'X49', 'X79', 'X76', 'X38', 'X63', 'X67', 'X53', 'X59', 'X61', 'X55', 'X97', 'X7']"
39,X88,X64,1,0.591605171871682,0.41952608810779374,1.0,16.666666666666668,0.6666666666666666,"['X14', 'X93', 'X79', 'X38', 'X71', 'X67', 'X53', 'X48', 'X7', 'X20', 'X27', 'X32', 'X60', 'X61', 'X98', 'X44', 'X97', 'X82', 'X85', 'X37', 'X49', 'X6', 'X90', 'X63', 'X42', 'X50', 'X0', 'X15', 'X8', 'X83', 'X40', 'X95', 'X80', 'X55', 'X59']"
40,X44,X17,0,0.0020527356585565335,0.0024886221881644105,1.0,7.333333333333333,1.0,"['X14', 'X72', 'X93', 'X23', 'X36', 'X30', 'X9', 'X20', 'X45', 'X86', 'X73', 'X95', 'X2', 'X12', 'X98', 'X77', 'X24']"
41,X44,X17,1,0.9894924958546957,0.011852763131913602,1.0,11.666666666666666,0.6666666666666666,"['X14', 'X77', 'X52', 'X23', 'X29', 'X36', 'X65', 'X15', 'X10', 'X94', 'X20', 'X46', 'X92', 'X31', 'X4', 'X95', 'X73', 'X78', 'X2', 'X12', 'X98', 'X91', 'X58', 'X24', 'X34', 'X13']"
42,X64,X29,0,0.5764016707738241,0.006823362261340678,1.0,2.0,0.6666666666666666,"['X67', 'X18', 'X77', 'X95', 'X53']"
43,X64,X29,1,0.004185679368674755,0.002262680291080792,1.0,27.0,1.0,"['X14', 'X52', 'X23', 'X79', 'X38', 'X53', 'X67', 'X48', 'X7', 'X30', 'X65', 'X94', 'X20', 'X27', 'X46', 'X31', 'X4', 'X5', 'X86', 'X32', 'X12', 'X61', 'X98', 'X74', 'X58', 'X44', 'X82', 'X85', 'X21', 'X72', 'X47', 'X26', 'X18', 'X90', 'X6', 'X76', 'X63', 'X42', 'X50', 'X55', 'X0', 'X15', 'X10', 'X11', 'X22', 'X92', 'X83', 'X45', 'X1', 'X95', 'X69', 'X78', 'X73', 'X89', 'X91', 'X77', 'X24', 'X34', 'X13']"
44,X62,X18,0,0.9999848206837972,1.3638339282457442e-06,1.0,4.333333333333333,1.0,"['X38', 'X95', 'X63', 'X67', 'X53', 'X61', 'X55', 'X59']"
45,X62,X18,1,0.043062460608780384,0.02161351286656208,1.0,6.333333333333333,0.6666666666666666,"['X49', 'X79', 'X38', 'X95', 'X53', 'X67', 'X63', 'X61', 'X55', 'X97', 'X59']"
46,X93,X12,0,0.9450401465098063,0.030289555301077395,1.0,4.666666666666667,1.0,"['X14', 'X20', 'X72', 'X45', 'X73', 'X2', 'X77']"
47,X93,X12,1,0.005257958623891075,0.0011296991964404358,1.0,7.666666666666667,1.0,"['X26', 'X71', 'X36', 'X65', 'X94', 'X20', 'X46', 'X19', 'X92', 'X4', 'X5', 'X40', 'X2', 'X34', 'X13']"
48,X6,X8,0,9.593770907182867e-06,3.862964705490694e-07,1.0,5.666666666666667,1.0,"['X27', 'X25', 'X40', 'X60', 'X55', 'X97']"
