,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X53,X9,0,0.0013492858270183206,0.0,1.0,4.0,1.0,"['X34', 'X27', 'X38', 'X14']"
1,X53,X9,1,0.010308178141713142,0.0,1.0,2.0,1.0,"['X27', 'X38']"
2,X97,X50,0,0.2213473916053772,0.0,1.0,13.0,1.0,"['X35', 'X19', 'X25', 'X16', 'X98', 'X91', 'X81', 'X48', 'X0', 'X95', 'X43', 'X18', 'X61']"
3,X97,X50,1,0.972115159034729,0.0,1.0,5.0,1.0,"['X35', 'X16', 'X0', 'X91', 'X81']"
4,X70,X45,0,0.0009881278965622187,0.0,1.0,8.0,0.0,"['X66', 'X67', 'X14', 'X98', 'X69', 'X74', 'X94', 'X28']"
5,X70,X45,1,0.0028021896723657846,0.0,1.0,5.0,0.0,"['X66', 'X14', 'X98', 'X28', 'X74']"
6,X65,X70,0,0.9997414946556091,0.0,1.0,4.0,1.0,"['X66', 'X67', 'X69', 'X74']"
7,X65,X70,1,0.22999122738838196,0.0,1.0,1.0,1.0,['X74']
8,X21,X62,0,0.9998471736907959,0.0,1.0,60.0,1.0,"['X86', 'X56', 'X35', 'X19', 'X41', 'X27', 'X30', 'X85', 'X72', 'X71', 'X45', 'X3', 'X17', 'X94', 'X1', 'X8', 'X92', 'X66', 'X83', 'X25', 'X76', 'X68', 'X39', 'X38', 'X69', 'X84', 'X59', 'X78', 'X50', 'X36', 'X47', 'X46', 'X73', 'X9', 'X10', 'X81', 'X57', 'X2', 'X99', 'X43', 'X82', 'X77', 'X14', 'X23', 'X15', 'X91', 'X34', 'X24', 'X32', 'X74', 'X33', 'X12', 'X93', 'X87', 'X20', 'X51', 'X28', 'X95', 'X90', 'X29']"
9,X21,X62,1,0.9959139227867126,0.0,1.0,8.0,1.0,"['X9', 'X14', 'X70', 'X22', 'X29', 'X36', 'X6', 'X46']"
10,X26,X74,0,0.999993085861206,0.0,1.0,10.0,0.0,"['X56', 'X39', 'X80', 'X34', 'X38', 'X29', 'X8', 'X36', 'X47', 'X46']"
11,X26,X74,1,0.0003239052020944655,0.0,1.0,12.0,1.0,"['X67', 'X83', 'X14', 'X98', 'X34', 'X69', 'X45', 'X17', 'X36', 'X28', 'X18', 'X46']"
12,X9,X26,0,0.6102468371391296,0.0,1.0,4.0,1.0,"['X46', 'X70', 'X14', 'X36']"
13,X9,X26,1,0.2002289891242981,0.0,1.0,2.0,1.0,"['X14', 'X70']"
14,X79,X71,0,0.999998927116394,0.0,1.0,14.0,1.0,"['X83', 'X76', 'X77', 'X98', 'X25', 'X23', 'X10', 'X24', 'X48', 'X3', 'X17', 'X89', 'X87', 'X99']"
15,X79,X71,1,1.884054836409632e-05,0.0,1.0,2.0,1.0,"['X23', 'X76']"
16,X80,X21,0,0.9258430004119873,0.0,1.0,6.0,0.0,"['X9', 'X29', 'X36', 'X6', 'X22', 'X46']"
17,X80,X21,1,0.0010644373251125216,0.0,1.0,62.0,0.0,"['X86', 'X35', 'X27', 'X30', 'X85', 'X72', 'X71', 'X45', 'X17', 'X3', 'X94', 'X65', 'X1', 'X0', 'X6', 'X8', 'X92', 'X66', 'X83', 'X25', 'X76', 'X39', 'X49', 'X68', 'X69', 'X84', 'X60', 'X89', 'X78', 'X50', 'X36', 'X46', 'X61', 'X67', 'X9', 'X73', 'X22', 'X10', 'X81', 'X57', 'X2', 'X99', 'X43', 'X82', 'X77', 'X98', 'X23', 'X15', 'X91', 'X34', 'X24', 'X74', 'X12', 'X93', 'X51', 'X20', 'X87', 'X28', 'X95', 'X90', 'X18', 'X29']"
18,X49,X7,0,0.0008963242289610207,0.0,1.0,51.0,1.0,"['X86', 'X56', 'X35', 'X41', 'X27', 'X19', 'X30', 'X85', 'X72', 'X3', 'X17', 'X94', 'X8', 'X6', 'X92', 'X66', 'X83', 'X76', 'X39', 'X69', 'X60', 'X89', 'X78', 'X59', 'X36', 'X47', 'X73', 'X67', 'X10', 'X22', 'X81', 'X40', 'X2', 'X99', 'X21', 'X79', 'X43', 'X77', 'X98', 'X23', 'X15', 'X24', 'X74', 'X33', 'X12', 'X87', 'X20', 'X28', 'X95', 'X90', 'X18']"
