,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X93,X12,0,0.6798787415027618,0.131100809567565,1.0,14.5,0.0,"['X26', 'X82', 'X37', 'X31', 'X87', 'X99', 'X58', 'X2', 'X69', 'X3', 'X75', 'X97', 'X66', 'X72', 'X60', 'X46', 'X52', 'X61', 'X15', 'X13', 'X64', 'X25', 'X11', 'X44', 'X98', 'X1', 'X70', 'X51', 'X94', 'X10', 'X24', 'X59', 'X42', 'X92', 'X63', 'X79', 'X91', 'X20', 'X67', 'X77', 'X78', 'X19', 'X35', 'X33', 'X39', 'X55', 'X48', 'X38', 'X83', 'X96', 'X22']"
1,X93,X12,1,0.02629646100103855,0.001295098326697926,1.0,2.0,0.0,"['X78', 'X22']"
2,X89,X40,0,0.19482359290122986,0.028130948126100907,0.75,58.666666666666664,0.0,"['X82', 'X58', 'X2', 'X3', 'X69', 'X54', 'X66', 'X60', 'X72', 'X57', 'X52', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X36', 'X51', 'X27', 'X24', 'X9', 'X63', 'X6', 'X67', 'X68', 'X56', 'X77', 'X86', 'X32', 'X78', 'X35', 'X83', 'X33', 'X39', 'X55', 'X48', 'X96', 'X22', 'X26', 'X73', 'X41', 'X31', 'X43', 'X81', 'X12', 'X87', 'X99', 'X8', 'X75', 'X74', 'X47', 'X97', 'X46', 'X80', 'X23', 'X61', 'X64', 'X34', 'X1', 'X53', 'X94', 'X10', 'X42', 'X59', 'X76', 'X92', 'X79', 'X91', 'X20', 'X5', 'X19', 'X93', 'X38', 'X18']"
3,X89,X40,1,0.22322678938508034,0.03837243406959689,1.0,61.75,0.0,"['X82', 'X58', 'X2', 'X69', 'X3', 'X54', 'X66', 'X60', 'X72', 'X57', 'X52', 'X49', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X36', 'X51', 'X27', 'X24', 'X9', 'X63', 'X6', 'X67', 'X68', 'X56', 'X77', 'X86', 'X32', 'X78', 'X83', 'X35', 'X33', 'X39', 'X55', 'X48', 'X88', 'X96', 'X22', 'X26', 'X37', 'X41', 'X73', 'X31', 'X12', 'X81', 'X43', 'X87', 'X99', 'X8', 'X75', 'X74', 'X47', 'X97', 'X46', 'X80', 'X23', 'X61', 'X64', 'X34', 'X1', 'X53', 'X94', 'X10', 'X42', 'X59', 'X76', 'X92', 'X79', 'X85', 'X91', 'X20', 'X5', 'X19', 'X38', 'X18']"
4,X64,X62,0,0.12000447674654424,0.06408906393337407,1.0,25.75,0.25,"['X82', 'X2', 'X58', 'X69', 'X3', 'X40', 'X54', 'X66', 'X72', 'X49', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X70', 'X51', 'X27', 'X24', 'X9', 'X63', 'X67', 'X68', 'X77', 'X78', 'X35', 'X33', 'X39', 'X55', 'X48', 'X96', 'X22', 'X26', 'X73', 'X37', 'X41', 'X31', 'X12', 'X81', 'X87', 'X8', 'X75', 'X74', 'X47', 'X97', 'X46', 'X80', 'X61', 'X1', 'X94', 'X10', 'X42', 'X59', 'X92', 'X79', 'X91', 'X20', 'X0', 'X5', 'X19', 'X93', 'X38', 'X18']"
5,X64,X62,1,0.20485162059776485,0.15965005027444448,1.0,24.25,0.5,"['X82', 'X2', 'X58', 'X69', 'X3', 'X54', 'X66', 'X72', 'X57', 'X52', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X70', 'X51', 'X24', 'X9', 'X63', 'X67', 'X68', 'X77', 'X78', 'X35', 'X83', 'X33', 'X39', 'X55', 'X48', 'X96', 'X22', 'X26', 'X41', 'X31', 'X81', 'X12', 'X87', 'X99', 'X75', 'X74', 'X47', 'X97', 'X46', 'X61', 'X1', 'X94', 'X10', 'X42', 'X59', 'X76', 'X92', 'X79', 'X91', 'X20', 'X0', 'X19', 'X38', 'X18']"
6,X37,X76,0,0.3375651389360428,0.01100236331652604,1.0,23.75,0.5,"['X82', 'X2', 'X58', 'X69', 'X3', 'X54', 'X66', 'X72', 'X52', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X51', 'X27', 'X63', 'X6', 'X67', 'X77', 'X78', 'X33', 'X39', 'X55', 'X48', 'X18', 'X96', 'X22', 'X26', 'X12', 'X81', 'X87', 'X99', 'X75', 'X74', 'X47', 'X97', 'X46', 'X61', 'X64', 'X94', 'X10', 'X92', 'X79', 'X20', 'X0', 'X19', 'X93', 'X38', 'X83']"
7,X37,X76,1,0.3496895506978035,0.020540954159762325,1.0,32.5,0.5,"['X82', 'X2', 'X58', 'X69', 'X3', 'X40', 'X54', 'X66', 'X60', 'X72', 'X57', 'X49', 'X52', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X36', 'X51', 'X27', 'X24', 'X9', 'X63', 'X6', 'X67', 'X68', 'X77', 'X78', 'X35', 'X33', 'X39', 'X17', 'X55', 'X48', 'X88', 'X96', 'X22', 'X26', 'X41', 'X31', 'X12', 'X81', 'X87', 'X99', 'X75', 'X74', 'X47', 'X97', 'X46', 'X80', 'X61', 'X64', 'X1', 'X90', 'X94', 'X10', 'X42', 'X59', 'X92', 'X79', 'X91', 'X20', 'X19', 'X93', 'X38', 'X83']"
8,X70,X40,0,0.8788389414548874,0.023381853924011518,1.0,46.75,0.0,"['X82', 'X2', 'X58', 'X3', 'X69', 'X54', 'X66', 'X72', 'X57', 'X52', 'X49', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X51', 'X27', 'X24', 'X9', 'X63', 'X6', 'X67', 'X68', 'X77', 'X78', 'X35', 'X83', 'X33', 'X39', 'X55', 'X48', 'X96', 'X22', 'X26', 'X37', 'X41', 'X31', 'X81', 'X12', 'X87', 'X99', 'X8', 'X75', 'X74', 'X47', 'X97', 'X46', 'X80', 'X61', 'X64', 'X1', 'X94', 'X10', 'X42', 'X59', 'X76', 'X92', 'X79', 'X91', 'X20', 'X5', 'X19', 'X93', 'X38', 'X18']"
9,X70,X40,1,0.7150774374604225,0.2750257254771174,1.0,49.75,0.0,"['X82', 'X2', 'X58', 'X3', 'X69', 'X54', 'X66', 'X72', 'X60', 'X52', 'X49', 'X15', 'X13', 'X25', 'X11', 'X44', 'X98', 'X36', 'X51', 'X27', 'X24', 'X9', 'X63', 'X6', 'X67', 'X68', 'X77', 'X78', 'X35', 'X33', 'X17', 'X39', 'X55', 'X48', 'X18', 'X88', 'X96', 'X22', 'X26', 'X73', 'X41', 'X37', 'X31', 'X43', 'X81', 'X87', 'X99', 'X75', 'X74', 'X47', 'X97', 'X46', 'X61', 'X64', 'X1', 'X90', 'X53', 'X94', 'X10', 'X42', 'X59', 'X76', 'X92', 'X79', 'X91', 'X20', 'X0', 'X5', 'X19', 'X93', 'X38', 'X83']"
