,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X65,X66,0,0.5164435505867004,0.0,1.0,2.0,0.0,"['X92', 'X7']"
1,X65,X66,1,0.8125428557395935,0.0,1.0,23.0,0.0,"['X12', 'X34', 'X79', 'X19', 'X6', 'X98', 'X69', 'X29', 'X67', 'X42', 'X92', 'X52', 'X48', 'X54', 'X88', 'X7', 'X3', 'X82', 'X53', 'X45', 'X57', 'X72', 'X18']"
2,X79,X63,0,0.0022469887044280767,0.0,1.0,69.0,0.0,"['X12', 'X70', 'X97', 'X23', 'X77', 'X69', 'X46', 'X58', 'X10', 'X62', 'X78', 'X48', 'X54', 'X7', 'X3', 'X84', 'X93', 'X71', 'X30', 'X49', 'X35', 'X73', 'X2', 'X32', 'X89', 'X17', 'X6', 'X19', 'X83', 'X24', 'X42', 'X80', 'X15', 'X20', 'X1', 'X95', 'X18', 'X47', 'X60', 'X34', 'X27', 'X98', 'X75', 'X26', 'X9', 'X4', 'X28', 'X82', 'X51', 'X94', 'X86', 'X45', 'X43', 'X31', 'X72', 'X13', 'X21', 'X39', 'X41', 'X99', 'X29', 'X50', 'X8', 'X67', 'X52', 'X0', 'X81', 'X56', 'X85']"
3,X79,X63,1,9.974047861760482e-05,0.0,1.0,65.0,1.0,"['X70', 'X97', 'X23', 'X77', 'X69', 'X46', 'X58', 'X10', 'X62', 'X48', 'X78', 'X54', 'X88', 'X7', 'X3', 'X84', 'X93', 'X71', 'X30', 'X49', 'X35', 'X73', 'X2', 'X32', 'X17', 'X19', 'X6', 'X83', 'X24', 'X44', 'X42', 'X80', 'X15', 'X1', 'X18', 'X47', 'X60', 'X34', 'X27', 'X98', 'X75', 'X9', 'X26', 'X4', 'X28', 'X82', 'X51', 'X94', 'X86', 'X45', 'X72', 'X31', 'X13', 'X39', 'X29', 'X50', 'X8', 'X67', 'X52', 'X56', 'X37', 'X0', 'X81', 'X85', 'X53']"
4,X92,X37,0,0.8789616823196411,0.0,1.0,48.0,1.0,"['X60', 'X70', 'X23', 'X77', 'X98', 'X75', 'X9', 'X26', 'X10', 'X62', 'X78', 'X48', 'X7', 'X3', 'X28', 'X84', 'X51', 'X94', 'X93', 'X33', 'X30', 'X49', 'X45', 'X57', 'X31', 'X35', 'X73', 'X32', 'X2', 'X13', 'X83', 'X24', 'X39', 'X61', 'X44', 'X67', 'X42', 'X50', 'X8', 'X29', 'X52', 'X56', 'X55', 'X0', 'X81', 'X53', 'X18', 'X47']"
5,X92,X37,1,0.46255484223365784,0.0,1.0,58.0,1.0,"['X60', 'X97', 'X23', 'X77', 'X27', 'X98', 'X69', 'X46', 'X58', 'X9', 'X26', 'X4', 'X10', 'X62', 'X48', 'X78', 'X54', 'X7', 'X3', 'X82', 'X51', 'X71', 'X14', 'X93', 'X36', 'X33', 'X94', 'X49', 'X35', 'X45', 'X31', 'X72', 'X73', 'X32', 'X2', 'X17', 'X6', 'X19', 'X83', 'X39', 'X41', 'X24', 'X44', 'X29', 'X50', 'X67', 'X8', 'X80', 'X15', 'X52', 'X0', 'X81', 'X56', 'X55', 'X85', 'X53', 'X1', 'X18']"
6,X33,X16,0,0.8792209029197693,0.0,1.0,27.0,0.0,"['X12', 'X60', 'X97', 'X21', 'X77', 'X69', 'X46', 'X61', 'X50', 'X9', 'X92', 'X10', 'X62', 'X78', 'X54', 'X88', 'X7', 'X0', 'X20', 'X56', 'X81', 'X51', 'X93', 'X86', 'X30', 'X45', 'X35']"
7,X33,X16,1,0.9741371870040894,0.0,1.0,64.0,1.0,"['X12', 'X97', 'X23', 'X77', 'X69', 'X46', 'X58', 'X10', 'X62', 'X48', 'X78', 'X54', 'X7', 'X3', 'X84', 'X93', 'X14', 'X36', 'X71', 'X30', 'X49', 'X57', 'X35', 'X73', 'X2', 'X32', 'X89', 'X17', 'X19', 'X6', 'X83', 'X24', 'X42', 'X92', 'X1', 'X18', 'X47', 'X60', 'X34', 'X98', 'X75', 'X26', 'X82', 'X28', 'X51', 'X94', 'X86', 'X45', 'X31', 'X72', 'X13', 'X21', 'X39', 'X41', 'X61', 'X29', 'X8', 'X50', 'X67', 'X56', 'X0', 'X81', 'X85', 'X53']"
8,X63,X79,0,0.99945467710495,0.0,1.0,63.0,1.0,"['X60', 'X97', 'X34', 'X23', 'X27', 'X77', 'X98', 'X75', 'X69', 'X46', 'X58', 'X9', 'X26', 'X10', 'X62', 'X78', 'X48', 'X54', 'X88', 'X3', 'X82', 'X28', 'X84', 'X71', 'X94', 'X36', 'X93', 'X51', 'X30', 'X86', 'X45', 'X35', 'X57', 'X31', 'X72', 'X73', 'X2', 'X32', 'X89', 'X17', 'X13', 'X19', 'X6', 'X83', 'X39', 'X24', 'X41', 'X44', 'X29', 'X50', 'X8', 'X92', 'X67', 'X80', 'X15', 'X99', 'X0', 'X55', 'X56', 'X85', 'X53', 'X1', 'X47']"
9,X63,X79,1,0.0027001092676073313,0.0,1.0,56.0,1.0,"['X60', 'X12', 'X70', 'X97', 'X23', 'X27', 'X77', 'X75', 'X69', 'X46', 'X58', 'X10', 'X62', 'X48', 'X1', 'X54', 'X88', 'X7', 'X3', 'X28', 'X51', 'X71', 'X94', 'X84', 'X30', 'X57', 'X35', 'X72', 'X73', 'X32', 'X17', 'X89', 'X13', 'X19', 'X6', 'X83', 'X39', 'X99', 'X24', 'X61', 'X41', 'X8', 'X29', 'X92', 'X80', 'X42', 'X15', 'X0', 'X81', 'X55', 'X20', 'X56', 'X85', 'X95', 'X18', 'X47']"
