n_steps,epoch,train_loss
500,0.0,1.148
1000,0.01,1.0731
1500,0.01,1.058
2000,0.01,1.0476
2500,0.02,1.0467
3000,0.02,1.0456
3500,0.03,1.0364
4000,0.03,1.0132
4500,0.03,1.0089
5000,0.04,1.008
5500,0.04,1.0067
6000,0.04,1.0056
6500,0.05,1.0048
7000,0.05,1.0043
7500,0.06,1.0042
8000,0.06,1.004
8500,0.06,1.0033
9000,0.07,1.002
9500,0.07,1.0003
10000,0.07,0.9984
10500,0.08,0.9978
11000,0.08,0.9968
11500,0.09,0.9964
12000,0.09,0.9958
12500,0.09,0.9953
13000,0.1,0.9941
13500,0.1,0.993
14000,0.1,0.9918
14500,0.11,0.9906
15000,0.11,0.9891
15500,0.12,0.9872
16000,0.12,0.9851
16500,0.12,0.9844
17000,0.13,0.9824
17500,0.13,0.9811
18000,0.13,0.98
18500,0.14,0.979
19000,0.14,0.9782
19500,0.14,0.9774
20000,0.15,0.9764
20500,0.15,0.9749
21000,0.16,0.9738
21500,0.16,0.9722
22000,0.16,0.9715
22500,0.17,0.9695
23000,0.17,0.9685
23500,0.17,0.967
24000,0.18,0.9666
24500,0.18,0.9656
25000,0.19,0.9647
25500,0.19,0.9636
26000,0.19,0.9632
26500,0.2,0.961
27000,0.2,0.9609
27500,0.2,0.9593
28000,0.21,0.9591
28500,0.21,0.958
29000,0.22,0.9568
29500,0.22,0.9554
30000,0.22,0.9542
30500,0.23,0.9542
31000,0.23,0.9522
31500,0.23,0.9511
32000,0.24,0.95
32500,0.24,0.9488
33000,0.25,0.9474
33500,0.25,0.9467
34000,0.25,0.9457
34500,0.26,0.9452
35000,0.26,0.9438
35500,0.26,0.9425
36000,0.27,0.9414
36500,0.27,0.9411
37000,0.27,0.9401
37500,0.28,0.9396
38000,0.28,0.9367
38500,0.29,0.9368
39000,0.29,0.9338
39500,0.29,0.934
40000,0.3,0.9327
40500,0.3,0.931
41000,0.3,0.9305
41500,0.31,0.9297
42000,0.31,0.9281
42500,0.32,0.9271
43000,0.32,0.9271
43500,0.32,0.9253
44000,0.33,0.9239
44500,0.33,0.923
45000,0.33,0.921
45500,0.34,0.9194
46000,0.34,0.9185
46500,0.35,0.9172
47000,0.35,0.916
47500,0.35,0.914
48000,0.36,0.912
48500,0.36,0.9119
49000,0.36,0.9112
49500,0.37,0.9089
50000,0.37,0.9089
50500,0.38,0.9081
51000,0.38,0.9066
51500,0.38,0.9059
52000,0.39,0.9057
52500,0.39,0.9038
53000,0.39,0.9034
53500,0.4,0.9025
54000,0.4,0.9017
54500,0.4,0.9006
55000,0.41,0.8998
55500,0.41,0.9003
56000,0.42,0.8986
56500,0.42,0.8988
57000,0.42,0.8975
57500,0.43,0.8962
58000,0.43,0.8955
58500,0.43,0.8948
59000,0.44,0.8936
59500,0.44,0.8929
60000,0.45,0.8931
60500,0.45,0.8925
61000,0.45,0.8916
61500,0.46,0.8906
62000,0.46,0.8908
62500,0.46,0.8887
63000,0.47,0.8881
63500,0.47,0.8878
