n_steps,epoch,train_loss
500,0.04,1.1727
1000,0.08,1.011
1500,0.11,0.9625
2000,0.15,0.9056
2500,0.19,0.8643
3000,0.23,0.837
3500,0.27,0.8142
4000,0.31,0.7975
4500,0.34,0.7855
5000,0.38,0.7726
5500,0.42,0.7613
6000,0.46,0.7518
6500,0.5,0.7388
7000,0.53,0.731
7500,0.57,0.7239
8000,0.61,0.7158
8500,0.65,0.707
9000,0.69,0.7041
9500,0.73,0.6944
10000,0.76,0.6955
10500,0.8,0.693
11000,0.84,0.6869
11500,0.88,0.6826
12000,0.92,0.6819
12500,0.95,0.6778
13000,0.99,0.676
13500,1.03,0.6712
14000,1.07,0.6684
14500,1.11,0.6652
15000,1.14,0.6689
15500,1.18,0.6631
16000,1.22,0.661
16500,1.26,0.6583
17000,1.3,0.6587
17500,1.34,0.6583
18000,1.37,0.6524
18500,1.41,0.6557
19000,1.45,0.6508
19500,1.49,0.6496
20000,1.53,0.6482
20500,1.56,0.6495
21000,1.6,0.6493
21500,1.64,0.6474
22000,1.68,0.6478
22500,1.72,0.6469
23000,1.76,0.646
23500,1.79,0.6425
24000,1.83,0.642
24500,1.87,0.645
25000,1.91,0.6418
25500,1.95,0.6425
26000,1.98,0.6393
26500,2.02,0.6396
27000,2.06,0.6364
27500,2.1,0.6386
28000,2.14,0.6345
28500,2.18,0.6337
29000,2.21,0.6348
29500,2.25,0.6353
30000,2.29,0.6378
30500,2.33,0.6339
31000,2.37,0.6369
31500,2.4,0.6347
32000,2.44,0.6336
32500,2.48,0.6349
33000,2.52,0.6367
33500,2.56,0.6308
34000,2.6,0.6343
34500,2.63,0.6326
35000,2.67,0.6329
35500,2.71,0.632
36000,2.75,0.633
36500,2.79,0.6308
37000,2.82,0.6287
37500,2.86,0.6273
38000,2.9,0.6265
38500,2.94,0.6279
39000,2.98,0.6318
39500,3.02,0.6284
40000,3.05,0.6292
40500,3.09,0.6245
41000,3.13,0.6285
41500,3.17,0.6274
42000,3.21,0.6253
42500,3.24,0.6231
43000,3.28,0.6288
43500,3.32,0.6268
44000,3.36,0.6258
44500,3.4,0.6251
45000,3.43,0.6251
45500,3.47,0.6259
46000,3.51,0.6252
46500,3.55,0.6259
47000,3.59,0.6229
47500,3.63,0.6256
48000,3.66,0.6278
48500,3.7,0.6213
49000,3.74,0.623
49500,3.78,0.6259
50000,3.82,0.6219
50500,3.85,0.6243
51000,3.89,0.6223
51500,3.93,0.6212
52000,3.97,0.6212
52500,4.01,0.6225
53000,4.05,0.6203
53500,4.08,0.6201
54000,4.12,0.6211
54500,4.16,0.6209
55000,4.2,0.6195
55500,4.24,0.6199
56000,4.27,0.6205
56500,4.31,0.6205
57000,4.35,0.6232
57500,4.39,0.6181
58000,4.43,0.6211
58500,4.47,0.6207
59000,4.5,0.6203
59500,4.54,0.6211
