n_steps,epoch,train_loss
500,0.03,1.1703
1000,0.06,1.026
1500,0.09,1.0015
2000,0.12,0.973
2500,0.15,0.9283
3000,0.18,0.895
3500,0.21,0.8731
4000,0.24,0.8553
4500,0.27,0.8466
5000,0.31,0.8389
5500,0.34,0.8294
6000,0.37,0.8226
6500,0.4,0.819
7000,0.43,0.8172
7500,0.46,0.8104
8000,0.49,0.807
8500,0.52,0.803
9000,0.55,0.795
9500,0.58,0.7898
10000,0.61,0.7808
10500,0.64,0.7804
11000,0.67,0.7738
11500,0.7,0.7723
12000,0.73,0.7698
12500,0.76,0.7646
13000,0.79,0.7589
13500,0.82,0.7574
14000,0.86,0.7501
14500,0.89,0.7518
15000,0.92,0.7496
15500,0.95,0.75
16000,0.98,0.7447
16500,1.01,0.7431
17000,1.04,0.7409
17500,1.07,0.74
18000,1.1,0.7394
18500,1.13,0.7357
19000,1.16,0.734
19500,1.19,0.735
20000,1.22,0.7342
20500,1.25,0.7324
21000,1.28,0.7307
21500,1.31,0.7287
22000,1.34,0.7301
22500,1.37,0.7283
23000,1.4,0.7265
23500,1.44,0.7277
24000,1.47,0.7234
24500,1.5,0.7207
25000,1.53,0.7234
25500,1.56,0.7197
26000,1.59,0.7226
26500,1.62,0.7186
27000,1.65,0.718
27500,1.68,0.7159
28000,1.71,0.7171
28500,1.74,0.7138
29000,1.77,0.715
29500,1.8,0.7155
30000,1.83,0.7158
30500,1.86,0.7142
31000,1.89,0.7079
31500,1.92,0.7115
32000,1.95,0.7091
32500,1.99,0.7126
33000,2.02,0.7073
33500,2.05,0.7102
34000,2.08,0.7093
34500,2.11,0.7085
35000,2.14,0.706
35500,2.17,0.7081
36000,2.2,0.707
36500,2.23,0.7074
37000,2.26,0.7087
37500,2.29,0.7051
38000,2.32,0.7064
38500,2.35,0.7048
39000,2.38,0.7051
39500,2.41,0.7043
40000,2.44,0.7028
40500,2.47,0.7037
41000,2.5,0.7058
41500,2.53,0.7026
42000,2.57,0.7052
42500,2.6,0.7044
43000,2.63,0.7053
43500,2.66,0.7029
44000,2.69,0.7024
44500,2.72,0.7024
45000,2.75,0.7017
45500,2.78,0.7006
46000,2.81,0.7012
46500,2.84,0.7037
47000,2.87,0.6998
47500,2.9,0.7003
48000,2.93,0.6982
48500,2.96,0.702
49000,2.99,0.7019
49500,3.02,0.6984
50000,3.05,0.6971
50500,3.08,0.6989
51000,3.12,0.7002
51500,3.15,0.6952
52000,3.18,0.6988
52500,3.21,0.6966
53000,3.24,0.6976
53500,3.27,0.6999
54000,3.3,0.6959
54500,3.33,0.698
55000,3.36,0.695
55500,3.39,0.6967
56000,3.42,0.6964
56500,3.45,0.696
57000,3.48,0.6967
57500,3.51,0.696
58000,3.54,0.6997
58500,3.57,0.6967
59000,3.6,0.6955
59500,3.63,0.6958
60000,3.67,0.695
60500,3.7,0.6981
