n_steps,epoch,train_loss
500,0.04,1.1739
1000,0.08,0.9957
1500,0.12,0.9255
2000,0.15,0.873
2500,0.19,0.8398
3000,0.23,0.8044
3500,0.27,0.789
4000,0.31,0.7737
4500,0.35,0.7605
5000,0.38,0.7499
5500,0.42,0.7408
6000,0.46,0.7316
6500,0.5,0.7264
7000,0.54,0.7186
7500,0.58,0.7105
8000,0.62,0.7056
8500,0.65,0.698
9000,0.69,0.6921
9500,0.73,0.6893
10000,0.77,0.6812
10500,0.81,0.6795
11000,0.85,0.6767
11500,0.89,0.671
12000,0.92,0.669
12500,0.96,0.6679
13000,1.0,0.6673
13500,1.04,0.662
14000,1.08,0.6596
14500,1.12,0.6596
15000,1.15,0.6556
15500,1.19,0.6559
16000,1.23,0.6547
16500,1.27,0.6521
17000,1.31,0.6495
17500,1.35,0.6526
18000,1.39,0.65
18500,1.42,0.6479
19000,1.46,0.6517
19500,1.5,0.6468
20000,1.54,0.6476
20500,1.58,0.6447
21000,1.62,0.6459
21500,1.65,0.6422
22000,1.69,0.6446
22500,1.73,0.6412
23000,1.77,0.6423
23500,1.81,0.6425
24000,1.85,0.6406
24500,1.89,0.6413
25000,1.92,0.6409
25500,1.96,0.6392
26000,2.0,0.6393
26500,2.04,0.6383
27000,2.08,0.6362
27500,2.12,0.6353
28000,2.15,0.6361
28500,2.19,0.6371
29000,2.23,0.6343
29500,2.27,0.632
30000,2.31,0.6335
30500,2.35,0.6326
31000,2.39,0.6324
31500,2.42,0.6359
32000,2.46,0.6333
32500,2.5,0.6322
33000,2.54,0.6328
33500,2.58,0.6325
34000,2.62,0.6334
34500,2.66,0.6304
35000,2.69,0.632
35500,2.73,0.6318
36000,2.77,0.6324
36500,2.81,0.6299
37000,2.85,0.6301
37500,2.89,0.6321
38000,2.92,0.6264
38500,2.96,0.6281
39000,3.0,0.6273
39500,3.04,0.6277
40000,3.08,0.6269
40500,3.12,0.6275
41000,3.16,0.6262
41500,3.19,0.6262
42000,3.23,0.6271
42500,3.27,0.6267
43000,3.31,0.6254
43500,3.35,0.6282
44000,3.39,0.6248
44500,3.42,0.6266
45000,3.46,0.6259
45500,3.5,0.6264
46000,3.54,0.6257
46500,3.58,0.6245
47000,3.62,0.6266
47500,3.66,0.6249
48000,3.69,0.6239
48500,3.73,0.625
49000,3.77,0.6248
49500,3.81,0.6242
50000,3.85,0.625
50500,3.89,0.6249
51000,3.92,0.6243
51500,3.96,0.6228
52000,4.0,0.6219
52500,4.04,0.6205
53000,4.08,0.6212
53500,4.12,0.6204
54000,4.16,0.6209
54500,4.19,0.6251
55000,4.23,0.6209
55500,4.27,0.622
56000,4.31,0.622
56500,4.35,0.6206
57000,4.39,0.6212
57500,4.43,0.6206
58000,4.46,0.6202
58500,4.5,0.6204
59000,4.54,0.6191
59500,4.58,0.6208
60000,4.62,0.623
60500,4.66,0.6214
61000,4.69,0.6224
61500,4.73,0.6188
62000,4.77,0.6208
62500,4.81,0.6208
63000,4.85,0.619
63500,4.89,0.62
64000,4.93,0.6198
64500,4.96,0.6211
65000,5.0,0.6202
65500,5.04,0.6165
66000,5.08,0.6177
66500,5.12,0.6175
67000,5.16,0.6157
67500,5.19,0.6156
68000,5.23,0.6173
68500,5.27,0.6153
69000,5.31,0.6141
69500,5.35,0.6159
70000,5.39,0.6121
70500,5.43,0.6166
71000,5.46,0.6138
71500,5.5,0.615
72000,5.54,0.6158
72500,5.58,0.6159
73000,5.62,0.6166
73500,5.66,0.616
74000,5.69,0.6157
74500,5.73,0.6151
75000,5.77,0.6152
75500,5.81,0.615
76000,5.85,0.617
76500,5.89,0.6134
77000,5.93,0.6165
77500,5.96,0.617
78000,6.0,0.6177
78500,6.04,0.6112
79000,6.08,0.6143
79500,6.12,0.6106
80000,6.16,0.6128
80500,6.2,0.6121
81000,6.23,0.6114
81500,6.27,0.6118
82000,6.31,0.6114
82500,6.35,0.6135
83000,6.39,0.6143
83500,6.43,0.6115
84000,6.46,0.6126
84500,6.5,0.612
85000,6.54,0.6125
85500,6.58,0.6134
86000,6.62,0.6135
86500,6.66,0.6125
87000,6.7,0.6119
87500,6.73,0.61
88000,6.77,0.6107
88500,6.81,0.6128
89000,6.85,0.615
89500,6.89,0.6131
90000,6.93,0.6132
90500,6.96,0.6135
91000,7.0,0.6122
91500,7.04,0.6097
92000,7.08,0.61
92500,7.12,0.6107
93000,7.16,0.609
93500,7.2,0.6094
94000,7.23,0.609
94500,7.27,0.6098
95000,7.31,0.609
95500,7.35,0.61
96000,7.39,0.6105
96500,7.43,0.6109
97000,7.46,0.6107
97500,7.5,0.6087
98000,7.54,0.6109
98500,7.58,0.6091
99000,7.62,0.609
99500,7.66,0.6102
100000,7.7,0.6092
100500,7.73,0.61
101000,7.77,0.6113
101500,7.81,0.6106
102000,7.85,0.6108
102500,7.89,0.6074
103000,7.93,0.6077
103500,7.97,0.611
104000,8.0,0.611
104500,8.04,0.6055
105000,8.08,0.6066
105500,8.12,0.6082
106000,8.16,0.6049
106500,8.2,0.6049
107000,8.23,0.6077
107500,8.27,0.6086
108000,8.31,0.6069
108500,8.35,0.6065
109000,8.39,0.6073
109500,8.43,0.6064
110000,8.47,0.6069
110500,8.5,0.6069
111000,8.54,0.6074
111500,8.58,0.6091
112000,8.62,0.6085
112500,8.66,0.6079
113000,8.7,0.6055
113500,8.73,0.6089
114000,8.77,0.6086
114500,8.81,0.6078
115000,8.85,0.6067
115500,8.89,0.6074
116000,8.93,0.6074
116500,8.97,0.6104
117000,9.0,0.607
117500,9.04,0.6012
118000,9.08,0.6025
118500,9.12,0.602
119000,9.16,0.6046
119500,9.2,0.603
120000,9.24,0.603
120500,9.27,0.6042
121000,9.31,0.607
121500,9.35,0.6043
122000,9.39,0.6055
122500,9.43,0.6051
123000,9.47,0.6042
123500,9.5,0.6025
124000,9.54,0.6057
124500,9.58,0.6065
125000,9.62,0.6089
125500,9.66,0.6051
126000,9.7,0.6034
126500,9.74,0.6062
127000,9.77,0.6057
127500,9.81,0.6044
128000,9.85,0.6082
128500,9.89,0.6046
129000,9.93,0.6062
129500,9.97,0.6056
130000,10.0,0.6042
130500,10.04,0.6002
131000,10.08,0.603
131500,10.12,0.5989
132000,10.16,0.6004
132500,10.2,0.5998
133000,10.24,0.5996
133500,10.27,0.6025
134000,10.31,0.602
134500,10.35,0.6005
135000,10.39,0.5985
135500,10.43,0.6023
136000,10.47,0.6021
136500,10.5,0.6032
137000,10.54,0.6033
