n_steps,epoch,train_loss
500,0.03,1.177
1000,0.06,1.0277
1500,0.09,0.9888
2000,0.12,0.9372
2500,0.15,0.8955
3000,0.19,0.8685
3500,0.22,0.8443
4000,0.25,0.8345
4500,0.28,0.8254
5000,0.31,0.8201
5500,0.34,0.8179
6000,0.37,0.8094
6500,0.4,0.805
7000,0.43,0.7963
7500,0.46,0.7946
8000,0.49,0.7904
8500,0.52,0.7857
9000,0.56,0.7811
9500,0.59,0.7797
10000,0.62,0.7717
10500,0.65,0.7675
11000,0.68,0.7661
11500,0.71,0.7608
12000,0.74,0.7577
12500,0.77,0.7536
13000,0.8,0.7495
13500,0.83,0.745
14000,0.86,0.7426
14500,0.9,0.7396
15000,0.93,0.7339
15500,0.96,0.7347
16000,0.99,0.7322
16500,1.02,0.7292
17000,1.05,0.7285
17500,1.08,0.7281
18000,1.11,0.7242
18500,1.14,0.7255
19000,1.17,0.7264
19500,1.2,0.7204
20000,1.24,0.7202
20500,1.27,0.7209
21000,1.3,0.7202
21500,1.33,0.7176
22000,1.36,0.716
22500,1.39,0.7202
23000,1.42,0.7188
23500,1.45,0.7175
24000,1.48,0.7163
24500,1.51,0.7121
25000,1.54,0.7172
25500,1.57,0.714
26000,1.61,0.7142
26500,1.64,0.7109
27000,1.67,0.7139
27500,1.7,0.7078
28000,1.73,0.7117
28500,1.76,0.7151
29000,1.79,0.7119
29500,1.82,0.708
30000,1.85,0.7076
30500,1.88,0.7115
31000,1.91,0.7089
31500,1.95,0.7065
32000,1.98,0.71
32500,2.01,0.7054
33000,2.04,0.7054
33500,2.07,0.7021
34000,2.1,0.7044
34500,2.13,0.7078
35000,2.16,0.7066
35500,2.19,0.7062
36000,2.22,0.7054
36500,2.25,0.7035
37000,2.29,0.7052
37500,2.32,0.7054
38000,2.35,0.7029
38500,2.38,0.7041
39000,2.41,0.7025
39500,2.44,0.7037
40000,2.47,0.7024
40500,2.5,0.7037
41000,2.53,0.7021
41500,2.56,0.7027
42000,2.59,0.702
42500,2.62,0.7026
43000,2.66,0.7053
43500,2.69,0.6993
44000,2.72,0.699
44500,2.75,0.7006
45000,2.78,0.7013
45500,2.81,0.7022
46000,2.84,0.6991
46500,2.87,0.697
47000,2.9,0.7015
47500,2.93,0.7015
48000,2.96,0.6987
48500,3.0,0.7026
49000,3.03,0.6969
49500,3.06,0.6966
50000,3.09,0.7013
50500,3.12,0.6979
51000,3.15,0.6959
51500,3.18,0.6964
52000,3.21,0.7002
52500,3.24,0.6956
53000,3.27,0.6953
53500,3.3,0.6941
54000,3.33,0.6994
54500,3.37,0.6969
55000,3.4,0.696
55500,3.43,0.6961
56000,3.46,0.6996
56500,3.49,0.6931
57000,3.52,0.6953
57500,3.55,0.6976
58000,3.58,0.6974
58500,3.61,0.6985
59000,3.64,0.6984
59500,3.67,0.6986
60000,3.71,0.6962
60500,3.74,0.6964
61000,3.77,0.6954
61500,3.8,0.6927
62000,3.83,0.6974
62500,3.86,0.6947
63000,3.89,0.6945
63500,3.92,0.6935
64000,3.95,0.6946
64500,3.98,0.6948
65000,4.01,0.692
65500,4.05,0.6931
66000,4.08,0.6932
66500,4.11,0.6927
67000,4.14,0.693
67500,4.17,0.6902
68000,4.2,0.6927
68500,4.23,0.6917
69000,4.26,0.6939
69500,4.29,0.6954
70000,4.32,0.6929
70500,4.35,0.6921
71000,4.38,0.6914
71500,4.42,0.691
72000,4.45,0.6939
72500,4.48,0.6911
73000,4.51,0.6925
73500,4.54,0.6946
74000,4.57,0.6929
74500,4.6,0.6941
75000,4.63,0.6909
75500,4.66,0.6928
76000,4.69,0.6927
76500,4.72,0.6926
77000,4.76,0.6921
77500,4.79,0.6918
