,target_var,condition_var,condition_val,prob,prob_std
0,X2,X22,False,0.9755975008010864,0.0
1,X2,X22,True,0.1424483529159001,0.025917610754824703
2,X2,X91,False,0.9653757214546204,0.0
3,X2,X91,True,0.12687177956104279,0.0
4,X22,X2,False,0.9988425544330052,4.458377910168667e-05
5,X22,X2,True,0.15265057661703654,0.3676669984955473
6,X22,X3,False,0.9392111897468567,0.03394661657347595
7,X22,X3,True,0.33587756752967834,0.0
8,X22,X32,False,0.028743373230099678,0.0
9,X22,X32,True,0.9975587129592896,0.0
10,X3,X22,False,0.9698078632354736,0.0
11,X3,X22,True,0.0006373892538249493,0.0
12,X3,X56,False,0.25592654943466187,0.0
13,X3,X56,True,0.8332312617983136,0.14075164394872697
14,X3,X66,False,0.9903098940849304,0.0
15,X3,X66,True,0.0007585833664052188,0.0
16,X3,X91,False,0.8663024306297302,0.0
17,X3,X91,True,0.2216593623161316,0.0
18,X30,X9,False,0.0013732421211898327,0.0
19,X30,X9,True,0.5309975743293762,0.0
20,X31,X68,False,5.045767466071993e-05,0.0
21,X31,X68,True,0.4918142730613389,0.4599498415065755
22,X32,X22,False,0.01978469856216439,0.049532293676431326
23,X32,X22,True,0.9855139255523682,0.0
24,X32,X56,False,0.9995936751365662,0.0
25,X32,X56,True,0.08944342458354575,0.22994758956819922
26,X32,X87,False,0.5026137658527919,0.3063253128565334
27,X32,X87,True,0.9690514206886292,0.0
28,X41,X89,False,0.11403848975896835,0.0
29,X41,X89,True,0.986801266670227,0.0
30,X41,X98,False,0.9892407059669495,0.0
31,X41,X98,True,0.2347945613520486,0.26692086079852256
32,X45,X68,False,0.9999945163726807,0.0
33,X45,X68,True,0.7630997555596488,0.4045636277533775
34,X45,X98,False,0.9999860525131226,0.0
35,X45,X98,True,0.1384134441614151,0.0
36,X49,X80,False,0.21787798404693604,0.2700960019752569
37,X49,X80,True,0.8983603715896606,0.0
38,X56,X3,False,0.14698642492294312,0.0
39,X56,X3,True,0.7273603081703186,0.0
40,X56,X32,False,0.9990279929978507,0.00019390226716938219
41,X56,X32,True,0.06433068960905075,0.0
42,X56,X91,False,0.9994603991508484,0.0
43,X56,X91,True,0.05233585461974144,0.0
44,X66,X3,False,0.9997982382774353,0.0
45,X66,X3,True,0.00011496910155983642,0.0
46,X66,X81,False,0.6892314170088086,0.44319467749128283
47,X66,X81,True,0.0009088221122510731,0.0
48,X66,X87,False,0.0001748049835441634,0.0
49,X66,X87,True,0.8571004653183211,0.37730059412556943
50,X68,X31,False,0.11827468659196581,0.0046727696450862945
51,X68,X31,True,0.9369394183158875,0.0
52,X68,X45,False,0.8085799813270569,0.0
53,X68,X45,True,0.1834069937467575,0.0
54,X69,X97,False,0.18411664691094692,0.3144068022167208
55,X69,X97,True,0.3182053565979004,0.0
56,X74,X98,False,0.42857577265593655,0.5345021398342399
57,X74,X98,True,0.9999740123748779,0.0
58,X80,X49,False,0.1441984437406063,0.3197981105743873
59,X80,X49,True,0.9384902715682983,0.0
60,X80,X81,False,0.29733519602034775,0.47887721050292303
61,X80,X81,True,0.858367007491844,0.37207554279651117
62,X80,X91,False,0.866855800151825,0.0
63,X80,X91,True,0.20764696598052979,0.0
64,X80,X94,False,0.28569957453769995,0.4877676566900278
65,X80,X94,True,0.0003508059598971158,0.0
66,X81,X66,False,0.6902955174446106,0.0
67,X81,X66,True,0.13457275927066803,0.0
68,X81,X80,False,0.0629439428448677,0.0
69,X81,X80,True,0.7084779739379883,0.0
70,X87,X32,False,0.255443967080542,0.400244941435979
71,X87,X32,True,0.6769993496792657,0.43367365571707817
72,X87,X66,False,0.0037330235354602337,0.0
73,X87,X66,True,0.9513298869132996,0.0
74,X87,X91,False,0.03275391831994057,0.0
75,X87,X91,True,0.667390763759613,0.0
76,X89,X41,False,0.007030771113932133,0.0
77,X89,X41,True,0.9004688262939453,0.0
78,X9,X30,False,0.8571912888021741,0.3775654078858834
79,X9,X30,True,0.9996590614318848,0.0
80,X91,X2,False,0.9940652847290039,0.0
81,X91,X2,True,0.43227862992456983,0.5137001777683999
82,X91,X3,False,0.9579178094863892,0.0
83,X91,X3,True,0.19899985194206238,0.0
84,X91,X56,False,0.9981383085250854,0.0
85,X91,X56,True,0.15366312063166074,0.35062168298435414
86,X91,X80,False,0.9926006197929382,0.0
87,X91,X80,True,0.16909397606338775,0.36118290003551395
88,X91,X87,False,0.537516210760389,0.3656043308808892
89,X91,X87,True,0.9752721190452576,0.0
90,X94,X80,False,0.26263911294933806,0.4481260321917074
91,X94,X80,True,0.006542453912386138,0.005693823849243178
92,X97,X69,False,0.00014175413525663316,0.0
93,X97,X69,True,0.771726131439209,0.0
94,X98,X41,False,0.9992517828941345,0.0
95,X98,X41,True,0.03176025673747063,0.0
96,X98,X45,False,0.9999969005584717,0.0
97,X98,X45,True,0.005715931300073862,0.0
98,X98,X74,False,0.07490143924951553,0.0
99,X98,X74,True,0.8514246940612793,0.0
