,target_var,condition_var,condition_val,prob
0,X78,X45,0,0.0546477846801281
1,X78,X45,1,0.322736918926239
2,X87,X98,0,0.6367023587226868
3,X87,X98,1,0.6433290839195251
4,X96,X68,0,0.16378122568130493
5,X96,X68,1,0.18741080164909363
6,X87,X6,0,0.6515716314315796
7,X87,X6,1,0.6615322232246399
8,X31,X75,0,0.026106862351298332
9,X31,X75,1,0.034963104873895645
10,X82,X43,0,0.5088253617286682
11,X82,X43,1,0.6360177993774414
12,X26,X63,0,0.7204551100730896
13,X26,X63,1,0.402812123298645
14,X78,X66,0,0.15416347980499268
15,X78,X66,1,0.13568216562271118
16,X91,X34,0,0.36257654428482056
17,X91,X34,1,0.49951860308647156
18,X59,X35,0,0.9718669056892395
19,X59,X35,1,0.9828372001647949
20,X16,X11,0,0.05836167186498642
21,X16,X11,1,0.06380470842123032
22,X44,X97,0,0.3410961925983429
23,X44,X97,1,0.3068636655807495
24,X31,X16,0,0.015164332464337349
25,X31,X16,1,0.14996182918548584
26,X4,X70,0,0.1773267686367035
27,X4,X70,1,0.17762690782546997
28,X69,X26,0,0.9145918488502502
29,X69,X26,1,0.9226729273796082
30,X92,X76,0,0.9674175381660461
31,X92,X76,1,0.971916913986206
32,X82,X91,0,0.59759521484375
33,X82,X91,1,0.5043717622756958
34,X35,X95,0,0.38664740324020386
35,X35,X95,1,0.369088739156723
36,X46,X16,0,0.30040356516838074
37,X46,X16,1,0.2579191029071808
38,X70,X37,0,0.730289876461029
39,X70,X37,1,0.7139285206794739
40,X94,X97,0,0.16103270649909973
41,X94,X97,1,0.15872231125831604
42,X28,X81,0,0.38736212253570557
43,X28,X81,1,0.4084382653236389
44,X53,X35,0,0.56646329164505
45,X53,X35,1,0.5683928728103638
46,X26,X21,0,0.6425122022628784
47,X26,X21,1,0.6222662925720215
48,X42,X30,0,0.061672743409872055
49,X42,X30,1,0.06975741684436798
50,X5,X92,0,0.5006875991821289
51,X5,X92,1,0.45090141892433167
52,X1,X76,0,0.15775372087955475
53,X1,X76,1,0.11777174472808838
54,X20,X39,0,0.9692779183387756
55,X20,X39,1,0.9718908071517944
56,X53,X15,0,0.5981613993644714
57,X53,X15,1,0.5944749116897583
58,X2,X93,0,0.14483152329921722
59,X2,X93,1,0.1934380978345871
60,X92,X40,0,0.9669479727745056
61,X92,X40,1,0.9510239958763123
62,X66,X33,0,0.8760925531387329
63,X66,X33,1,0.8903623819351196
