,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X80,X60,0,0.9456880927085877,0.021241941813991253,1.0,22.4,1.0,"['X98', 'X14', 'X5', 'X62', 'X49', 'X57', 'X67', 'X25', 'X81', 'X50', 'X9', 'X20', 'X4', 'X26', 'X54', 'X71', 'X40', 'X45', 'X83', 'X65', 'X86', 'X89', 'X66', 'X68', 'X1', 'X37', 'X15', 'X72', 'X41', 'X13', 'X82', 'X12', 'X92', 'X64', 'X32', 'X24', 'X53', 'X96', 'X27', 'X93', 'X23', 'X46', 'X85', 'X77', 'X58', 'X17', 'X79', 'X47', 'X69', 'X52', 'X56', 'X76', 'X94', 'X22', 'X16', 'X91', 'X3', 'X78', 'X51', 'X87', 'X55', 'X63', 'X2', 'X42']"
1,X80,X60,1,0.24082227530925593,0.4161489332813801,0.8,25.625,0.875,"['X98', 'X14', 'X5', 'X62', 'X49', 'X67', 'X57', 'X25', 'X81', 'X39', 'X50', 'X9', 'X20', 'X4', 'X83', 'X26', 'X71', 'X40', 'X45', 'X89', 'X86', 'X68', 'X66', 'X7', 'X1', 'X31', 'X38', 'X61', 'X97', 'X43', 'X37', 'X15', 'X41', 'X13', 'X82', 'X12', 'X92', 'X64', 'X6', 'X32', 'X53', 'X24', 'X96', 'X27', 'X93', 'X23', 'X46', 'X59', 'X75', 'X99', 'X85', 'X77', 'X58', 'X79', 'X17', 'X0', 'X47', 'X69', 'X52', 'X76', 'X94', 'X10', 'X35', 'X48', 'X22', 'X90', 'X16', 'X91', 'X8', 'X3', 'X11', 'X87', 'X55', 'X63', 'X2', 'X42']"
2,X99,X51,0,0.007029455387964845,0.004630896677703249,1.0,7.3,1.0,"['X14', 'X93', 'X23', 'X46', 'X49', 'X67', 'X36', 'X25', 'X50', 'X47', 'X52', 'X94', 'X35', 'X48', 'X22', 'X90', 'X89', 'X16', 'X68', 'X91', 'X38', 'X61', 'X78', 'X41', 'X63']"
3,X99,X51,1,0.9773840546607971,0.06747602477285664,1.0,14.0,0.9,"['X98', 'X96', 'X14', 'X27', 'X93', 'X23', 'X5', 'X62', 'X46', 'X49', 'X67', 'X75', 'X85', 'X53', 'X81', 'X50', 'X58', 'X79', 'X47', 'X69', 'X52', 'X20', 'X76', 'X70', 'X94', 'X10', 'X35', 'X48', 'X30', 'X22', 'X90', 'X83', 'X54', 'X26', 'X71', 'X89', 'X16', 'X86', 'X68', 'X66', 'X7', 'X80', 'X91', 'X1', 'X31', 'X38', 'X78', 'X61', 'X3', 'X11', 'X43', 'X21', 'X37', 'X15', 'X41', 'X82', 'X12', 'X63', 'X64', 'X6', 'X32', 'X24']"
4,X61,X65,0,0.07638638679927681,0.21685933799931287,1.0,8.1,0.6,"['X90', 'X45', 'X89', 'X14', 'X68', 'X23', 'X7', 'X91', 'X67', 'X1', 'X75', 'X38', 'X74', 'X51', 'X10', 'X41', 'X47', 'X52', 'X56', 'X64', 'X35', 'X48', 'X22']"
5,X61,X65,1,0.27026889402040977,0.2840365047114373,1.0,4.8,0.4,"['X90', 'X68', 'X7', 'X1', 'X67', 'X91', 'X75', 'X38', 'X74', 'X10', 'X55', 'X64', 'X35']"
6,X74,X1,0,0.35552141477237453,0.15203663055295982,1.0,10.6,0.6,"['X14', 'X23', 'X67', 'X75', 'X47', 'X52', 'X56', 'X35', 'X10', 'X48', 'X22', 'X90', 'X89', 'X65', 'X68', 'X7', 'X91', 'X38', 'X61', 'X51', 'X55', 'X41', 'X64']"
7,X74,X1,1,0.9083020940423012,0.23843320477576674,1.0,9.9,0.8,"['X14', 'X93', 'X67', 'X75', 'X99', 'X50', 'X47', 'X52', 'X56', 'X94', 'X10', 'X35', 'X48', 'X22', 'X90', 'X89', 'X65', 'X68', 'X7', 'X91', 'X38', 'X61', 'X78', 'X51', 'X55', 'X41', 'X12', 'X64']"
8,X58,X99,0,0.7545340150594712,0.3615864266962808,1.0,6.1,0.1,"['X14', 'X65', 'X68', 'X23', 'X93', 'X7', 'X91', 'X75', 'X38', 'X36', 'X74', 'X51', 'X78', 'X50', 'X47', 'X52', 'X94', 'X10', 'X48', 'X22']"
9,X58,X99,1,0.002166861781734042,0.002512342886135451,1.0,9.2,0.1,"['X96', 'X14', 'X93', 'X23', 'X49', 'X75', 'X74', 'X36', 'X25', 'X77', 'X81', 'X50', 'X17', 'X47', 'X69', 'X52', 'X56', 'X70', 'X94', 'X10', 'X48', 'X22', 'X4', 'X83', 'X54', 'X45', 'X65', 'X68', 'X66', 'X7', 'X91', 'X1', 'X38', 'X61', 'X51', 'X78', 'X55', 'X41', 'X12', 'X63', 'X64']"
10,X4,X76,0,0.21639731116592884,0.13338511608348788,1.0,24.1,0.8,"['X98', 'X14', 'X5', 'X62', 'X49', 'X57', 'X67', 'X25', 'X81', 'X44', 'X50', 'X9', 'X84', 'X20', 'X26', 'X83', 'X71', 'X40', 'X54', 'X89', 'X45', 'X86', 'X65', 'X68', 'X66', 'X7', 'X80', 'X1', 'X31', 'X61', 'X97', 'X43', 'X37', 'X15', 'X72', 'X41', 'X13', 'X82', 'X12', 'X92', 'X64', 'X6', 'X21', 'X32', 'X53', 'X24', 'X96', 'X27', 'X93', 'X46', 'X59', 'X75', 'X74', 'X85', 'X77', 'X58', 'X79', 'X0', 'X17', 'X47', 'X69', 'X52', 'X94', 'X10', 'X35', 'X48', 'X30', 'X22', 'X16', 'X91', 'X8', 'X3', 'X11', 'X33', 'X87', 'X55', 'X63', 'X2', 'X88']"
