n_steps,epoch,train_loss
500,0.04,1.1685
1000,0.08,1.0195
1500,0.12,0.9571
2000,0.16,0.8761
2500,0.2,0.8338
3000,0.23,0.8173
3500,0.27,0.8009
4000,0.31,0.7945
4500,0.35,0.7862
5000,0.39,0.7814
5500,0.43,0.7749
6000,0.47,0.7691
6500,0.51,0.7644
7000,0.55,0.7579
7500,0.59,0.7493
8000,0.63,0.7467
8500,0.66,0.7367
9000,0.7,0.7293
9500,0.74,0.7219
10000,0.78,0.7178
10500,0.82,0.7094
11000,0.86,0.7061
11500,0.9,0.7026
12000,0.94,0.6941
12500,0.98,0.6935
13000,1.02,0.6882
13500,1.06,0.6833
14000,1.1,0.6817
14500,1.13,0.6781
15000,1.17,0.678
15500,1.21,0.6738
16000,1.25,0.6717
16500,1.29,0.6677
17000,1.33,0.6676
17500,1.37,0.6663
18000,1.41,0.6663
18500,1.45,0.6627
19000,1.49,0.6614
19500,1.53,0.6621
20000,1.56,0.6586
20500,1.6,0.6573
21000,1.64,0.6587
21500,1.68,0.6535
22000,1.72,0.6559
22500,1.76,0.6541
23000,1.8,0.6526
23500,1.84,0.6504
24000,1.88,0.6523
24500,1.92,0.6508
25000,1.96,0.6492
25500,1.99,0.6449
26000,2.03,0.6445
26500,2.07,0.646
27000,2.11,0.6441
27500,2.15,0.6424
28000,2.19,0.643
28500,2.23,0.6428
29000,2.27,0.6394
29500,2.31,0.6413
30000,2.35,0.6401
30500,2.39,0.6397
31000,2.42,0.6379
31500,2.46,0.6385
32000,2.5,0.639
32500,2.54,0.6344
33000,2.58,0.6374
33500,2.62,0.6372
34000,2.66,0.6369
34500,2.7,0.6349
35000,2.74,0.632
35500,2.78,0.6339
36000,2.82,0.633
36500,2.85,0.6332
37000,2.89,0.6318
37500,2.93,0.6315
38000,2.97,0.6294
38500,3.01,0.629
39000,3.05,0.6297
39500,3.09,0.627
40000,3.13,0.6269
40500,3.17,0.6257
41000,3.21,0.628
41500,3.25,0.625
42000,3.29,0.625
42500,3.32,0.6248
43000,3.36,0.6285
43500,3.4,0.626
44000,3.44,0.626
44500,3.48,0.6268
45000,3.52,0.6219
45500,3.56,0.6263
46000,3.6,0.6234
46500,3.64,0.6215
47000,3.68,0.6228
47500,3.72,0.6208
48000,3.75,0.6236
48500,3.79,0.6229
49000,3.83,0.6188
49500,3.87,0.6205
50000,3.91,0.6219
50500,3.95,0.6194
51000,3.99,0.6176
51500,4.03,0.6203
52000,4.07,0.617
52500,4.11,0.6173
53000,4.15,0.6154
53500,4.18,0.6154
54000,4.22,0.6151
54500,4.26,0.6159
55000,4.3,0.6156
55500,4.34,0.615
56000,4.38,0.6125
56500,4.42,0.6124
57000,4.46,0.6146
57500,4.5,0.6136
58000,4.54,0.6161
58500,4.58,0.613
59000,4.61,0.6118
59500,4.65,0.6133
60000,4.69,0.6128
60500,4.73,0.6128
61000,4.77,0.6129
61500,4.81,0.6136
62000,4.85,0.6139
62500,4.89,0.6137
63000,4.93,0.6114
63500,4.97,0.6122
64000,5.01,0.6118
64500,5.04,0.608
65000,5.08,0.6095
65500,5.12,0.6063
66000,5.16,0.6103
66500,5.2,0.6061
67000,5.24,0.6108
67500,5.28,0.6074
68000,5.32,0.6068
68500,5.36,0.6062
69000,5.4,0.6086
69500,5.44,0.6078
70000,5.48,0.6066
70500,5.51,0.6061
71000,5.55,0.6066
71500,5.59,0.6041
72000,5.63,0.6092
72500,5.67,0.6048
73000,5.71,0.6057
73500,5.75,0.6045
74000,5.79,0.6044
74500,5.83,0.6059
75000,5.87,0.6031
75500,5.91,0.6028
76000,5.94,0.6073
76500,5.98,0.6071
77000,6.02,0.6037
77500,6.06,0.6012
78000,6.1,0.6057
78500,6.14,0.5999
79000,6.18,0.6
79500,6.22,0.6043
80000,6.26,0.6025
80500,6.3,0.5999
81000,6.34,0.603
81500,6.37,0.6039
82000,6.41,0.6029
82500,6.45,0.6044
83000,6.49,0.6004
83500,6.53,0.6
84000,6.57,0.5989
84500,6.61,0.6024
85000,6.65,0.602
85500,6.69,0.6016
86000,6.73,0.6015
86500,6.77,0.6011
87000,6.8,0.5993
87500,6.84,0.6033
88000,6.88,0.6019
88500,6.92,0.5994
89000,6.96,0.6009
89500,7.0,0.5993
90000,7.04,0.5991
90500,7.08,0.6002
91000,7.12,0.5982
91500,7.16,0.5992
92000,7.2,0.5977
92500,7.24,0.5995
93000,7.27,0.5949
93500,7.31,0.5966
94000,7.35,0.5973
94500,7.39,0.5974
95000,7.43,0.5982
95500,7.47,0.5987
96000,7.51,0.5967
96500,7.55,0.5993
97000,7.59,0.5975
97500,7.63,0.5973
98000,7.67,0.599
98500,7.7,0.5971
99000,7.74,0.5986
99500,7.78,0.5945
100000,7.82,0.5994
100500,7.86,0.5975
101000,7.9,0.599
101500,7.94,0.5994
102000,7.98,0.5999
102500,8.02,0.5967
103000,8.06,0.5924
103500,8.1,0.5915
104000,8.13,0.5956
104500,8.17,0.5928
105000,8.21,0.5949
105500,8.25,0.594
106000,8.29,0.5951
106500,8.33,0.597
107000,8.37,0.5956
107500,8.41,0.5946
108000,8.45,0.5958
108500,8.49,0.5968
109000,8.53,0.5943
109500,8.56,0.5964
110000,8.6,0.5953
110500,8.64,0.5968
111000,8.68,0.5967
111500,8.72,0.5962
112000,8.76,0.5959
112500,8.8,0.5964
113000,8.84,0.5969
113500,8.88,0.5931
114000,8.92,0.5961
114500,8.96,0.5969
115000,8.99,0.5954
115500,9.03,0.5893
116000,9.07,0.5905
116500,9.11,0.5918
117000,9.15,0.5932
117500,9.19,0.594
118000,9.23,0.5928
118500,9.27,0.5931
119000,9.31,0.594
119500,9.35,0.5916
120000,9.39,0.5912
120500,9.43,0.5945
121000,9.46,0.5933
121500,9.5,0.5937
122000,9.54,0.5935
122500,9.58,0.5938
123000,9.62,0.5942
123500,9.66,0.5934
124000,9.7,0.5916
124500,9.74,0.5937
125000,9.78,0.5927
125500,9.82,0.593
126000,9.86,0.5937
126500,9.89,0.592
127000,9.93,0.5927
127500,9.97,0.5941
128000,10.01,0.5919
128500,10.05,0.5892
129000,10.09,0.5905
129500,10.13,0.5929
130000,10.17,0.5916
130500,10.21,0.5912
131000,10.25,0.5895
131500,10.29,0.5894
132000,10.32,0.589
132500,10.36,0.593
133000,10.4,0.5895
133500,10.44,0.5895
134000,10.48,0.5896
134500,10.52,0.589
135000,10.56,0.5907
135500,10.6,0.59
136000,10.64,0.5891
136500,10.68,0.5914
137000,10.72,0.5912
137500,10.75,0.5903
138000,10.79,0.5906
138500,10.83,0.5897
139000,10.87,0.5927
139500,10.91,0.59
140000,10.95,0.5921
140500,10.99,0.5913
141000,11.03,0.5881
141500,11.07,0.5868
142000,11.11,0.5861
142500,11.15,0.5851
143000,11.18,0.5882
143500,11.22,0.5866
144000,11.26,0.5896
144500,11.3,0.5878
145000,11.34,0.5889
145500,11.38,0.5883
146000,11.42,0.5887
146500,11.46,0.5892
147000,11.5,0.5876
147500,11.54,0.5863
148000,11.58,0.5894
148500,11.62,0.586
149000,11.65,0.5896
149500,11.69,0.5896
150000,11.73,0.5875
150500,11.77,0.5902
151000,11.81,0.5871
151500,11.85,0.5892
152000,11.89,0.5901
152500,11.93,0.5901
153000,11.97,0.589
153500,12.01,0.5892
154000,12.05,0.5847
154500,12.08,0.5838
155000,12.12,0.5852
155500,12.16,0.5843
156000,12.2,0.5879
156500,12.24,0.5861
157000,12.28,0.5856
157500,12.32,0.5837
158000,12.36,0.5845
158500,12.4,0.587
159000,12.44,0.5859
159500,12.48,0.5847
160000,12.51,0.5862
160500,12.55,0.5875
161000,12.59,0.5859
161500,12.63,0.5874
162000,12.67,0.587
162500,12.71,0.586
163000,12.75,0.5853
163500,12.79,0.5866
164000,12.83,0.5871
164500,12.87,0.586
165000,12.91,0.5843
165500,12.94,0.5898
166000,12.98,0.586
166500,13.02,0.5841
167000,13.06,0.5812
167500,13.1,0.5821
168000,13.14,0.5839
168500,13.18,0.5825
169000,13.22,0.5821
169500,13.26,0.5819
170000,13.3,0.5817
170500,13.34,0.5836
171000,13.38,0.5815
171500,13.41,0.5854
172000,13.45,0.5852
172500,13.49,0.5837
173000,13.53,0.5832
