,target_var,condition_var,condition_val,prob,prob_std
0,X2,X22,False,0.9694847166538239,0.005485991980912139
1,X2,X22,True,0.08262156695127487,0.0
2,X2,X91,False,0.958569347858429,0.0
3,X2,X91,True,0.11128449440002441,0.0
4,X22,X2,False,0.9977641224861145,0.0003959723060418151
5,X22,X2,True,0.3141361303627491,0.3871331797469886
6,X22,X3,False,0.9838018417358398,0.0
7,X22,X3,True,0.48212072253227234,0.0
8,X22,X32,False,0.056411941349506375,0.06688833726304903
9,X22,X32,True,0.9996205568313599,0.0
10,X3,X22,False,0.7920762937515974,0.41705940598565355
11,X3,X22,True,0.09882597635296406,0.31227865784896197
12,X3,X56,False,0.022376300767064095,0.0
13,X3,X56,True,0.9761838912963867,0.0
14,X3,X66,False,0.9867353439331055,0.0
15,X3,X66,True,0.00012190879351692274,0.0
16,X3,X91,False,0.8637932777404785,0.08686352194680053
17,X3,X91,True,0.16300582885742188,0.0
18,X30,X9,False,0.0010824305936694145,0.0
19,X30,X9,True,0.6206790804862976,0.0
20,X31,X68,False,0.08507085639284924,0.2687517493135043
21,X31,X68,True,0.6457602347247302,0.4420636983736321
22,X32,X22,False,0.08487996142357587,0.2574524416097277
23,X32,X22,True,0.9954657554626465,0.0
24,X32,X56,False,0.9987435936927795,0.0
25,X32,X56,True,0.1426379680633545,0.0
26,X32,X87,False,0.6913400292396545,0.0
27,X32,X87,True,0.9830800294876099,0.0
28,X41,X89,False,0.13779207542538643,0.2761226940504023
29,X41,X89,True,0.9834643006324768,0.0
30,X41,X98,False,0.9913051724433899,0.0
31,X41,X98,True,0.12896277010440826,0.0
32,X45,X68,False,0.9999817609786987,0.0
33,X45,X68,True,0.38228985071182253,0.325506796219388
34,X45,X98,False,0.9999881982803345,0.0
35,X45,X98,True,0.1557966023683548,0.0
36,X49,X80,False,0.052909232676029205,0.0
37,X49,X80,True,0.8223260316997767,0.27965158541636687
38,X56,X3,False,0.02778722532093525,0.0
39,X56,X3,True,0.972257673740387,0.0
40,X56,X32,False,0.997055172920227,0.0
41,X56,X32,True,0.14916826784610748,0.0
42,X56,X91,False,0.9992632269859314,0.0
43,X56,X91,True,0.07586119323968887,0.0
44,X66,X3,False,0.9999573230743408,0.0
45,X66,X3,True,0.00013880674669053406,0.0
46,X66,X81,False,0.965633749961853,0.0
47,X66,X81,True,0.010066214948892593,0.0
48,X66,X87,False,0.00022781557345297188,0.0
49,X66,X87,True,0.9998296499252319,0.0
50,X68,X31,False,0.04375422820448875,0.006196713075297246
51,X68,X31,True,0.9843956232070923,0.0
52,X68,X45,False,0.9661896228790283,0.0
53,X68,X45,True,0.16679081320762634,0.0
54,X69,X97,False,0.0001363810442853719,0.0
55,X69,X97,True,0.3796755075454712,0.0
56,X74,X98,False,0.09118474964172947,0.2883414565607698
57,X74,X98,True,0.9999891519546509,0.0
58,X80,X49,False,0.19866975359618663,0.4039520562383118
59,X80,X49,True,0.9655625820159912,0.0
60,X80,X81,False,0.009162896312773228,0.0
61,X80,X81,True,0.9984766840934753,0.0
62,X80,X91,False,0.9884446859359741,0.0
63,X80,X91,True,0.09131418913602829,0.0
64,X80,X94,False,0.5000139444859087,0.5270124025826861
65,X80,X94,True,0.03969457000494003,0.0
66,X81,X66,False,0.7450106739997864,0.0
67,X81,X66,True,0.03705037012696266,0.0
68,X81,X80,False,0.04081154242157936,0.0
69,X81,X80,True,0.9361017346382141,0.0
70,X87,X32,False,0.006604690570384264,0.0
71,X87,X32,True,0.7752823866903782,0.37905991286120894
72,X87,X66,False,0.0021133169066160917,0.0
73,X87,X66,True,0.965873122215271,0.0
74,X87,X91,False,0.02864454872906208,0.0
75,X87,X91,True,0.7792273163795471,0.0
76,X89,X41,False,0.0013694545486941934,0.0
77,X89,X41,True,0.9540899395942688,0.0
78,X9,X30,False,0.6999800201214385,0.482980937933421
79,X9,X30,True,0.9999711513519287,0.0
80,X91,X2,False,0.9974074959754944,0.0
81,X91,X2,True,0.14205890968441964,0.30038704310064945
82,X91,X3,False,0.8094126582145691,0.0
83,X91,X3,True,0.5170807838439941,0.0
84,X91,X56,False,0.9953004121780396,0.0
85,X91,X56,True,0.22837629914283752,0.40018178933795745
86,X91,X80,False,0.9978682994842529,0.0
87,X91,X80,True,0.3178783178329468,0.35706398708058706
88,X91,X87,False,0.2548927664756775,0.0
89,X91,X87,True,0.9965290427207947,0.0
90,X94,X80,False,0.2945586027184618,0.4739996996369915
91,X94,X80,True,0.009100755886174738,0.0075203356123850484
92,X97,X69,False,0.0004415274888742715,0.0
93,X97,X69,True,0.5270395874977112,0.0
94,X98,X41,False,0.8761609196662903,0.0
95,X98,X41,True,0.05268807336688042,0.0
96,X98,X45,False,0.9986746311187744,0.0
97,X98,X45,True,0.004131063353270292,0.0
98,X98,X74,False,0.009747364558279514,0.0
99,X98,X74,True,0.9920611381530762,0.0
