,target_var,condition_var,condition_val,prob
0,X73,X79,0,0.5210351943969727
1,X73,X79,1,0.4935692548751831
2,X57,X94,0,0.6523452401161194
3,X57,X94,1,0.6525862812995911
4,X60,X78,0,0.8353983163833618
5,X60,X78,1,0.8387821912765503
6,X63,X32,0,0.5343529582023621
7,X63,X32,1,0.4482460618019104
8,X6,X77,0,0.9497931003570557
9,X6,X77,1,0.9477509260177612
10,X79,X15,0,0.44899076223373413
11,X79,X15,1,0.42241597175598145
12,X68,X7,0,0.24792766571044922
13,X68,X7,1,0.24598175287246704
14,X81,X10,0,0.06903798878192902
15,X81,X10,1,0.057123564183712006
16,X28,X42,0,0.2829827070236206
17,X28,X42,1,0.2859010696411133
18,X42,X43,0,0.6679531931877136
19,X42,X43,1,0.6435922384262085
20,X77,X1,0,0.22576747834682465
21,X77,X1,1,0.20589105784893036
22,X13,X32,0,4.234510561218485e-05
23,X13,X32,1,4.9908485380001366e-05
24,X15,X95,0,0.302461713552475
25,X15,X95,1,0.29978540539741516
26,X95,X52,0,0.9548287391662598
27,X95,X52,1,0.9579893350601196
28,X20,X30,0,0.685861349105835
29,X20,X30,1,0.6796771883964539
30,X40,X82,0,0.9705451130867004
31,X40,X82,1,0.9682921171188354
32,X48,X62,0,0.036625780165195465
33,X48,X62,1,0.02869851514697075
34,X36,X9,0,0.6383224129676819
35,X36,X9,1,0.6771764159202576
36,X47,X27,0,0.023649271577596664
37,X47,X27,1,0.020266199484467506
38,X11,X82,0,0.6526133418083191
39,X11,X82,1,0.6503540873527527
40,X14,X72,0,1.4581405594071839e-05
41,X14,X72,1,0.9989476799964905
42,X46,X2,0,0.4973602890968323
43,X46,X2,1,0.49339190125465393
44,X67,X52,0,0.8297299742698669
45,X67,X52,1,0.8835470080375671
46,X61,X55,0,0.8618288636207581
47,X61,X55,1,0.8573265671730042
48,X41,X20,0,0.3853859603404999
49,X41,X20,1,0.3553634285926819
50,X20,X89,0,0.7910295128822327
51,X20,X89,1,0.7130516767501831
52,X2,X61,0,0.9017186164855957
53,X2,X61,1,0.8877978920936584
54,X21,X71,0,0.14145122468471527
55,X21,X71,1,0.1414603888988495
56,X95,X44,0,0.9655323624610901
57,X95,X44,1,0.964451014995575
58,X77,X87,0,0.2329765260219574
59,X77,X87,1,0.22485163807868958
60,X60,X11,0,0.817788302898407
61,X60,X11,1,0.8306397795677185
62,X4,X40,0,1.5616498103554477e-06
63,X4,X40,1,3.5422360724624014e-06
64,X77,X18,0,0.22951363027095795
65,X77,X18,1,0.22605516016483307
66,X20,X81,0,0.6698833703994751
67,X20,X81,1,0.6522747278213501
68,X22,X9,0,0.83455890417099
69,X22,X9,1,0.78717041015625
70,X67,X44,0,0.8585957884788513
71,X67,X44,1,0.842064619064331
72,X61,X70,0,0.875291109085083
73,X61,X70,1,0.8726969957351685
74,X73,X24,0,0.48300349712371826
75,X73,X24,1,0.5286602973937988
76,X85,X77,0,0.4530945420265198
77,X85,X77,1,0.4455724060535431
78,X9,X85,0,0.8470773696899414
79,X9,X85,1,0.8722477555274963
80,X15,X27,0,0.3119989335536957
81,X15,X27,1,0.3131251335144043
82,X34,X16,0,0.29742807149887085
83,X34,X16,1,0.293629914522171
84,X36,X62,0,0.6831268668174744
85,X36,X62,1,0.6841506361961365
86,X68,X79,0,0.2567344307899475
87,X68,X79,1,0.252677857875824
88,X14,X33,0,0.009703453630208969
89,X14,X33,1,0.008103433065116405
90,X83,X43,0,0.5745234489440918
91,X83,X43,1,0.7390970587730408
92,X70,X67,0,0.42137789726257324
93,X70,X67,1,0.4438113570213318
94,X32,X91,0,0.46154147386550903
95,X32,X91,1,0.4234412908554077
