,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X90,X8,0,0.9354557156562805,0.08234650585045712,1.0,5.1,0.7,"['X35', 'X60', 'X55', 'X40', 'X42', 'X65', 'X18', 'X25', 'X27', 'X32', 'X80', 'X97', 'X48', 'X58', 'X15']"
1,X90,X8,1,0.37090338710695503,0.3051429045856493,1.0,5.2,0.5,"['X61', 'X35', 'X60', 'X5', 'X50', 'X71', 'X55', 'X40', 'X65', 'X18', 'X25', 'X27', 'X11', 'X32', 'X97', 'X48', 'X58', 'X46', 'X64']"
2,X8,X21,0,0.10564307988533983,0.2961616227998966,1.0,5.5,0.2,"['X90', 'X35', 'X60', 'X55', 'X40', 'X42', 'X65', 'X25', 'X27', 'X32', 'X80', 'X97', 'X48', 'X58', 'X15']"
3,X8,X21,1,0.9936668515205384,0.005593137032164776,1.0,6.0,0.7,"['X61', 'X35', 'X60', 'X50', 'X5', 'X55', 'X42', 'X40', 'X46', 'X65', 'X92', 'X85', 'X18', 'X25', 'X27', 'X37', 'X32', 'X11', 'X0', 'X7', 'X80', 'X97', 'X48', 'X6', 'X58', 'X15']"
4,X88,X29,0,0.9545848071575165,0.006680849028040309,1.0,4.9,0.9,"['X89', 'X61', 'X95', 'X77', 'X55', 'X67', 'X76', 'X59', 'X53', 'X42', 'X65', 'X85', 'X37', 'X0', 'X7', 'X69', 'X38', 'X49', 'X1', 'X63']"
5,X88,X29,1,0.0018349516671150924,0.0023542719216524217,1.0,7.4,0.8,"['X61', 'X59', 'X67', 'X76', 'X53', 'X92', 'X82', 'X37', 'X32', 'X22', 'X70', 'X38', 'X41', 'X58', 'X74', 'X15', 'X83', 'X90', 'X95', 'X79', 'X35', 'X60', 'X5', 'X77', 'X55', 'X42', 'X85', 'X33', 'X0', 'X31', 'X91', 'X7', 'X80', 'X47', 'X97', 'X48', 'X63']"
6,X89,X70,0,0.9010240122675895,0.2933636495016625,1.0,3.0,1.0,"['X0', 'X1', 'X65', 'X71', 'X69']"
7,X89,X70,1,0.11291430429555475,0.2951526750947005,1.0,3.4,0.9,"['X0', 'X71', 'X76', 'X69', 'X67', 'X38', 'X1', 'X65', 'X63']"
8,X8,X83,0,0.9165730595588684,0.2292435621893079,1.0,7.4,1.0,"['X88', 'X35', 'X29', 'X60', 'X50', 'X55', 'X67', 'X42', 'X40', 'X92', 'X85', 'X82', 'X25', 'X27', 'X37', 'X32', 'X0', 'X7', 'X22', 'X80', 'X97', 'X48', 'X63', 'X15']"
9,X8,X83,1,0.3302345359552419,0.17387295759330137,1.0,9.5,1.0,"['X88', 'X71', 'X76', 'X65', 'X92', 'X82', 'X25', 'X37', 'X32', 'X22', 'X41', 'X58', 'X15', 'X35', 'X60', 'X50', 'X5', 'X55', 'X42', 'X40', 'X85', 'X27', 'X91', 'X31', 'X7', 'X80', 'X47', 'X97', 'X48', 'X63']"
10,X40,X70,0,0.01023026119273709,0.028994071671297517,1.0,11.4,0.6,"['X88', 'X24', 'X71', 'X67', 'X76', 'X4', 'X65', 'X12', 'X94', 'X82', 'X37', 'X52', 'X22', 'X69', 'X38', 'X58', 'X1', 'X13', 'X46', 'X20', 'X35', 'X5', 'X50', 'X60', 'X55', 'X42', 'X85', 'X10', 'X91', 'X0', 'X34', 'X7', 'X47', 'X97', 'X63']"
11,X40,X70,1,0.5077943013155164,0.4368423475675569,1.0,11.6,0.6,"['X78', 'X71', 'X76', 'X67', 'X12', 'X65', 'X8', 'X94', 'X82', 'X25', 'X37', 'X22', 'X69', 'X38', 'X58', 'X1', 'X46', 'X15', 'X35', 'X5', 'X50', 'X60', 'X55', 'X42', 'X62', 'X85', 'X10', 'X27', 'X91', 'X34', 'X7', 'X47', 'X97', 'X63']"
12,X62,X18,0,0.9363079905509949,0.12089784861169559,1.0,11.2,0.7,"['X61', 'X78', 'X9', 'X59', 'X67', 'X76', 'X53', 'X98', 'X4', 'X65', 'X8', 'X92', 'X94', 'X2', 'X14', 'X52', 'X22', 'X17', 'X38', 'X23', 'X19', 'X41', 'X1', 'X58', 'X45', 'X74', 'X15', 'X13', 'X95', 'X35', 'X79', 'X50', 'X60', 'X77', 'X55', 'X86', 'X40', 'X33', 'X10', 'X72', 'X27', 'X91', 'X31', 'X34', 'X7', 'X30', 'X47', 'X93', 'X97', 'X49', 'X63']"
13,X62,X18,1,0.035744812525808814,0.01100818191150215,1.0,4.9,0.6,"['X63', 'X61', 'X79', 'X95', 'X59', 'X55', 'X67', 'X40', 'X53', 'X97', 'X38', 'X49', 'X8']"
14,X88,X62,0,0.9582008481025696,0.02206904849709029,1.0,6.2,1.0,"['X61', 'X95', 'X35', 'X50', 'X77', 'X55', 'X67', 'X76', 'X59', 'X53', 'X42', 'X85', 'X82', 'X14', 'X27', 'X37', 'X0', 'X44', 'X7', 'X80', 'X93', 'X48', 'X38', 'X6', 'X63', 'X20', 'X83']"
15,X88,X62,1,0.0016008311140467413,0.000820252530823953,1.0,6.0,1.0,"['X95', 'X35', 'X77', 'X67', 'X42', 'X76', 'X85', 'X27', 'X37', 'X7', 'X80', 'X69', 'X48', 'X38', 'X63', 'X83']"
16,X8,X6,0,0.49903456956380976,0.3444388629712876,1.0,11.3,0.9,"['X89', 'X88', 'X24', 'X78', 'X51', 'X76', 'X21', 'X12', 'X65', 'X92', 'X82', 'X18', 'X25', 'X37', 'X32', 'X22', 'X26', 'X17', 'X58', 'X41', 'X13', 'X15', 'X46', 'X20', 'X83', 'X36', 'X5', 'X60', 'X50', 'X77', 'X55', 'X42', 'X40', 'X33', 'X10', 'X85', 'X27', 'X0', 'X91', 'X31', 'X7', 'X80', 'X47', 'X16', 'X97', 'X48', 'X63']"
17,X8,X6,1,0.9904665589332581,0.010502909203922989,1.0,10.6,0.9,"['X61', 'X29', 'X51', 'X71', 'X59', 'X67', 'X65', 'X92', 'X94', 'X82', 'X18', 'X25', 'X37', 'X32', 'X52', 'X22', 'X26', 'X69', 'X38', 'X41', 'X1', 'X58', 'X20', 'X15', 'X13', 'X46', 'X74', 'X36', 'X60', 'X5', 'X50', 'X77', 'X55', 'X42', 'X40', 'X85', 'X33', 'X10', 'X11', 'X27', 'X0', 'X31', 'X34', 'X7', 'X16', 'X47', 'X80', 'X97', 'X48', 'X63']"
18,X49,X67,0,0.10296452285911073,0.0805602912574651,1.0,5.4,0.6,"['X88', 'X61', 'X95', 'X29', 'X79', 'X60', 'X77', 'X59', 'X76', 'X40', 'X55', 'X53', 'X8', 'X85', 'X18', 'X97', 'X38', 'X63', 'X64']"
19,X49,X67,1,0.00040801080278356493,0.0006140044823532042,1.0,4.8,0.4,"['X61', 'X95', 'X29', 'X79', 'X77', 'X55', 'X59', 'X53', 'X62', 'X18', 'X20', 'X44', 'X97', 'X38', 'X63', 'X64']"
20,X77,X93,0,0.00018045920551230666,0.00016457235734194389,1.0,11.7,0.9,"['X24', 'X78', 'X29', 'X51', 'X71', 'X9', 'X67', 'X53', 'X98', 'X12', 'X39', 'X65', 'X4', 'X92', 'X94', 'X2', 'X14', 'X18', 'X37', 'X52', 'X44', 'X26', 'X23', 'X38', 'X19', 'X17', 'X41', 'X58', 'X45', 'X20', 'X13', 'X46', 'X74', 'X95', 'X36', 'X73', 'X35', 'X86', 'X40', 'X33', 'X10', 'X72', 'X91', 'X31', 'X34', 'X7', 'X16', 'X30', 'X63', 'X64']"
