n_steps,epoch,train_loss
500,0.04,1.1694
1000,0.08,0.9984
1500,0.13,0.8861
2000,0.17,0.8122
2500,0.21,0.7728
3000,0.25,0.7453
3500,0.29,0.7291
4000,0.34,0.7145
4500,0.38,0.7041
5000,0.42,0.6919
5500,0.46,0.6798
6000,0.5,0.673
6500,0.54,0.6666
7000,0.59,0.6593
7500,0.63,0.6535
8000,0.67,0.6472
8500,0.71,0.6424
9000,0.75,0.6402
9500,0.8,0.6375
10000,0.84,0.6311
10500,0.88,0.6285
11000,0.92,0.6256
11500,0.96,0.6203
12000,1.01,0.6193
12500,1.05,0.6161
13000,1.09,0.614
13500,1.13,0.6124
14000,1.17,0.6102
14500,1.21,0.6088
15000,1.26,0.6094
15500,1.3,0.6091
16000,1.34,0.6084
16500,1.38,0.6034
17000,1.42,0.6051
17500,1.47,0.608
18000,1.51,0.6013
18500,1.55,0.6022
19000,1.59,0.6026
19500,1.63,0.6011
20000,1.68,0.6017
20500,1.72,0.5995
21000,1.76,0.5997
21500,1.8,0.5998
22000,1.84,0.5977
22500,1.89,0.5981
23000,1.93,0.5963
23500,1.97,0.5983
24000,2.01,0.5945
24500,2.05,0.5914
25000,2.09,0.5918
25500,2.14,0.5951
26000,2.18,0.5931
26500,2.22,0.5931
27000,2.26,0.5931
27500,2.3,0.5915
28000,2.35,0.5925
28500,2.39,0.5895
29000,2.43,0.5908
29500,2.47,0.5903
30000,2.51,0.5903
30500,2.56,0.5906
31000,2.6,0.587
31500,2.64,0.5889
32000,2.68,0.5904
32500,2.72,0.5884
33000,2.76,0.5884
33500,2.81,0.5888
34000,2.85,0.5881
34500,2.89,0.5878
35000,2.93,0.5903
35500,2.97,0.5897
36000,3.02,0.5871
36500,3.06,0.585
37000,3.1,0.5853
37500,3.14,0.587
38000,3.18,0.5837
38500,3.23,0.5826
39000,3.27,0.5868
39500,3.31,0.5817
40000,3.35,0.5812
40500,3.39,0.5834
41000,3.44,0.5846
41500,3.48,0.5831
42000,3.52,0.5821
42500,3.56,0.5838
43000,3.6,0.5862
43500,3.64,0.5828
44000,3.69,0.5841
44500,3.73,0.5844
45000,3.77,0.5826
45500,3.81,0.5807
46000,3.85,0.5816
46500,3.9,0.583
47000,3.94,0.5812
47500,3.98,0.5837
48000,4.02,0.5786
48500,4.06,0.5781
49000,4.11,0.5782
49500,4.15,0.5787
50000,4.19,0.5804
50500,4.23,0.577
51000,4.27,0.5785
51500,4.32,0.5775
52000,4.36,0.5786
52500,4.4,0.5801
53000,4.44,0.5776
53500,4.48,0.5801
54000,4.52,0.579
54500,4.57,0.5799
55000,4.61,0.5782
55500,4.65,0.5789
56000,4.69,0.5796
56500,4.73,0.5769
57000,4.78,0.5777
57500,4.82,0.5783
58000,4.86,0.5781
58500,4.9,0.578
59000,4.94,0.5808
59500,4.99,0.5796
60000,5.03,0.5764
60500,5.07,0.5733
61000,5.11,0.5746
61500,5.15,0.5757
62000,5.19,0.5735
62500,5.24,0.5744
63000,5.28,0.5749
63500,5.32,0.5738
64000,5.36,0.576
64500,5.4,0.5723
65000,5.45,0.5735
65500,5.49,0.5745
66000,5.53,0.5744
66500,5.57,0.5748
67000,5.61,0.5764
67500,5.66,0.5741
