,target_var,condition_var,condition_val,prob
0,X40,X73,0,0.9089453816413879
1,X40,X73,1,0.9148327112197876
2,X23,X48,0,0.8584701418876648
3,X23,X48,1,0.9115745425224304
4,X76,X62,0,0.19417941570281982
5,X76,X62,1,0.19473467767238617
6,X48,X54,0,0.8532314300537109
7,X48,X54,1,0.8592832088470459
8,X81,X50,0,0.11756184697151184
9,X81,X50,1,0.09331588447093964
10,X1,X19,0,0.25053441524505615
11,X1,X19,1,0.24223801493644714
12,X47,X28,0,0.3464449942111969
13,X47,X28,1,0.3427391052246094
14,X21,X25,0,0.2160738706588745
15,X21,X25,1,0.20772497355937958
16,X63,X68,0,0.8297364115715027
17,X63,X68,1,0.8252447843551636
18,X3,X7,0,0.17735528945922852
19,X3,X7,1,0.17801424860954285
20,X30,X63,0,0.4179721772670746
21,X30,X63,1,0.4207081198692322
22,X42,X51,0,0.4785003066062927
23,X42,X51,1,0.47049903869628906
24,X46,X84,0,0.688484787940979
25,X46,X84,1,0.6857104897499084
26,X91,X77,0,0.4364156126976013
27,X91,X77,1,0.4347917437553406
28,X32,X16,0,0.5828120112419128
29,X32,X16,1,0.5976670384407043
30,X90,X40,0,0.48020875453948975
31,X90,X40,1,0.5195184350013733
32,X97,X61,0,0.8282086849212646
33,X97,X61,1,0.7897244095802307
34,X31,X38,0,0.06799532473087311
35,X31,X38,1,0.06838234513998032
36,X34,X42,0,0.4111339747905731
37,X34,X42,1,0.41279250383377075
38,X63,X64,0,0.8143465518951416
39,X63,X64,1,0.8168544769287109
40,X69,X61,0,0.4530543386936188
41,X69,X61,1,0.45148852467536926
42,X58,X35,0,0.7538530230522156
43,X58,X35,1,0.800646185874939
44,X57,X49,0,0.2621304988861084
45,X57,X49,1,0.26435986161231995
46,X73,X62,0,0.007136637344956398
47,X73,X62,1,0.007501757238060236
48,X89,X51,0,0.5525269508361816
49,X89,X51,1,0.5683306455612183
50,X43,X40,0,0.33670559525489807
51,X43,X40,1,0.3337663412094116
52,X8,X59,0,0.7051352858543396
53,X8,X59,1,0.6101109385490417
54,X26,X17,0,0.7774002552032471
55,X26,X17,1,0.777903139591217
56,X81,X27,0,0.11046741157770157
57,X81,X27,1,0.11300620436668396
58,X58,X15,0,0.8611516356468201
59,X58,X15,1,0.11024905741214752
60,X92,X17,0,0.6126043796539307
61,X92,X17,1,0.6087744235992432
62,X17,X85,0,0.26669323444366455
63,X17,X85,1,0.5843270421028137
64,X81,X31,0,0.09542006999254227
65,X81,X31,1,0.17313797771930695
66,X38,X92,0,0.2913829982280731
67,X38,X92,1,0.2921568751335144
68,X60,X19,0,0.41144660115242004
69,X60,X19,1,0.41856369376182556
70,X50,X42,0,0.5342015027999878
71,X50,X42,1,0.5342181324958801
72,X97,X23,0,0.6781094670295715
73,X97,X23,1,0.8293454647064209
74,X81,X94,0,0.11542584747076035
75,X81,X94,1,0.11382542550563812
76,X51,X50,0,0.9970782995223999
77,X51,X50,1,0.9984826445579529
78,X32,X47,0,0.5807999968528748
79,X32,X47,1,0.7310608625411987
80,X62,X51,0,0.6563533544540405
81,X62,X51,1,0.6509705781936646
82,X49,X50,0,0.9998313188552856
83,X49,X50,1,0.999825656414032
84,X25,X85,0,0.6840935945510864
85,X25,X85,1,0.4304489493370056
86,X63,X26,0,0.8009744882583618
87,X63,X26,1,0.8219042420387268
88,X74,X99,0,0.522627592086792
89,X74,X99,1,0.5362199544906616
90,X68,X59,0,0.034579720348119736
91,X68,X59,1,0.03576553612947464
92,X99,X62,0,0.2671911418437958
93,X99,X62,1,0.26688352227211
94,X63,X60,0,0.8196448087692261
95,X63,X60,1,0.8213093280792236
96,X3,X65,0,0.07026290893554688
97,X3,X65,1,0.1983051300048828
98,X32,X8,0,0.5845986604690552
99,X32,X8,1,0.5790491700172424
100,X55,X76,0,0.6133401393890381
101,X55,X76,1,0.6184316873550415
102,X42,X7,0,0.4748542606830597
103,X42,X7,1,0.47042515873908997
104,X34,X68,0,0.41297540068626404
105,X34,X68,1,0.4143771231174469
106,X10,X62,0,0.05386025831103325
107,X10,X62,1,0.059432804584503174
108,X35,X48,0,0.9687770009040833
109,X35,X48,1,0.9798474311828613
110,X28,X43,0,0.5862480401992798
111,X28,X43,1,0.6045514345169067
112,X77,X55,0,0.3253982961177826
113,X77,X55,1,0.36379849910736084
114,X97,X35,0,0.4657413065433502
115,X97,X35,1,0.8199669718742371
116,X33,X71,0,0.8059062957763672
117,X33,X71,1,0.8063774704933167
118,X41,X78,0,0.7050648927688599
119,X41,X78,1,0.7045654654502869
120,X19,X41,0,0.32504481077194214
121,X19,X41,1,0.3211671710014343
122,X96,X90,0,0.42624205350875854
123,X96,X90,1,0.4284879267215729
124,X40,X36,0,0.9036945700645447
125,X40,X36,1,0.9075704216957092
126,X81,X52,0,0.11234943568706512
127,X81,X52,1,0.1078462228178978
128,X72,X25,0,0.5736902952194214
129,X72,X25,1,0.5736366510391235
130,X34,X64,0,0.4043852388858795
131,X34,X64,1,0.4080841839313507
132,X67,X46,0,0.29834800958633423
133,X67,X46,1,0.3047019839286804
134,X50,X68,0,0.5453264117240906
135,X50,X68,1,0.5454890727996826
136,X81,X12,0,0.13663269579410553
137,X81,X12,1,0.1296434849500656
138,X36,X39,0,0.7349667549133301
139,X36,X39,1,0.7330142259597778
140,X61,X50,0,0.18169613182544708
141,X61,X50,1,0.22115203738212585
142,X56,X34,0,0.13350345194339752
143,X56,X34,1,0.1353776901960373
144,X33,X87,0,0.692559540271759
145,X33,X87,1,0.9287898540496826
146,X50,X64,0,0.35673069953918457
147,X50,X64,1,0.5764767527580261
148,X15,X95,0,0.07958304136991501
149,X15,X95,1,0.08289027214050293
150,X52,X3,0,0.2762775123119354
151,X52,X3,1,0.7556984424591064
152,X62,X7,0,0.6705153584480286
153,X62,X7,1,0.6514676809310913
154,X94,X46,0,0.9559269547462463
155,X94,X46,1,0.9551618695259094
156,X14,X56,0,0.9186135530471802
157,X14,X56,1,0.9207903146743774
158,X84,X59,0,0.29239457845687866
159,X84,X59,1,0.34373918175697327
160,X34,X26,0,0.42783600091934204
161,X34,X26,1,0.41182127594947815
162,X24,X0,0,0.2427581399679184
163,X24,X0,1,0.24004054069519043
164,X77,X1,0,0.363525927066803
165,X77,X1,1,0.37230682373046875
166,X34,X60,0,0.4064367413520813
167,X34,X60,1,0.40808555483818054
168,X88,X21,0,0.005572061985731125
169,X88,X21,1,0.8933149576187134
170,X89,X11,0,0.6171913146972656
171,X89,X11,1,0.28098925948143005
172,X27,X54,0,0.5152385830879211
173,X27,X54,1,0.5281224846839905
174,X41,X79,0,0.7035751342773438
175,X41,X79,1,0.6765888333320618
176,X65,X32,0,0.5681018233299255
177,X65,X32,1,0.6327788829803467
178,X59,X6,0,0.16286496818065643
179,X59,X6,1,0.16323038935661316
180,X12,X61,0,0.284232497215271
181,X12,X61,1,0.28131651878356934
182,X82,X76,0,0.7835959196090698
183,X82,X76,1,0.7828061580657959
184,X41,X21,0,0.7114422917366028
185,X41,X21,1,0.6828883290290833
186,X50,X26,0,0.5479982495307922
187,X50,X26,1,0.5462791323661804
188,X69,X10,0,0.44745466113090515
189,X69,X10,1,0.44692960381507874
190,X50,X60,0,0.529278576374054
191,X50,X60,1,0.5528523325920105
192,X51,X92,0,0.9959936141967773
193,X51,X92,1,0.9961218237876892
194,X1,X63,0,0.21231144666671753
195,X1,X63,1,0.23290954530239105
196,X18,X49,0,0.03522299602627754
197,X18,X49,1,0.034849151968955994
198,X37,X23,0,0.6579608917236328
199,X37,X23,1,0.6587331295013428
200,X62,X11,0,0.6630997061729431
201,X62,X11,1,0.6527443528175354
202,X54,X58,0,0.7215834259986877
203,X54,X58,1,0.4852597415447235
204,X49,X92,0,0.9998226761817932
205,X49,X92,1,0.9998136162757874
206,X95,X33,0,0.33529239892959595
207,X95,X33,1,0.33517956733703613
208,X78,X50,0,0.4428468346595764
209,X78,X50,1,0.44521719217300415
210,X21,X17,0,0.22755934298038483
211,X21,X17,1,0.22372384369373322
212,X4,X64,0,0.47970670461654663
213,X4,X64,1,0.4315509796142578
214,X40,X86,0,0.9003621935844421
215,X40,X86,1,0.9061182141304016
216,X93,X34,0,0.6098284721374512
217,X93,X34,1,0.6079491376876831
218,X48,X11,0,0.8534377813339233
219,X48,X11,1,0.8666994571685791
220,X95,X51,0,0.3391275107860565
221,X95,X51,1,0.3327087461948395
222,X83,X90,0,0.3275327980518341
223,X83,X90,1,0.3426553010940552
224,X13,X85,0,0.36219313740730286
225,X13,X85,1,0.36018985509872437
226,X56,X0,0,0.13454431295394897
227,X56,X0,1,0.14198622107505798
228,X37,X35,0,0.6601270437240601
229,X37,X35,1,0.6616961359977722
230,X86,X46,0,0.8853073716163635
231,X86,X46,1,0.05125752463936806
232,X19,X5,0,0.33363762497901917
233,X19,X5,1,0.3288000226020813
234,X59,X95,0,0.1578194946050644
235,X59,X95,1,0.16536356508731842
236,X9,X25,0,0.9870562553405762
237,X9,X25,1,0.9887763857841492
238,X37,X15,0,0.6718537211418152
239,X37,X15,1,0.64225834608078
240,X20,X9,0,0.4471832811832428
241,X20,X9,1,0.4516826570034027
242,X61,X92,0,0.22072194516658783
243,X61,X92,1,0.21687698364257812
244,X42,X40,0,0.4817957580089569
245,X42,X40,1,0.48079362511634827
246,X60,X63,0,0.3913416564464569
247,X60,X63,1,0.39682939648628235
248,X78,X27,0,0.4360145926475525
249,X78,X27,1,0.43749913573265076
250,X54,X13,0,0.4903876483440399
251,X54,X13,1,0.49764660000801086
252,X78,X31,0,0.43206971883773804
253,X78,X31,1,0.4331305921077728
254,X81,X84,0,0.1270150989294052
255,X81,X84,1,0.12478795647621155
256,X20,X88,0,0.46622517704963684
257,X20,X88,1,0.4735623598098755
258,X67,X13,0,0.30667465925216675
259,X67,X13,1,0.3082565367221832
260,X58,X24,0,0.802643358707428
261,X58,X24,1,0.8007684350013733
262,X53,X85,0,0.26764681935310364
263,X53,X85,1,0.2793409824371338
264,X22,X54,0,0.5475030541419983
265,X22,X54,1,0.54654461145401
266,X55,X95,0,0.6123755574226379
267,X55,X95,1,0.6275915503501892
268,X27,X51,0,0.5459297299385071
269,X27,X51,1,0.540223240852356
270,X78,X94,0,0.3999421000480652
271,X78,X94,1,0.4363410174846649
272,X58,X38,0,0.8036556243896484
273,X58,X38,1,0.7979070544242859
274,X89,X40,0,0.5746572613716125
275,X89,X40,1,0.5734313726425171
276,X80,X72,0,0.9977399110794067
277,X80,X72,1,0.9975078105926514
278,X63,X50,0,0.8139169216156006
279,X63,X50,1,0.8155351281166077
280,X2,X10,0,0.623483419418335
281,X2,X10,1,0.5432842969894409
282,X48,X22,0,0.8536491394042969
283,X48,X22,1,0.8856741786003113
284,X6,X19,0,0.6156115531921387
285,X6,X19,1,0.6260112524032593
286,X56,X77,0,0.14351938664913177
287,X56,X77,1,0.14376842975616455
288,X65,X47,0,0.2876417636871338
289,X65,X47,1,0.9687531590461731
290,X95,X7,0,0.318870484828949
291,X95,X7,1,0.3355521857738495
292,X79,X9,0,0.09941111505031586
293,X79,X9,1,0.09602532535791397
294,X47,X1,0,0.3151416480541229
295,X47,X1,1,0.2999523878097534
296,X62,X40,0,0.6627210378646851
297,X62,X40,1,0.6603103876113892
298,X65,X22,0,0.5532954931259155
299,X65,X22,1,0.5592319965362549
300,X78,X52,0,0.4313792288303375
301,X78,X52,1,0.43193304538726807
302,X88,X82,0,0.17848555743694305
303,X88,X82,1,0.17864027619361877
304,X36,X42,0,0.7400224804878235
305,X36,X42,1,0.7401015162467957
