,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X71,X9,0,0.4988156866267673,0.4985199582000401,1.0,5.7,1.0,"['X77', 'X50', 'X94', 'X5', 'X15', 'X52', 'X3', 'X29', 'X76', 'X20', 'X4', 'X17', 'X93', 'X66', 'X63', 'X75', 'X90']"
1,X71,X9,1,0.899408771484741,0.29967413299579815,1.0,5.2,1.0,"['X99', 'X77', 'X67', 'X50', 'X21', 'X94', 'X87', 'X5', 'X15', 'X52', 'X3', 'X29', 'X76', 'X17', 'X4', 'X66', 'X63', 'X75', 'X90']"
2,X66,X42,0,0.8833000063896179,0.04802276520987633,1.0,6.3,0.9,"['X99', 'X84', 'X28', 'X77', 'X85', 'X45', 'X21', 'X87', 'X1', 'X15', 'X51', 'X29', 'X88', 'X76', 'X17', 'X4', 'X20', 'X57', 'X62', 'X74', 'X93', 'X47', 'X6', 'X75', 'X90']"
3,X66,X42,1,0.26755328066647055,0.11511678313367461,1.0,3.8,1.0,"['X29', 'X77', 'X76', 'X17', 'X20', 'X4', 'X93', 'X75', 'X15', 'X90']"
4,X24,X21,0,0.9023191750049591,0.05214417027436701,1.0,6.5,1.0,"['X99', 'X95', 'X49', 'X59', 'X11', 'X87', 'X64', 'X5', 'X3', 'X20', 'X4', 'X74', 'X47', 'X71', 'X90', 'X45', 'X84', 'X77', 'X26', 'X9', 'X2', 'X7', 'X25', 'X15', 'X51', 'X36', 'X88', 'X57', 'X62', 'X93', 'X10', 'X6', 'X75']"
5,X24,X21,1,0.3321732645039447,0.40439646053234857,1.0,5.9,1.0,"['X28', 'X81', 'X95', 'X26', 'X59', 'X9', 'X11', 'X7', 'X2', 'X87', 'X25', 'X20', 'X27', 'X10', 'X48']"
6,X61,X10,0,0.329264148324728,0.260176516084965,1.0,14.8,0.8,"['X34', 'X86', 'X72', 'X50', 'X11', 'X3', 'X27', 'X47', 'X96', 'X98', 'X63', 'X45', 'X28', 'X13', 'X77', 'X26', 'X21', 'X69', 'X25', 'X15', 'X36', 'X88', 'X14', 'X56', 'X55', 'X58', 'X62', 'X93', 'X0', 'X66', 'X6', 'X75', 'X70', 'X99', 'X95', 'X59', 'X79', 'X87', 'X64', 'X8', 'X5', 'X1', 'X29', 'X76', 'X20', 'X17', 'X4', 'X23', 'X24', 'X74', 'X48', 'X35', 'X90', 'X84', 'X81', 'X9', 'X2', 'X7', 'X92', 'X38', 'X30', 'X44', 'X85']"
7,X61,X10,1,0.9996105432510376,0.00012814262834761353,1.0,12.7,1.0,"['X34', 'X72', 'X50', 'X3', 'X27', 'X96', 'X63', 'X45', 'X28', 'X83', 'X26', 'X21', 'X69', 'X53', 'X25', 'X15', 'X51', 'X36', 'X14', 'X55', 'X93', 'X89', 'X6', 'X75', 'X70', 'X43', 'X99', 'X95', 'X33', 'X59', 'X79', 'X87', 'X64', 'X1', 'X5', 'X29', 'X76', 'X20', 'X4', 'X74', 'X48', 'X90', 'X84', 'X67', 'X9', 'X2', 'X7', 'X60', 'X38', 'X30']"
8,X61,X24,0,0.7882584393024444,0.11382352272844398,1.0,7.8,0.2,"['X72', 'X95', 'X33', 'X59', 'X11', 'X87', 'X3', 'X20', 'X27', 'X22', 'X48', 'X90', 'X28', 'X81', 'X26', 'X9', 'X21', 'X2', 'X7', 'X25', 'X14', 'X93', 'X38', 'X10', 'X0', 'X30', 'X6']"
9,X61,X24,1,0.9610462784767151,0.012593140184515954,1.0,3.3,0.0,"['X95', 'X20', 'X27', 'X26', 'X59', 'X9', 'X2', 'X7', 'X87']"
10,X82,X5,0,0.3374025225639343,0.24959715855600625,0.9,6.222222222222222,0.8888888888888888,"['X34', 'X99', 'X72', 'X46', 'X33', 'X50', 'X87', 'X8', 'X64', 'X1', 'X3', 'X29', 'X37', 'X20', 'X4', 'X48', 'X96', 'X80', 'X63', 'X90', 'X77', 'X67', 'X9', 'X21', 'X94', 'X15', 'X52', 'X36', 'X60', 'X56', 'X38', 'X93', 'X75']"
11,X82,X5,1,0.6858245177815357,0.3001428957205083,0.9,5.777777777777778,1.0,"['X33', 'X67', 'X50', 'X9', 'X94', 'X64', 'X87', 'X8', 'X1', 'X15', 'X52', 'X3', 'X36', 'X29', 'X20', 'X4', 'X56', 'X93', 'X38', 'X71', 'X63', 'X90']"
12,X63,X71,0,0.9929682075977325,0.001995150022436881,1.0,7.3,1.0,"['X34', 'X99', 'X72', 'X33', 'X50', 'X59', 'X87', 'X64', 'X5', 'X3', 'X29', 'X76', 'X17', 'X20', 'X4', 'X24', 'X98', 'X90', 'X77', 'X67', 'X9', 'X2', 'X94', 'X69', 'X53', 'X25', 'X15', 'X51', 'X52', 'X36', 'X55', 'X93', 'X38', 'X10', 'X66', 'X30', 'X75']"
13,X63,X71,1,0.05171497967094183,0.02047596179712202,1.0,6.9,1.0,"['X34', 'X99', 'X77', 'X50', 'X21', 'X87', 'X53', 'X5', 'X15', 'X51', 'X52', 'X36', 'X29', 'X76', 'X20', 'X4', 'X17', 'X93', 'X66', 'X30', 'X75', 'X90']"
14,X42,X50,0,0.00028868111985502765,0.00019363650337898727,1.0,1.3,0.8,"['X3', 'X29', 'X4', 'X5', 'X90']"
15,X42,X50,1,0.9766462743282318,0.03554448635212281,1.0,0.9,0.6,"['X71', 'X17', 'X4', 'X90']"
16,X17,X50,0,0.07713842540979385,0.021227383050596797,1.0,4.8,0.8,"['X99', 'X84', 'X77', 'X45', 'X9', 'X21', 'X87', 'X5', 'X15', 'X51', 'X3', 'X29', 'X88', 'X76', 'X20', 'X4', 'X57', 'X75', 'X62', 'X74', 'X93', 'X71', 'X47', 'X85', 'X63', 'X6', 'X90']"
