n_steps,epoch,train_loss
500,0.04,1.5355
1000,0.08,1.1414
1500,0.13,1.0478
2000,0.17,1.0203
2500,0.21,0.9917
3000,0.25,0.9447
3500,0.29,0.9
4000,0.33,0.8716
4500,0.38,0.847
5000,0.42,0.8315
5500,0.46,0.817
6000,0.5,0.8064
6500,0.54,0.7992
7000,0.58,0.7911
7500,0.63,0.7842
8000,0.67,0.7791
8500,0.71,0.7721
9000,0.75,0.7699
9500,0.79,0.7634
10000,0.83,0.7571
10500,0.88,0.7556
11000,0.92,0.7483
11500,0.96,0.7431
12000,1.0,0.7383
12500,1.04,0.7355
13000,1.08,0.7329
13500,1.13,0.7288
14000,1.17,0.727
14500,1.21,0.726
15000,1.25,0.7203
15500,1.29,0.7189
16000,1.33,0.7196
16500,1.38,0.7164
17000,1.42,0.7102
17500,1.46,0.7107
18000,1.5,0.7089
18500,1.54,0.7036
19000,1.58,0.7039
19500,1.63,0.7018
20000,1.67,0.701
20500,1.71,0.7005
21000,1.75,0.6988
21500,1.79,0.6936
22000,1.83,0.6951
22500,1.88,0.6935
23000,1.92,0.6892
23500,1.96,0.6905
24000,2.0,0.6862
24500,2.04,0.6849
25000,2.09,0.6856
25500,2.13,0.6833
26000,2.17,0.6861
26500,2.21,0.685
27000,2.25,0.6827
27500,2.29,0.6807
28000,2.34,0.679
28500,2.38,0.6755
29000,2.42,0.6785
29500,2.46,0.675
30000,2.5,0.6727
30500,2.54,0.6718
31000,2.59,0.6703
31500,2.63,0.6714
32000,2.67,0.6669
32500,2.71,0.6686
33000,2.75,0.6667
33500,2.79,0.6694
34000,2.84,0.6666
34500,2.88,0.6641
35000,2.92,0.6632
35500,2.96,0.6647
36000,3.0,0.6642
36500,3.04,0.6609
37000,3.09,0.6602
37500,3.13,0.6586
38000,3.17,0.6574
38500,3.21,0.6577
39000,3.25,0.6552
39500,3.29,0.6529
40000,3.34,0.6542
40500,3.38,0.6533
41000,3.42,0.6525
41500,3.46,0.6556
42000,3.5,0.6527
42500,3.54,0.6534
43000,3.59,0.653
43500,3.63,0.6505
44000,3.67,0.6469
44500,3.71,0.6495
45000,3.75,0.6484
45500,3.79,0.6483
46000,3.84,0.649
46500,3.88,0.6476
47000,3.92,0.6432
47500,3.96,0.6439
48000,4.0,0.6461
48500,4.05,0.6444
