,target_var,condition_var,condition_val,prob,prob_std
0,X2,X22,False,0.9646309018135071,0.0
1,X2,X22,True,0.20156770944595337,0.0
2,X2,X91,False,0.9615142345428467,0.0
3,X2,X91,True,0.28989979475736616,0.24081870147582726
4,X22,X2,False,0.9809477984905243,0.043553798312585275
5,X22,X2,True,0.13446898087859155,0.0901043883670132
6,X22,X3,False,0.9664137959480286,0.026240704732735244
7,X22,X3,True,0.3427923619747162,0.0
8,X22,X32,False,0.08001533150672913,0.0
9,X22,X32,True,0.9957690238952637,0.0
10,X3,X22,False,0.9882774949073792,0.0
11,X3,X22,True,0.001326065044850111,0.0
12,X3,X56,False,0.11406604945659637,0.0
13,X3,X56,True,0.9731070399284363,0.0
14,X3,X66,False,0.9857358336448669,0.0
15,X3,X66,True,0.00048012740444391966,0.0
16,X3,X91,False,0.9240597486495972,0.0
17,X3,X91,True,0.1739605963230133,0.0
18,X30,X9,False,0.006282872054725885,0.0
19,X30,X9,True,0.37818971276283264,0.0
20,X31,X68,False,0.0019990955479443073,0.0
21,X31,X68,True,0.636306431517005,0.3305585110697721
22,X32,X22,False,0.012083355337381363,0.0
23,X32,X22,True,0.9900913238525391,0.0
24,X32,X56,False,0.9906793236732483,0.0
25,X32,X56,True,0.07463354468345643,0.04996595273057633
26,X32,X87,False,0.38437172770500183,0.0
27,X32,X87,True,0.9504441618919373,0.0
28,X41,X89,False,0.09693245589733124,0.0
29,X41,X89,True,0.9848378896713257,0.0
30,X41,X98,False,0.9712056517601013,0.0
31,X41,X98,True,0.05434184893965721,0.0
32,X45,X68,False,0.9974134564399719,0.0
33,X45,X68,True,0.7437827408313751,0.3932280661840656
34,X45,X98,False,0.9980313181877136,0.0
35,X45,X98,True,0.15542832687497138,0.2333868250009864
36,X49,X80,False,0.10766594856977463,0.0
37,X49,X80,True,0.7726097449660301,0.18478351218847733
38,X56,X3,False,0.10520587116479874,0.0
39,X56,X3,True,0.760785698890686,0.0
40,X56,X32,False,0.9926619529724121,0.0
41,X56,X32,True,0.05764773488044739,0.0
42,X56,X91,False,0.9963622689247131,0.0
43,X56,X91,True,0.06614531576633453,0.0
44,X66,X3,False,0.9943840503692627,0.0
45,X66,X3,True,0.001709086587652564,0.0
46,X66,X81,False,0.851675895228982,0.28340548128800097
47,X66,X81,True,0.055855675227940084,0.13724945171282185
48,X66,X87,False,0.007572939619421959,0.0
49,X66,X87,True,0.990503191947937,0.0
50,X68,X31,False,0.18903613686561585,0.038714419057814406
51,X68,X31,True,0.8264524102210998,0.031726755120242645
52,X68,X45,False,0.8765597939491272,0.0
53,X68,X45,True,0.3253847390413284,0.06531008849549746
54,X69,X97,False,0.0006149910041131079,0.0
55,X69,X97,True,0.08785336464643478,0.0
56,X74,X98,False,0.20017031729221343,0.4213468951789438
57,X74,X98,True,0.9996671676635742,0.0
58,X80,X49,False,0.0448821522295475,0.0
59,X80,X49,True,0.9184530973434448,0.0
60,X80,X81,False,0.11541760228574276,0.30942877869650254
61,X80,X81,True,0.9979285001754761,0.0
62,X80,X91,False,0.9518524408340454,0.0
63,X80,X91,True,0.0991007536649704,0.0
64,X80,X94,False,0.10095042627071962,0.31529845444087806
65,X80,X94,True,0.1013164526084438,0.3151186822991591
66,X81,X66,False,0.7082751736044883,0.34733682723354303
67,X81,X66,True,0.013222484849393368,0.0
68,X81,X80,False,0.04636475816369057,0.0
69,X81,X80,True,0.861876904964447,0.0
70,X87,X32,False,0.01849100925028324,0.0
71,X87,X32,True,0.9805709719657898,0.0
72,X87,X66,False,0.02329077385365963,0.0
73,X87,X66,True,0.9082529544830322,0.0
74,X87,X91,False,0.033900775015354156,0.0
75,X87,X91,True,0.7747157216072083,0.0
76,X89,X41,False,0.027226710692048073,0.0
77,X89,X41,True,0.8827239871025085,0.0
78,X9,X30,False,0.9992891550064087,0.0
79,X9,X30,True,0.9997449517250061,0.0
80,X91,X2,False,0.9952724575996399,0.0
81,X91,X2,True,0.051966410130262375,0.0
82,X91,X3,False,0.9798070192337036,0.0
83,X91,X3,True,0.25891149044036865,0.0
84,X91,X56,False,0.998783528804779,0.0
85,X91,X56,True,0.11340500060468912,0.3059526040417587
86,X91,X80,False,0.9007954943925143,0.3045421382428208
87,X91,X80,True,0.34277127161622045,0.44958240552675416
88,X91,X87,False,0.32619407773017883,0.0
89,X91,X87,True,0.9945067763328552,0.0
90,X94,X80,False,0.22653914839029313,0.3544163812996031
91,X94,X80,True,0.02439099536277354,0.019472805360473182
92,X97,X69,False,0.17581498685758562,0.3700045293379809
93,X97,X69,True,0.36590972542762756,0.0
94,X98,X41,False,0.9356952905654907,0.16378660850208607
95,X98,X41,True,0.05054182559251785,0.0
96,X98,X45,False,0.993973433971405,0.0
97,X98,X45,True,0.204447340965271,0.418373472949005
98,X98,X74,False,0.03929315507411957,0.0
99,X98,X74,True,0.855199933052063,0.0
