,target_var,condition_var,condition_val,prob
0,X0,X37,0,0.5226625800132751
1,X0,X37,1,0.5226640105247498
2,X61,X92,0,0.5217924118041992
3,X61,X92,1,0.5217928886413574
4,X47,X3,0,0.521785318851471
5,X47,X3,1,0.5217862129211426
6,X26,X86,0,0.5217702984809875
7,X26,X86,1,0.521771252155304
8,X24,X21,0,0.5217836499214172
9,X24,X21,1,0.521784782409668
10,X42,X56,0,0.5216915607452393
11,X42,X56,1,0.5216922760009766
12,X46,X98,0,0.5217959880828857
13,X46,X98,1,0.5217974185943604
14,X85,X46,0,0.5217809677124023
15,X85,X46,1,0.5217817425727844
16,X97,X95,0,0.521790087223053
17,X97,X95,1,0.5217908024787903
18,X8,X1,0,0.522310197353363
19,X8,X1,1,0.5223112106323242
20,X97,X19,0,0.5217931270599365
21,X97,X19,1,0.5217940807342529
22,X68,X81,0,0.5217817425727844
23,X68,X81,1,0.5217824578285217
24,X12,X20,0,0.5217772126197815
25,X12,X20,1,0.5217779278755188
26,X24,X35,0,0.5217931270599365
27,X24,X35,1,0.5217945575714111
28,X41,X89,0,0.5217762589454651
29,X41,X89,1,0.5217772126197815
30,X73,X0,0,0.522312581539154
31,X73,X0,1,0.5223140716552734
32,X60,X50,0,0.5217700600624084
33,X60,X50,1,0.521771252155304
34,X35,X9,0,0.5217890739440918
35,X35,X9,1,0.5217897891998291
36,X16,X80,0,0.5217886567115784
37,X16,X80,1,0.5217893719673157
38,X30,X85,0,0.521782636642456
39,X30,X85,1,0.5217836499214172
40,X89,X28,0,0.5217702984809875
41,X89,X28,1,0.5217714905738831
42,X5,X43,0,0.5216924548149109
43,X5,X43,1,0.5216937065124512
44,X40,X8,0,0.5217743515968323
45,X40,X8,1,0.5217750668525696
46,X57,X2,0,0.5217657685279846
47,X57,X2,1,0.521766722202301
48,X99,X34,0,0.5217957496643066
49,X99,X34,1,0.521796464920044
50,X83,X87,0,0.5218005180358887
51,X83,X87,1,0.5218017101287842
52,X9,X92,0,0.5217952728271484
