,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X56,X99,0,0.4686378836631775,2.913711870796311e-06,0.7,38.57142857142857,0.8571428571428571,"['X76', 'X95', 'X5', 'X81', 'X79', 'X36', 'X55', 'X13', 'X84', 'X28', 'X73', 'X61', 'X83', 'X68', 'X32', 'X26', 'X25', 'X67', 'X22', 'X82', 'X94', 'X91', 'X98', 'X3', 'X30', 'X24', 'X41', 'X43', 'X75', 'X48', 'X40', 'X35', 'X90', 'X38', 'X33', 'X70', 'X45', 'X65', 'X1', 'X72', 'X88', 'X20', 'X31', 'X4', 'X16', 'X77', 'X93', 'X78', 'X17', 'X11', 'X92', 'X64', 'X19', 'X58', 'X27', 'X71', 'X89', 'X51', 'X62', 'X69', 'X54', 'X9', 'X63', 'X53', 'X50', 'X39', 'X2', 'X21', 'X6', 'X14', 'X8', 'X66', 'X37', 'X86', 'X57', 'X47', 'X0', 'X34', 'X18', 'X96', 'X87', 'X12', 'X52', 'X85', 'X7', 'X49', 'X23', 'X74', 'X97', 'X46']"
1,X56,X99,1,0.4686394929885864,1.909024277402871e-06,0.5,30.2,0.8,"['X95', 'X5', 'X81', 'X79', 'X36', 'X55', 'X13', 'X61', 'X32', 'X83', 'X68', 'X26', 'X25', 'X67', 'X22', 'X82', 'X94', 'X91', 'X98', 'X30', 'X24', 'X41', 'X15', 'X75', 'X48', 'X38', 'X90', 'X33', 'X35', 'X45', 'X65', 'X1', 'X20', 'X31', 'X4', 'X10', 'X16', 'X77', 'X93', 'X78', 'X17', 'X11', 'X64', 'X92', 'X59', 'X58', 'X27', 'X89', 'X51', 'X62', 'X69', 'X54', 'X63', 'X53', 'X44', 'X46', 'X50', 'X2', 'X21', 'X6', 'X14', 'X66', 'X37', 'X86', 'X57', 'X47', 'X0', 'X18', 'X96', 'X87', 'X12', 'X52', 'X85', 'X23', 'X74', 'X97', 'X76']"
2,X26,X9,0,0.4686353419508253,7.087579017005853e-06,0.7,24.428571428571427,0.2857142857142857,"['X5', 'X81', 'X79', 'X36', 'X55', 'X13', 'X84', 'X73', 'X61', 'X83', 'X68', 'X32', 'X25', 'X67', 'X22', 'X82', 'X94', 'X91', 'X98', 'X3', 'X30', 'X24', 'X99', 'X41', 'X43', 'X75', 'X48', 'X40', 'X35', 'X38', 'X33', 'X90', 'X70', 'X45', 'X65', 'X1', 'X88', 'X20', 'X31', 'X4', 'X10', 'X16', 'X77', 'X93', 'X17', 'X78', 'X92', 'X64', 'X59', 'X58', 'X27', 'X71', 'X51', 'X62', 'X69', 'X54', 'X63', 'X53', 'X44', 'X50', 'X2', 'X21', 'X42', 'X6', 'X14', 'X66', 'X37', 'X86', 'X57', 'X47', 'X0', 'X18', 'X96', 'X87', 'X12', 'X52', 'X85', 'X49', 'X7', 'X23', 'X74', 'X97', 'X46']"
3,X26,X9,1,0.4686357428630193,4.118059006974229e-06,0.6,23.0,0.16666666666666666,"['X76', 'X5', 'X81', 'X79', 'X36', 'X55', 'X13', 'X84', 'X73', 'X61', 'X32', 'X83', 'X67', 'X22', 'X82', 'X94', 'X91', 'X3', 'X24', 'X41', 'X15', 'X43', 'X75', 'X48', 'X40', 'X38', 'X90', 'X33', 'X35', 'X70', 'X65', 'X1', 'X88', 'X20', 'X31', 'X29', 'X4', 'X10', 'X16', 'X80', 'X77', 'X93', 'X17', 'X78', 'X11', 'X92', 'X64', 'X19', 'X58', 'X27', 'X71', 'X51', 'X62', 'X69', 'X54', 'X63', 'X53', 'X39', 'X2', 'X21', 'X6', 'X8', 'X14', 'X66', 'X37', 'X57', 'X47', 'X18', 'X96', 'X87', 'X52', 'X49', 'X7', 'X23', 'X74', 'X46']"
4,X4,X76,0,0.4686378538608551,3.072459004410438e-06,0.8,25.0,0.375,"['X95', 'X5', 'X81', 'X79', 'X36', 'X55', 'X56', 'X13', 'X84', 'X61', 'X83', 'X68', 'X32', 'X26', 'X67', 'X22', 'X82', 'X94', 'X91', 'X98', 'X3', 'X30', 'X99', 'X41', 'X43', 'X75', 'X48', 'X40', 'X35', 'X90', 'X33', 'X70', 'X65', 'X45', 'X72', 'X88', 'X20', 'X31', 'X10', 'X16', 'X77', 'X93', 'X78', 'X17', 'X11', 'X92', 'X64', 'X58', 'X27', 'X71', 'X89', 'X51', 'X62', 'X69', 'X54', 'X63', 'X53', 'X50', 'X2', 'X21', 'X6', 'X14', 'X8', 'X66', 'X37', 'X86', 'X57', 'X47', 'X0', 'X34', 'X96', 'X87', 'X12', 'X52', 'X85', 'X7', 'X23', 'X74', 'X46']"
5,X4,X76,1,0.4686367094516754,1.064530612340443e-05,1.0,19.8,0.3,"['X5', 'X81', 'X79', 'X56', 'X55', 'X13', 'X28', 'X73', 'X61', 'X83', 'X68', 'X32', 'X26', 'X25', 'X67', 'X22', 'X82', 'X94', 'X91', 'X98', 'X3', 'X30', 'X24', 'X99', 'X15', 'X41', 'X43', 'X75', 'X48', 'X40', 'X38', 'X90', 'X33', 'X35', 'X70', 'X65', 'X45', 'X1', 'X72', 'X88', 'X20', 'X31', 'X10', 'X16', 'X77', 'X93', 'X17', 'X11', 'X92', 'X64', 'X19', 'X58', 'X71', 'X89', 'X51', 'X62', 'X69', 'X54', 'X9', 'X63', 'X53', 'X50', 'X2', 'X21', 'X6', 'X14', 'X66', 'X37', 'X86', 'X57', 'X47', 'X0', 'X96', 'X87', 'X12', 'X52', 'X85', 'X49', 'X23', 'X74', 'X97', 'X46']"
6,X80,X60,0,0.4686400592327118,0.0,0.1,58.0,1.0,"['X77', 'X78', 'X17', 'X11', 'X4', 'X64', 'X92', 'X5', 'X58', 'X81', 'X36', 'X56', 'X51', 'X62', 'X13', 'X69', 'X54', 'X84', 'X28', 'X9', 'X53', 'X39', 'X32', 'X68', 'X2', 'X25', 'X22', 'X6', 'X82', 'X94', 'X91', 'X66', 'X37', 'X86', 'X98', 'X57', 'X47', 'X3', 'X24', 'X41', 'X18', 'X96', 'X75', 'X48', 'X12', 'X52', 'X35', 'X33', 'X7', 'X70', 'X23', 'X45', 'X1', 'X20', 'X29', 'X10', 'X46', 'X16']"
7,X80,X60,1,0.46863609552383423,9.669311332618257e-07,0.3,26.333333333333332,0.3333333333333333,"['X10', 'X77', 'X93', 'X78', 'X11', 'X64', 'X92', 'X5', 'X81', 'X58', 'X79', 'X71', 'X89', 'X51', 'X62', 'X13', 'X54', 'X9', 'X63', 'X53', 'X39', 'X32', 'X50', 'X2', 'X25', 'X67', 'X6', 'X14', 'X8', 'X82', 'X91', 'X66', 'X37', 'X86', 'X98', 'X57', 'X47', 'X3', 'X24', 'X34', 'X15', 'X96', 'X43', 'X48', 'X40', 'X12', 'X35', 'X52', 'X38', 'X49', 'X7', 'X70', 'X45', 'X65', 'X23', 'X72', 'X20', 'X74', 'X4', 'X46', 'X16']"
8,X99,X56,0,0.46863898634910583,1.0728836059570312e-06,0.2,34.5,1.0,"['X81', 'X79', 'X55', 'X13', 'X61', 'X83', 'X32', 'X68', 'X26', 'X25', 'X67', 'X94', 'X91', 'X98', 'X30', 'X24', 'X41', 'X48', 'X40', 'X38', 'X90', 'X33', 'X45', 'X65', 'X1', 'X88', 'X20', 'X4', 'X16', 'X77', 'X17', 'X78', 'X11', 'X64', 'X58', 'X89', 'X51', 'X62', 'X69', 'X54', 'X9', 'X53', 'X2', 'X42', 'X6', 'X14', 'X66', 'X37', 'X0', 'X96', 'X52', 'X85', 'X49', 'X23', 'X74', 'X46']"
9,X99,X56,1,0.46863800287246704,4.308884041768984e-06,0.3,32.0,0.3333333333333333,"['X95', 'X5', 'X81', 'X79', 'X55', 'X13', 'X73', 'X61', 'X83', 'X68', 'X26', 'X67', 'X22', 'X98', 'X3', 'X30', 'X24', 'X15', 'X41', 'X43', 'X75', 'X48', 'X40', 'X38', 'X35', 'X90', 'X33', 'X70', 'X65', 'X45', 'X1', 'X72', 'X20', 'X31', 'X4', 'X16', 'X80', 'X77', 'X93', 'X78', 'X11', 'X64', 'X92', 'X59', 'X19', 'X58', 'X27', 'X89', 'X62', 'X69', 'X54', 'X63', 'X53', 'X60', 'X50', 'X21', 'X6', 'X14', 'X66', 'X37', 'X57', 'X47', 'X0', 'X87', 'X12', 'X52', 'X23', 'X76']"
