,target_var,condition_var,condition_val,prob
0,X63,X60,0,0.6790058016777039
1,X63,X60,1,0.6550636887550354
2,X27,X96,0,0.5321934223175049
3,X27,X96,1,0.5330658555030823
4,X84,X65,0,0.0766272321343422
5,X84,X65,1,0.07862179726362228
6,X86,X20,0,0.11561118066310883
7,X86,X20,1,0.1144493892788887
8,X57,X63,0,0.00038738749572075903
9,X57,X63,1,0.00036607583751901984
10,X2,X17,0,0.8611983060836792
11,X2,X17,1,0.8610649108886719
12,X94,X41,0,0.6967090964317322
13,X94,X41,1,0.6868100762367249
14,X1,X39,0,0.5542937517166138
15,X1,X39,1,0.5503647923469543
16,X25,X7,0,0.9887329339981079
17,X25,X7,1,0.988045871257782
18,X27,X24,0,0.543445885181427
19,X27,X24,1,0.5440837144851685
20,X64,X9,0,0.592036783695221
21,X64,X9,1,0.6030950546264648
22,X64,X34,0,0.6048441529273987
23,X64,X34,1,0.6035382747650146
24,X79,X97,0,0.8085329532623291
25,X79,X97,1,0.8104853630065918
26,X0,X2,0,0.49655038118362427
27,X0,X2,1,0.4918186366558075
28,X18,X97,0,0.5539688467979431
29,X18,X97,1,0.5547305345535278
30,X42,X57,0,0.0004668627807404846
31,X42,X57,1,0.0006646652473136783
32,X98,X95,0,0.39778080582618713
33,X98,X95,1,0.39348769187927246
34,X45,X56,0,0.3845042288303375
35,X45,X56,1,0.4493357539176941
36,X22,X5,0,0.7681909203529358
37,X22,X5,1,0.7693957686424255
38,X1,X49,0,0.5719162821769714
39,X1,X49,1,0.5650144815444946
40,X82,X48,0,0.6810627579689026
41,X82,X48,1,0.6817964911460876
42,X66,X83,0,0.023989900946617126
43,X66,X83,1,0.023889485746622086
44,X69,X59,0,0.720584511756897
45,X69,X59,1,0.7207612991333008
46,X41,X85,0,0.09298334270715714
47,X41,X85,1,0.1032794862985611
48,X21,X49,0,0.18782593309879303
49,X21,X49,1,0.1842973679304123
50,X38,X3,0,0.4203709363937378
51,X38,X3,1,0.4217678904533386
52,X48,X77,0,0.7341721653938293
53,X48,X77,1,0.7319621443748474
54,X44,X96,0,0.5405380725860596
55,X44,X96,1,0.5385450124740601
56,X1,X47,0,0.3670198917388916
57,X1,X47,1,0.9840967655181885
58,X75,X40,0,0.7169766426086426
59,X75,X40,1,0.7203778624534607
60,X96,X74,0,0.28413859009742737
61,X96,X74,1,0.2851701080799103
62,X97,X8,0,0.07706692814826965
63,X97,X8,1,0.07661016285419464
64,X58,X84,0,0.1322280317544937
65,X58,X84,1,0.17158259451389313
66,X26,X14,0,0.07453583925962448
67,X26,X14,1,0.07353296875953674
68,X71,X80,0,0.30328649282455444
69,X71,X80,1,0.30278918147087097
70,X57,X38,0,0.0003668332356028259
71,X57,X38,1,0.00033545534824952483
72,X59,X48,0,0.050110965967178345
73,X59,X48,1,0.05012313649058342
74,X86,X3,0,0.11485937982797623
75,X86,X3,1,0.11560631543397903
76,X73,X84,0,0.6757522821426392
77,X73,X84,1,0.6750571131706238
78,X76,X69,0,0.1628236174583435
79,X76,X69,1,0.15709125995635986
80,X55,X67,0,0.5207859873771667
81,X55,X67,1,0.5182040333747864
82,X89,X69,0,0.5114287734031677
83,X89,X69,1,0.7257404923439026
84,X50,X48,0,0.06344959884881973
85,X50,X48,1,0.06388583034276962
86,X38,X65,0,0.38130345940589905
87,X38,X65,1,0.378530889749527
88,X58,X27,0,0.13853518664836884
89,X58,X27,1,0.13764120638370514
90,X60,X98,0,0.9840947985649109
91,X60,X98,1,0.9839062094688416
92,X97,X0,0,0.07476892322301865
93,X97,X0,1,0.07512231171131134
94,X73,X27,0,0.6731784343719482
95,X73,X27,1,0.6730452179908752
96,X82,X88,0,0.7072706818580627
97,X82,X88,1,0.7081102728843689
98,X28,X56,0,0.03862396255135536
99,X28,X56,1,0.03946671634912491
100,X57,X13,0,0.0004066810361109674
101,X57,X13,1,0.0003766818845178932
102,X64,X39,0,0.5966445207595825
103,X64,X39,1,0.5955557227134705
104,X99,X59,0,0.9919357299804688
105,X99,X59,1,0.9919258952140808
106,X23,X36,0,0.6820515394210815
107,X23,X36,1,0.6824005246162415
108,X29,X9,0,0.9942294359207153
109,X29,X9,1,0.9941712021827698
110,X48,X41,0,0.7413252592086792
111,X48,X41,1,0.7380728721618652
112,X51,X18,0,0.3073846101760864
113,X51,X18,1,0.3125339150428772
114,X55,X38,0,0.5228633880615234
115,X55,X38,1,0.5247033834457397
116,X60,X22,0,0.9840071797370911
117,X60,X22,1,0.9843525290489197
118,X86,X65,0,0.11119256168603897
119,X86,X65,1,0.11192634701728821
120,X98,X85,0,0.3933424651622772
121,X98,X85,1,0.3931979537010193
122,X53,X96,0,0.939762532711029
123,X53,X96,1,0.939526379108429
124,X29,X34,0,0.994792640209198
125,X29,X34,1,0.9945235252380371
126,X51,X79,0,0.30432265996932983
127,X51,X79,1,0.30731698870658875
128,X31,X90,0,0.8889299631118774
129,X31,X90,1,0.8905566334724426
130,X10,X63,0,0.19915007054805756
131,X10,X63,1,0.19405977427959442
132,X32,X42,0,0.15015290677547455
133,X32,X42,1,0.15103819966316223
134,X59,X88,0,0.049380525946617126
135,X59,X88,1,0.050428543239831924
136,X19,X75,0,0.9834361672401428
137,X19,X75,1,0.983754575252533
138,X83,X15,0,0.8746408820152283
139,X83,X15,1,0.8743274807929993
140,X78,X51,0,0.03505934402346611
141,X78,X51,1,0.03526291251182556
142,X64,X49,0,0.6037297248840332
143,X64,X49,1,0.600482165813446
144,X97,X68,0,0.07126777619123459
145,X97,X68,1,0.07103627920150757
146,X90,X30,0,0.8840544819831848
147,X90,X30,1,0.8841865658760071
148,X91,X15,0,0.019986478611826897
149,X91,X15,1,0.023450259119272232
150,X50,X88,0,0.06315622478723526
151,X50,X88,1,0.06344268471002579
152,X71,X52,0,0.31123629212379456
153,X71,X52,1,0.3045955002307892
154,X61,X86,0,0.43635886907577515
155,X61,X86,1,0.4317058324813843
156,X66,X33,0,0.028656015172600746
157,X66,X33,1,0.031291354447603226
158,X4,X97,0,0.9223344922065735
159,X4,X97,1,0.9209066033363342
160,X64,X47,0,0.5973963737487793
161,X64,X47,1,0.5955775380134583
162,X77,X80,0,0.4259372651576996
163,X77,X80,1,0.42583975195884705
164,X15,X77,0,0.05106193944811821
165,X15,X77,1,0.049930691719055176
166,X46,X54,0,0.9745809435844421
167,X46,X54,1,0.9745597839355469
168,X27,X3,0,0.6176642179489136
169,X27,X3,1,0.6222085356712341
170,X80,X19,0,0.37223953008651733
171,X80,X19,1,0.3690827488899231
172,X2,X73,0,0.8620034456253052
173,X2,X73,1,0.8621813654899597
174,X57,X7,0,0.0004268667835276574
175,X57,X7,1,0.00036547676427289844
176,X73,X16,0,0.6685952544212341
177,X73,X16,1,0.6682741641998291
178,X75,X86,0,0.7173316478729248
179,X75,X86,1,0.7182824611663818
180,X58,X64,0,0.14065536856651306
181,X58,X64,1,0.14055292308330536
182,X66,X99,0,0.024566883221268654
183,X66,X99,1,0.024134257808327675
184,X79,X44,0,0.8078967928886414
185,X79,X44,1,0.803300678730011
186,X32,X87,0,0.15049678087234497
187,X32,X87,1,0.1522464156150818
188,X18,X44,0,0.5623370409011841
189,X18,X44,1,0.5621622204780579
190,X84,X5,0,0.06370304524898529
191,X84,X5,1,0.09800510853528976
192,X6,X44,0,0.9823426604270935
193,X6,X44,1,0.016533138230443
194,X95,X96,0,0.9191311001777649
195,X95,X96,1,0.9194077253341675
196,X33,X62,0,0.09205007553100586
197,X33,X62,1,0.09248539805412292
198,X51,X4,0,0.33284851908683777
199,X51,X4,1,0.300168514251709
200,X73,X64,0,0.672540545463562
201,X73,X64,1,0.6742926836013794
202,X46,X30,0,0.9746670126914978
203,X46,X30,1,0.9621285200119019
204,X65,X76,0,0.021951181814074516
205,X65,X76,1,0.02233661152422428
206,X20,X11,0,0.3679201006889343
207,X20,X11,1,0.3696294128894806
208,X78,X32,0,0.036612387746572495
209,X78,X32,1,0.03647465631365776
210,X67,X14,0,0.46481260657310486
211,X67,X14,1,0.4650261402130127
212,X1,X71,0,0.5998560190200806
213,X1,X71,1,0.5992517471313477
214,X14,X25,0,0.9809959530830383
215,X14,X25,1,0.9803358316421509
216,X29,X39,0,0.9937832355499268
217,X29,X39,1,0.9943007230758667
218,X61,X26,0,0.4398878514766693
219,X61,X26,1,0.4341157078742981
220,X10,X38,0,0.19595114886760712
221,X10,X38,1,0.1898149847984314
222,X28,X31,0,0.038304999470710754
223,X28,X31,1,0.03945948928594589
224,X47,X54,0,0.39864009618759155
225,X47,X54,1,0.394003301858902
226,X37,X97,0,0.9381766319274902
227,X37,X97,1,0.9363867044448853
228,X55,X7,0,0.5187047123908997
229,X55,X7,1,0.5174596905708313
230,X1,X93,0,0.5900564193725586
231,X1,X93,1,0.590050458908081
232,X33,X63,0,0.08953580260276794
233,X33,X63,1,0.0899958610534668
234,X62,X29,0,0.17427821457386017
235,X62,X29,1,0.17367546260356903
236,X15,X41,0,0.049102816730737686
237,X15,X41,1,0.0509687215089798
238,X39,X77,0,0.8466953635215759
239,X39,X77,1,0.8444209098815918
240,X90,X70,0,0.8793579339981079
241,X90,X70,1,0.87994784116745
242,X93,X96,0,0.2273697853088379
243,X93,X96,1,0.22736546397209167
244,X81,X99,0,0.8082968592643738
245,X81,X99,1,0.8085814714431763
246,X57,X89,0,0.0005362852825783193
247,X57,X89,1,0.00048662637709639966
248,X47,X30,0,0.3993702828884125
249,X47,X30,1,0.396139532327652
250,X10,X13,0,0.19873501360416412
251,X10,X13,1,0.19368895888328552
252,X77,X52,0,0.42773866653442383
253,X77,X52,1,0.4267219007015228
254,X8,X94,0,0.3036130368709564
255,X8,X94,1,0.30358943343162537
256,X29,X49,0,0.9943878054618835
257,X29,X49,1,0.9944091439247131
258,X20,X94,0,0.3692548871040344
259,X20,X94,1,0.37177833914756775
260,X11,X70,0,0.22470372915267944
261,X11,X70,1,0.22431090474128723
262,X5,X77,0,0.19104216992855072
263,X5,X77,1,0.19117455184459686
264,X68,X0,0,0.13597244024276733
