,target_var,condition_var,condition_val,prob
0,X42,X21,0,0.024029364809393883
1,X42,X21,1,0.027185244485735893
2,X18,X58,0,0.043795257806777954
3,X18,X58,1,0.04207085445523262
4,X76,X50,0,0.4690943658351898
5,X76,X50,1,0.47272390127182007
6,X37,X41,0,0.3484153747558594
7,X37,X41,1,0.35325124859809875
8,X74,X65,0,0.7192150950431824
9,X74,X65,1,0.7217215895652771
10,X63,X75,0,0.9695320129394531
11,X63,X75,1,0.9702871441841125
12,X28,X46,0,0.656173050403595
13,X28,X46,1,0.6659042835235596
14,X21,X52,0,0.38271602988243103
15,X21,X52,1,0.3895585834980011
16,X1,X83,0,0.7505818605422974
17,X1,X83,1,0.752707839012146
18,X7,X65,0,0.6090584993362427
19,X7,X65,1,0.6029733419418335
20,X27,X7,0,0.7662755250930786
21,X27,X7,1,0.7610504627227783
22,X25,X97,0,0.23737403750419617
23,X25,X97,1,0.23138554394245148
24,X66,X96,0,0.5658372044563293
25,X66,X96,1,0.5651970505714417
26,X90,X43,0,0.6260665655136108
27,X90,X43,1,0.6244362592697144
28,X16,X17,0,0.5568844079971313
29,X16,X17,1,0.5505139231681824
30,X56,X29,0,0.9832909107208252
31,X56,X29,1,0.9820161461830139
32,X90,X48,0,0.6192671060562134
33,X90,X48,1,0.6201306581497192
34,X10,X18,0,0.950977623462677
35,X10,X18,1,0.9564186930656433
36,X70,X63,0,0.8489514589309692
37,X70,X63,1,0.8497775793075562
38,X6,X37,0,0.16500860452651978
39,X6,X37,1,0.16916513442993164
40,X66,X15,0,0.5635492205619812
41,X66,X15,1,0.5624271631240845
42,X81,X31,0,0.14265243709087372
43,X81,X31,1,0.14237132668495178
44,X20,X37,0,0.11699672043323517
45,X20,X37,1,0.11483368277549744
46,X95,X42,0,0.05942123755812645
47,X95,X42,1,0.05960448458790779
48,X53,X29,0,0.1360163390636444
49,X53,X29,1,0.1409926414489746
50,X47,X20,0,0.40212175250053406
51,X47,X20,1,0.4037255048751831
52,X43,X84,0,0.3572749197483063
53,X43,X84,1,0.3592410087585449
54,X81,X16,0,0.14183640480041504
55,X81,X16,1,0.14234106242656708
56,X8,X86,0,0.5363076329231262
57,X8,X86,1,0.5320680141448975
58,X37,X3,0,0.36062735319137573
59,X37,X3,1,0.3552742898464203
60,X18,X91,0,0.0397811084985733
61,X18,X91,1,0.05290989950299263
62,X62,X39,0,0.5285208225250244
63,X62,X39,1,0.528876543045044
64,X68,X20,0,0.9844480752944946
65,X68,X20,1,0.9866781234741211
66,X90,X61,0,0.620864748954773
67,X90,X61,1,0.6226928234100342
68,X5,X81,0,0.9998816251754761
69,X5,X81,1,0.9998496770858765
70,X16,X38,0,0.552695095539093
71,X16,X38,1,0.5437518358230591
72,X22,X80,0,0.264388769865036
73,X22,X80,1,0.2613797187805176
74,X19,X6,0,0.8053596019744873
75,X19,X6,1,0.8140880465507507
76,X47,X42,0,0.4063318371772766
77,X47,X42,1,0.4051455557346344
78,X81,X8,0,0.1420736163854599
79,X81,X8,1,0.14225877821445465
80,X87,X61,0,0.06565595418214798
81,X87,X61,1,0.06730867922306061
82,X24,X97,0,0.8929047584533691
83,X24,X97,1,0.8954780101776123
84,X52,X6,0,0.9990992546081543
85,X52,X6,1,0.9996901750564575
86,X52,X95,0,0.99869304895401
87,X52,X95,1,0.9989646673202515
88,X55,X36,0,0.0020494635682553053
89,X55,X36,1,0.002264296403154731
90,X10,X2,0,0.9515014290809631
91,X10,X2,1,0.9526812434196472
92,X71,X96,0,0.15047459304332733
93,X71,X96,1,0.14449027180671692
94,X73,X41,0,0.975302517414093
95,X73,X41,1,0.9750692844390869
96,X87,X14,0,0.05928967148065567
97,X87,X14,1,0.05974394083023071
98,X3,X69,0,0.8958767056465149
99,X3,X69,1,0.883793294429779
100,X93,X33,0,0.14057815074920654
101,X93,X33,1,0.14249517023563385
102,X79,X17,0,0.28156667947769165
103,X79,X17,1,0.28587615489959717
104,X4,X32,0,0.7226617932319641
105,X4,X32,1,0.7225874662399292
106,X86,X5,0,0.9388193488121033
107,X86,X5,1,0.9378640651702881
108,X93,X50,0,0.13951151072978973
109,X93,X50,1,0.14100004732608795
110,X47,X79,0,0.42195650935173035
111,X47,X79,1,0.4163365662097931
112,X10,X7,0,0.9485929012298584
113,X10,X7,1,0.9492231607437134
114,X13,X51,0,0.19546116888523102
115,X13,X51,1,0.19474248588085175
116,X27,X86,0,0.7555873394012451
117,X27,X86,1,0.751853883266449
118,X71,X15,0,0.11876903474330902
119,X71,X15,1,0.11644788086414337
120,X56,X87,0,0.9761043787002563
121,X56,X87,1,0.9751994609832764
122,X26,X47,0,0.3611147999763489
123,X26,X47,1,0.35639458894729614
124,X68,X79,0,0.9797136187553406
125,X68,X79,1,0.9801579117774963
126,X1,X80,0,0.7503613233566284
127,X1,X80,1,0.7519848346710205
128,X85,X94,0,0.8970366716384888
129,X85,X94,1,0.9125491380691528
130,X57,X9,0,0.6713435053825378
131,X57,X9,1,0.6745634078979492
132,X53,X87,0,0.14405028522014618
133,X53,X87,1,0.14164325594902039
134,X97,X70,0,0.9857385158538818
135,X97,X70,1,0.9856160879135132
136,X86,X64,0,0.9388850927352905
137,X86,X64,1,0.9426808953285217
138,X25,X98,0,0.22969581186771393
139,X25,X98,1,0.23177021741867065
140,X70,X24,0,0.8543107509613037
141,X70,X24,1,0.8522553443908691
142,X79,X38,0,0.2810150682926178
143,X79,X38,1,0.28016072511672974
144,X76,X28,0,0.468182235956192
145,X76,X28,1,0.470600962638855
146,X2,X93,0,0.4971580505371094
147,X2,X93,1,0.39904868602752686
148,X15,X70,0,0.6738618612289429
149,X15,X70,1,0.6725659370422363
150,X94,X34,0,0.952279269695282
151,X94,X34,1,0.8206126689910889
152,X73,X3,0,0.9760926961898804
153,X73,X3,1,0.9770952463150024
154,X65,X32,0,0.44748222827911377
155,X65,X32,1,0.45519885420799255
156,X45,X40,0,0.6870614290237427
157,X45,X40,1,0.6873191595077515
158,X63,X42,0,0.9694418907165527
159,X63,X42,1,0.9704188108444214
160,X21,X53,0,0.38407254219055176
161,X21,X53,1,0.3879240155220032
162,X81,X59,0,0.13855692744255066
163,X81,X59,1,0.14367172122001648
164,X78,X25,0,0.9092243909835815
