,target_var,condition_var,condition_val,prob
0,X94,X37,0,0.7730807662010193
1,X94,X37,1,0.6743404269218445
2,X3,X49,0,0.7292152047157288
3,X3,X49,1,0.7266395092010498
4,X90,X75,0,0.8823193311691284
5,X90,X75,1,0.8781889081001282
6,X2,X50,0,0.8696979284286499
7,X2,X50,1,0.8740577101707458
8,X90,X49,0,0.8825151324272156
9,X90,X49,1,0.877371072769165
10,X81,X32,0,0.8043973445892334
11,X81,X32,1,0.8299945592880249
12,X48,X72,0,0.721093475818634
13,X48,X72,1,0.7417779564857483
14,X1,X39,0,0.6233822703361511
15,X1,X39,1,0.6416870355606079
16,X86,X26,0,0.11135628819465637
17,X86,X26,1,0.12283503264188766
18,X13,X90,0,0.3173651099205017
19,X13,X90,1,0.3164088726043701
20,X95,X54,0,0.9428250789642334
21,X95,X54,1,0.9395918846130371
22,X69,X55,0,0.7213162779808044
23,X69,X55,1,0.7026065587997437
24,X82,X43,0,0.02436666563153267
25,X82,X43,1,0.8210496306419373
26,X99,X69,0,0.9955183267593384
27,X99,X69,1,0.9968019723892212
28,X94,X3,0,0.705517590045929
29,X94,X3,1,0.6918770670890808
30,X67,X51,0,0.43070006370544434
31,X67,X51,1,0.4285493493080139
32,X2,X62,0,0.8666701912879944
33,X2,X62,1,0.8706890344619751
34,X11,X87,0,0.24362047016620636
35,X11,X87,1,0.20749059319496155
36,X8,X32,0,0.2757919132709503
37,X8,X32,1,0.27340102195739746
38,X50,X10,0,0.05234234035015106
39,X50,X10,1,0.05147049203515053
40,X80,X73,0,0.34945055842399597
41,X80,X73,1,0.3435249626636505
42,X43,X9,0,0.8408254981040955
43,X43,X9,1,0.833929717540741
44,X92,X22,0,0.2927992641925812
45,X92,X22,1,0.2655582129955292
46,X81,X11,0,0.794856071472168
47,X81,X11,1,0.7939000725746155
48,X41,X98,0,0.12527130544185638
49,X41,X98,1,0.11156502366065979
50,X3,X96,0,0.7260974049568176
51,X3,X96,1,0.7001877427101135
52,X98,X88,0,0.3785916566848755
53,X98,X88,1,0.3701668977737427
54,X58,X22,0,0.1250004917383194
55,X58,X22,1,0.1296800673007965
56,X36,X16,0,0.9190974831581116
57,X36,X16,1,0.9832800626754761
58,X15,X60,0,0.06216447800397873
59,X15,X60,1,0.053189393132925034
60,X43,X76,0,0.836951732635498
61,X43,X76,1,0.828230619430542
62,X86,X35,0,0.09511133283376694
63,X86,X35,1,0.11830629408359528
64,X90,X96,0,0.8677568435668945
65,X90,X96,1,0.8654145002365112
66,X94,X67,0,0.6527824401855469
67,X94,X67,1,0.7618334889411926
68,X61,X99,0,0.44650131464004517
69,X61,X99,1,0.4588409960269928
70,X58,X80,0,0.15875938534736633
71,X58,X80,1,0.13833214342594147
72,X8,X11,0,0.26924511790275574
73,X8,X11,1,0.26165857911109924
74,X61,X68,0,0.4042111337184906
75,X61,X68,1,0.4104830026626587
76,X70,X20,0,0.8192566633224487
77,X70,X20,1,0.8123045563697815
78,X31,X70,0,0.8830501437187195
79,X31,X70,1,0.8821594715118408
80,X68,X25,0,0.10728996247053146
81,X68,X25,1,0.10776365548372269
82,X34,X32,0,0.3564394414424896
83,X34,X32,1,0.7620696425437927
84,X38,X23,0,0.02754964493215084
85,X38,X23,1,0.5219366550445557
86,X81,X82,0,0.8061185479164124
87,X81,X82,1,0.8122416734695435
88,X5,X79,0,0.18643012642860413
89,X5,X79,1,0.1865072399377823
90,X39,X69,0,0.8086262345314026
91,X39,X69,1,0.795211911201477
92,X20,X75,0,0.3515499532222748
93,X20,X75,1,0.3689151108264923
94,X51,X81,0,0.29102709889411926
95,X51,X81,1,0.31856173276901245
96,X0,X52,0,0.500626802444458
97,X0,X52,1,0.49086102843284607
98,X99,X66,0,0.9957290291786194
99,X99,X66,1,0.9955118298530579
100,X8,X82,0,0.28732335567474365
101,X8,X82,1,0.2893601357936859
