,target_var,condition_var,condition_val,prob
0,X21,X45,0,0.3421972393989563
1,X21,X45,1,0.3709561228752136
2,X1,X94,0,0.9039859175682068
3,X1,X94,1,0.8978549242019653
4,X12,X27,0,0.6065503358840942
5,X12,X27,1,0.6323910355567932
6,X30,X66,0,0.530854344367981
7,X30,X66,1,0.4959910809993744
8,X46,X53,0,0.9905757904052734
9,X46,X53,1,0.9941410422325134
10,X59,X55,0,0.15744554996490479
11,X59,X55,1,0.15592455863952637
12,X61,X0,0,0.3800126910209656
13,X61,X0,1,0.37532469630241394
14,X40,X88,0,0.024340039119124413
15,X40,X88,1,0.02437916025519371
16,X9,X83,0,0.8628712296485901
17,X9,X83,1,0.8687502145767212
18,X26,X28,0,0.8586834073066711
19,X26,X28,1,0.8586520552635193
20,X78,X13,0,0.28791171312332153
21,X78,X13,1,0.28502145409584045
22,X6,X90,0,0.2692805826663971
23,X6,X90,1,0.28072381019592285
24,X93,X38,0,0.13644267618656158
25,X93,X38,1,0.1619018316268921
26,X81,X5,0,0.422488808631897
27,X81,X5,1,0.4041348695755005
28,X15,X0,0,0.26170387864112854
29,X15,X0,1,0.21414346992969513
30,X28,X99,0,0.10404971241950989
31,X28,X99,1,0.10527689754962921
32,X70,X19,0,0.912623405456543
33,X70,X19,1,0.9086317420005798
34,X87,X71,0,0.5003280639648438
35,X87,X71,1,0.5061413645744324
36,X8,X43,0,0.16824084520339966
37,X8,X43,1,0.18383903801441193
38,X48,X53,0,0.9963990449905396
39,X48,X53,1,0.9955587387084961
40,X71,X10,0,0.012111997231841087
41,X71,X10,1,0.012704250402748585
42,X60,X16,0,0.8709557056427002
43,X60,X16,1,0.6886692643165588
44,X67,X90,0,0.6572950482368469
45,X67,X90,1,0.1170632466673851
46,X44,X68,0,0.11923998594284058
47,X44,X68,1,0.12271014600992203
48,X30,X84,0,0.513762354850769
49,X30,X84,1,0.5096478462219238
50,X43,X82,0,0.47334009408950806
51,X43,X82,1,0.4701516628265381
52,X20,X96,0,0.8320702910423279
53,X20,X96,1,0.8288078308105469
54,X89,X15,0,0.6565538048744202
55,X89,X15,1,0.6442856192588806
56,X29,X20,0,8.138836710713804e-05
57,X29,X20,1,7.845928485039622e-05
58,X38,X1,0,0.8156624436378479
59,X38,X1,1,0.8287699222564697
60,X6,X57,0,0.10415413975715637
61,X6,X57,1,0.7672145962715149
62,X66,X1,0,0.4991183280944824
63,X66,X1,1,0.5474064350128174
64,X96,X48,0,0.763533353805542
65,X96,X48,1,0.7738118767738342
66,X81,X87,0,0.6619508862495422
67,X81,X87,1,0.10458390414714813
68,X62,X99,0,0.055464234203100204
69,X62,X99,1,0.3179348111152649
70,X42,X34,0,0.4002964496612549
71,X42,X34,1,0.3938744068145752
72,X2,X14,0,0.4043726325035095
73,X2,X14,1,0.4502500891685486
74,X51,X35,0,0.9898955821990967
75,X51,X35,1,0.9893187880516052
76,X67,X57,0,0.1303301602602005
77,X67,X57,1,0.13358576595783234
78,X43,X81,0,0.48137596249580383
79,X43,X81,1,0.4743693768978119
80,X48,X15,0,0.9960752129554749
81,X48,X15,1,0.9958782196044922
82,X65,X4,0,0.7195943593978882
83,X65,X4,1,0.712799072265625
84,X41,X3,0,0.7068265676498413
85,X41,X3,1,0.6850795745849609
86,X36,X29,0,0.9053630828857422
87,X36,X29,1,0.9098792672157288
88,X86,X44,0,0.46722209453582764
89,X86,X44,1,0.4493430554866791
90,X98,X20,0,0.32893267273902893
91,X98,X20,1,0.3329218029975891
92,X45,X50,0,0.7804780602455139
93,X45,X50,1,0.7795448303222656
94,X54,X20,0,0.4870155155658722
95,X54,X20,1,0.470502108335495
96,X26,X88,0,0.8476605415344238
97,X26,X88,1,0.8516020178794861
98,X72,X13,0,0.7061101198196411
99,X72,X13,1,0.7077957987785339
100,X13,X77,0,0.009759661741554737
101,X13,X77,1,0.011866438202559948
102,X75,X60,0,0.0530281588435173
103,X75,X60,1,0.057939063757658005
104,X93,X61,0,0.1441805064678192
105,X93,X61,1,0.14907582104206085
106,X94,X93,0,0.13016314804553986
107,X94,X93,1,0.13112714886665344
108,X82,X36,0,0.00267292489297688
109,X82,X36,1,0.0017520105466246605
110,X13,X92,0,0.008960199542343616
111,X13,X92,1,0.00914456881582737
112,X80,X84,0,0.7995621562004089
113,X80,X84,1,0.44908446073532104
114,X57,X64,0,0.261964350938797
115,X57,X64,1,0.25409266352653503
116,X16,X4,0,0.29035812616348267
117,X16,X4,1,0.2996078431606293
118,X5,X93,0,0.017840348184108734
119,X5,X93,1,0.020660128444433212
120,X37,X50,0,0.8968152403831482
121,X37,X50,1,0.8976750373840332
122,X13,X72,0,0.011455133557319641
123,X13,X72,1,0.013157925568521023
124,X55,X4,0,0.6151978373527527
125,X55,X4,1,0.6073616147041321
126,X86,X91,0,0.4469331204891205
127,X86,X91,1,0.44559574127197266
128,X5,X87,0,0.012550250627100468
129,X5,X87,1,0.013652416877448559
130,X42,X21,0,0.37989771366119385
131,X42,X21,1,0.3799322545528412
132,X14,X50,0,0.15003053843975067
133,X14,X50,1,0.1145419329404831
134,X22,X1,0,0.53367680311203
135,X22,X1,1,0.7171616554260254
136,X82,X90,0,0.002051327144727111
137,X82,X90,1,0.001989878946915269
