,target_var,condition_var,condition_val,prob
0,X10,X68,0,0.8625490665435791
1,X10,X68,1,0.8642898201942444
2,X90,X99,0,0.8781129121780396
3,X90,X99,1,0.8795725107192993
4,X95,X92,0,0.002866864437237382
5,X95,X92,1,0.004702635109424591
6,X88,X50,0,0.3752605617046356
7,X88,X50,1,0.37095147371292114
8,X85,X92,0,0.9347320795059204
9,X85,X92,1,0.9308429956436157
10,X26,X29,0,0.3657159209251404
11,X26,X29,1,0.3716384768486023
12,X27,X20,0,0.5421184301376343
13,X27,X20,1,0.5367352366447449
14,X79,X38,0,0.8410251140594482
15,X79,X38,1,0.8446677923202515
16,X91,X18,0,0.34471696615219116
17,X91,X18,1,0.3738483786582947
18,X9,X24,0,0.5389346480369568
19,X9,X24,1,0.5479800701141357
20,X34,X71,0,0.08687157928943634
21,X34,X71,1,0.0789731815457344
22,X40,X14,0,0.27687913179397583
23,X40,X14,1,0.3236733675003052
24,X70,X25,0,0.3104873299598694
25,X70,X25,1,0.29094958305358887
26,X46,X13,0,0.7306620478630066
27,X46,X13,1,0.74077969789505
28,X36,X79,0,0.07236140221357346
29,X36,X79,1,0.07067845016717911
30,X76,X20,0,0.9070942401885986
31,X76,X20,1,0.8992219567298889
32,X89,X53,0,0.7422028183937073
33,X89,X53,1,0.7238209247589111
34,X22,X83,0,0.030630461871623993
35,X22,X83,1,0.03149321302771568
36,X29,X72,0,0.5132660865783691
37,X29,X72,1,0.5098778605461121
38,X25,X16,0,0.5873693227767944
39,X25,X16,1,0.5991979837417603
40,X64,X61,0,0.7791926860809326
41,X64,X61,1,0.8034532070159912
42,X70,X62,0,0.32343602180480957
43,X70,X62,1,0.2566210627555847
44,X95,X41,0,0.003877494018524885
45,X95,X41,1,0.004020094405859709
46,X75,X17,0,0.7773810625076294
47,X75,X17,1,0.7759512066841125
48,X41,X12,0,0.6480250954627991
49,X41,X12,1,0.662094235420227
50,X8,X14,0,4.091497976332903e-05
51,X8,X14,1,6.531242979690433e-05
52,X75,X32,0,0.7912544012069702
53,X75,X32,1,0.7919849753379822
54,X38,X83,0,0.5272994041442871
55,X38,X83,1,0.4736386835575104
56,X25,X0,0,0.5989810228347778
57,X25,X0,1,0.5985211730003357
58,X26,X56,0,0.3517882823944092
59,X26,X56,1,0.4231469929218292
60,X16,X55,0,0.7059575319290161
61,X16,X55,1,0.7081992030143738
62,X81,X86,0,0.9518831968307495
63,X81,X86,1,0.9468886852264404
64,X26,X81,0,0.40755560994148254
65,X26,X81,1,0.40215522050857544
66,X28,X2,0,0.5663591027259827
67,X28,X2,1,0.5703953504562378
68,X7,X90,0,0.36211273074150085
69,X7,X90,1,0.33101603388786316
70,X93,X35,0,0.4879245162010193
71,X93,X35,1,0.4815973937511444
72,X18,X96,0,0.4512282609939575
73,X18,X96,1,0.4523587226867676
74,X4,X68,0,0.5014123916625977
75,X4,X68,1,0.5016398429870605
76,X18,X97,0,0.6290222406387329
77,X18,X97,1,0.38914451003074646
78,X94,X74,0,0.6499823331832886
79,X94,X74,1,0.6419830322265625
80,X35,X72,0,0.8916277885437012
81,X35,X72,1,0.891750693321228
82,X84,X78,0,0.15492157638072968
83,X84,X78,1,0.15091606974601746
84,X17,X10,0,0.4472641348838806
85,X17,X10,1,0.45515674352645874
86,X91,X11,0,0.37334755063056946
87,X91,X11,1,0.35906273126602173
88,X41,X70,0,0.6740795969963074
89,X41,X70,1,0.6760653853416443
90,X51,X36,0,0.44646525382995605
91,X51,X36,1,0.455205500125885
92,X24,X57,0,0.9006646871566772
93,X24,X57,1,0.8985753655433655
94,X6,X38,0,0.6038911938667297
95,X6,X38,1,0.7093719840049744
96,X68,X26,0,0.0019098069751635194
97,X68,X26,1,0.0026312735863029957
98,X1,X37,0,0.7700877785682678
99,X1,X37,1,0.7573636770248413
100,X52,X75,0,0.9141793251037598
101,X52,X75,1,0.9147688746452332
102,X91,X59,0,0.3577274680137634
103,X91,X59,1,0.34820541739463806
104,X55,X48,0,0.9256190657615662
105,X55,X48,1,0.9219237565994263
106,X49,X73,0,0.39881566166877747
107,X49,X73,1,0.5548313856124878
108,X55,X53,0,0.9216877222061157
109,X55,X53,1,0.9151228070259094
110,X10,X97,0,0.8572376370429993
111,X10,X97,1,0.859618067741394
112,X19,X83,0,0.9992660880088806
113,X19,X83,1,0.999091625213623
114,X53,X36,0,0.43328678607940674
115,X53,X36,1,0.41791537404060364
116,X69,X86,0,0.6512030363082886
117,X69,X86,1,0.6645364761352539
118,X88,X93,0,0.366799920797348
119,X88,X93,1,0.3771247863769531
120,X70,X84,0,0.3204234838485718
121,X70,X84,1,0.2596622705459595
122,X71,X39,0,0.06912323832511902
123,X71,X39,1,0.06631223112344742
124,X61,X63,0,0.2173203080892563
125,X61,X63,1,0.2188633531332016
126,X51,X23,0,0.45044413208961487
127,X51,X23,1,0.433785617351532
128,X67,X30,0,0.09652549773454666
129,X67,X30,1,0.08292428404092789
130,X10,X7,0,0.8614876866340637
131,X10,X7,1,0.8626996874809265
132,X92,X95,0,0.5190532803535461
133,X92,X95,1,0.520357072353363
134,X25,X33,0,0.5876898765563965
135,X25,X33,1,0.586808443069458
136,X71,X55,0,0.0743924230337143
137,X71,X55,1,0.06715431809425354
138,X40,X48,0,0.27881985902786255
139,X40,X48,1,0.3050803244113922
140,X82,X78,0,0.8906185626983643
141,X82,X78,1,0.886896550655365
142,X94,X14,0,0.6587121486663818
143,X94,X14,1,0.6685386300086975
144,X53,X23,0,0.4422709047794342
145,X53,X23,1,0.41489237546920776
146,X40,X53,0,0.2406400442123413
147,X40,X53,1,0.3622618615627289
148,X31,X14,0,0.5427117943763733
149,X31,X14,1,0.5448988080024719
150,X12,X8,0,0.9418119788169861
151,X12,X8,1,0.9394586682319641
152,X90,X65,0,0.8723893165588379
153,X90,X65,1,0.8736758232116699
154,X61,X23,0,0.21883301436901093
155,X61,X23,1,0.21213287115097046
156,X81,X74,0,0.9516841173171997
157,X81,X74,1,0.9470277428627014
158,X75,X68,0,0.7979832887649536
159,X75,X68,1,0.7996229529380798
160,X66,X10,0,0.9969466328620911
161,X66,X10,1,0.9965879917144775
162,X14,X39,0,0.4872349798679352
163,X14,X39,1,0.46485719084739685
164,X8,X53,0,2.9101141990395263e-05
165,X8,X53,1,4.1242947190767154e-05
166,X15,X3,0,0.8137795329093933
167,X15,X3,1,0.8306695818901062
168,X74,X92,0,0.3035138249397278
169,X74,X92,1,0.28638046979904175
170,X76,X69,0,0.9098784327507019
171,X76,X69,1,0.9053823351860046
172,X60,X26,0,9.824713197303936e-05
173,X60,X26,1,0.00013362907338887453
174,X33,X95,0,0.4244946837425232
175,X33,X95,1,0.4228278696537018
176,X14,X55,0,0.46331143379211426
177,X14,X55,1,0.4534079134464264
178,X17,X60,0,0.42521825432777405
179,X17,X60,1,0.43092456459999084
180,X36,X61,0,0.06714243441820145
181,X36,X61,1,0.062064915895462036
182,X78,X95,0,0.8270095586776733
183,X78,X95,1,0.8259972929954529
184,X15,X1,0,0.8261644840240479
185,X15,X1,1,0.8287282586097717
186,X25,X42,0,0.5966883897781372
187,X25,X42,1,0.6003274917602539
188,X4,X96,0,0.4884015917778015
189,X4,X96,1,0.4907728135585785
190,X4,X97,0,0.4925881028175354
191,X4,X97,1,0.4969351589679718
192,X63,X47,0,0.8107597231864929
193,X63,X47,1,0.8304167985916138
194,X55,X27,0,0.9205212593078613
195,X55,X27,1,0.9174140095710754
196,X65,X83,0,0.712583065032959
197,X65,X83,1,0.717477023601532
198,X77,X2,0,0.9019961953163147
199,X77,X2,1,0.9022201895713806
200,X2,X69,0,0.9102422595024109
201,X2,X69,1,0.9098353385925293
202,X37,X8,0,0.4580982029438019
203,X37,X8,1,0.450692743062973
204,X96,X73,0,0.8067942261695862
205,X96,X73,1,0.8185980319976807
206,X69,X74,0,0.6509653925895691
207,X69,X74,1,0.6544169187545776
208,X70,X44,0,0.24283842742443085
209,X70,X44,1,0.510178804397583
210,X82,X79,0,0.8958866000175476
211,X82,X79,1,0.8963155150413513
212,X13,X73,0,0.8414318561553955
213,X13,X73,1,0.8519620895385742
214,X81,X14,0,0.9528266787528992
215,X81,X14,1,0.9479601979255676
216,X52,X38,0,0.92066490650177
217,X52,X38,1,0.9217921495437622
218,X46,X78,0,0.7307543158531189
219,X46,X78,1,0.7396740317344666
220,X54,X43,0,0.49235785007476807
221,X54,X43,1,0.49270322918891907
222,X88,X33,0,0.3845042288303375
223,X88,X33,1,0.4041585624217987
224,X40,X27,0,0.20042696595191956
225,X40,X27,1,0.4581540524959564
226,X90,X40,0,0.8773841857910156
227,X90,X40,1,0.8746337294578552
228,X3,X1,0,0.8274988532066345
229,X3,X1,1,0.8454828858375549
230,X27,X51,0,0.5415832996368408
231,X27,X51,1,0.5321435332298279
232,X55,X77,0,0.9213655591011047
233,X55,X77,1,0.9183663725852966
234,X90,X82,0,0.8769683241844177
235,X90,X82,1,0.878699541091919
236,X17,X49,0,0.4108971059322357
237,X17,X49,1,0.4539908170700073
238,X27,X4,0,0.5678514242172241
239,X27,X4,1,0.5333184003829956
240,X29,X2,0,0.5053713917732239
241,X29,X2,1,0.5055656433105469
242,X44,X37,0,0.07302644848823547
243,X44,X37,1,0.07232511788606644
244,X76,X51,0,0.9134465456008911
245,X76,X51,1,0.9086124300956726
246,X62,X76,0,0.3206765055656433
247,X62,X76,1,0.3037019670009613
248,X21,X90,0,0.5894579291343689
249,X21,X90,1,0.5754647850990295
250,X76,X4,0,0.908906102180481
251,X76,X4,1,0.9055360555648804
252,X74,X90,0,0.3279608190059662
253,X74,X90,1,0.321052610874176
254,X32,X25,0,0.45377495884895325
255,X32,X25,1,0.4920908808708191
256,X39,X73,0,0.3019792139530182
257,X39,X73,1,0.2976999878883362
258,X41,X16,0,0.6574340462684631
259,X41,X16,1,0.6812606453895569
260,X17,X19,0,0.44187480211257935
261,X17,X19,1,0.44729217886924744
262,X57,X73,0,0.9274961352348328
263,X57,X73,1,0.9255374670028687
264,X30,X51,0,0.08707082271575928
265,X30,X51,1,0.08904654532670975
266,X94,X53,0,0.6528457403182983
267,X94,X53,1,0.6578924655914307
268,X75,X97,0,0.7980445027351379
269,X75,X97,1,0.8001276850700378
270,X30,X4,0,0.08924447745084763
271,X30,X4,1,0.090052030980587
272,X32,X62,0,0.44759729504585266
273,X32,X62,1,0.48259201645851135
274,X31,X53,0,0.5514498949050903
275,X31,X53,1,0.5657870769500732
276,X40,X77,0,0.3305741846561432
277,X40,X77,1,0.30872875452041626
278,X42,X72,0,0.998166024684906
279,X42,X72,1,0.9981880784034729
280,X66,X81,0,0.9966026544570923
281,X66,X81,1,0.9961801767349243
282,X69,X14,0,0.6424221992492676
283,X69,X14,1,0.6575708985328674
284,X26,X18,0,0.28907057642936707
285,X26,X18,1,0.5591753125190735
286,X18,X71,0,0.4616803526878357
287,X18,X71,1,0.4877956509590149
288,X41,X0,0,0.6492462158203125
289,X41,X0,1,0.6603572368621826
290,X59,X73,0,0.009362323209643364
291,X59,X73,1,0.011063267476856709
292,X56,X40,0,0.5556665062904358
293,X56,X40,1,0.5624734163284302
294,X75,X7,0,0.7933164834976196
295,X75,X7,1,0.7933996319770813
296,X93,X85,0,0.4831897020339966
297,X93,X85,1,0.4786311686038971
298,X90,X76,0,0.8654317259788513
299,X90,X76,1,0.8694448471069336
300,X46,X79,0,0.7332103252410889
301,X46,X79,1,0.7433017492294312
302,X92,X52,0,0.4843343496322632
303,X92,X52,1,0.4941764175891876
304,X34,X56,0,0.0858977884054184
305,X34,X56,1,0.08685660362243652
306,X35,X2,0,0.9061899185180664
307,X35,X2,1,0.905042290687561
308,X63,X5,0,0.797206461429596
309,X63,X5,1,0.8025608062744141
310,X76,X94,0,0.9116182327270508
311,X76,X94,1,0.9068107604980469
312,X11,X90,0,0.1708095371723175
313,X11,X90,1,0.16214124858379364
314,X3,X95,0,0.8465548753738403
315,X3,X95,1,0.853473961353302
316,X17,X24,0,0.4431932270526886
317,X17,X24,1,0.44924184679985046
318,X88,X35,0,0.38913294672966003
319,X88,X35,1,0.38530194759368896
320,X99,X30,0,0.9997357726097107
321,X99,X30,1,0.9996577501296997
322,X34,X81,0,0.0985051691532135
323,X34,X81,1,0.09682314842939377
324,X66,X49,0,0.9976400136947632
325,X66,X49,1,0.9973917007446289
326,X7,X88,0,0.39918088912963867
327,X7,X88,1,0.33696484565734863
328,X98,X96,0,0.1825416088104248
329,X98,X96,1,0.1831955760717392
330,X10,X71,0,0.854174792766571
331,X10,X71,1,0.8574851155281067
332,X34,X66,0,0.09225000441074371
333,X34,X66,1,0.09077287465333939
334,X64,X38,0,0.7730088233947754
335,X64,X38,1,0.8027859926223755
336,X98,X97,0,0.19786067306995392
337,X98,X97,1,0.18095262348651886
338,X63,X54,0,0.8175966739654541
339,X63,X54,1,0.8236685395240784
340,X80,X96,0,0.5557540655136108
341,X80,X96,1,0.54705810546875
342,X1,X98,0,0.7955024242401123
343,X1,X98,1,0.8115704655647278
344,X80,X97,0,0.47736477851867676
345,X80,X97,1,0.6960386037826538
346,X9,X39,0,0.5361438393592834
347,X9,X39,1,0.5535260438919067
348,X66,X9,0,0.9975046515464783
349,X66,X9,1,0.9972796440124512
350,X2,X63,0,0.9044139981269836
351,X2,X63,1,0.9067309498786926
352,X2,X94,0,0.9133945107460022
353,X2,X94,1,0.9151284098625183
354,X95,X87,0,0.002665952779352665
355,X95,X87,1,0.0031490973196923733
356,X16,X3,0,0.6491801738739014
357,X16,X3,1,0.6580982804298401
358,X97,X30,0,0.44924965500831604
359,X97,X30,1,0.43276113271713257
360,X66,X19,0,0.9974082112312317
361,X66,X19,1,0.9973791837692261
362,X81,X48,0,0.9509124159812927
363,X81,X48,1,0.9453416466712952
364,X33,X52,0,0.4270511269569397
365,X33,X52,1,0.42757105827331543
366,X78,X52,0,0.8234005570411682
367,X78,X52,1,0.8289180397987366
368,X9,X55,0,0.5258160829544067
369,X9,X55,1,0.5311388373374939
370,X95,X88,0,0.003116585547104478
371,X95,X88,1,0.003926689736545086
372,X16,X1,0,0.707546591758728
373,X16,X1,1,0.7223818302154541
374,X72,X90,0,0.9941210150718689
375,X72,X90,1,0.9933125376701355
376,X81,X53,0,0.9539928436279297
377,X81,X53,1,0.9485322833061218
378,X34,X49,0,0.09515074640512466
379,X34,X49,1,0.08886228501796722
380,X85,X88,0,0.9308455586433411
381,X85,X88,1,0.9315006732940674
382,X67,X15,0,0.11871495842933655
383,X67,X15,1,0.10800359398126602
384,X94,X27,0,0.6525052785873413
385,X94,X27,1,0.6671478748321533
386,X26,X11,0,0.4211832880973816
387,X26,X11,1,0.42803332209587097
388,X15,X28,0,0.8281891942024231
389,X15,X28,1,0.8287146091461182
390,X2,X23,0,0.9172007441520691
391,X2,X23,1,0.9191907048225403
392,X43,X72,0,0.08963280916213989
393,X43,X72,1,0.060597974807024
394,X34,X9,0,0.09711861610412598
395,X34,X9,1,0.09114277362823486
396,X26,X59,0,0.3866385817527771
397,X26,X59,1,0.40725672245025635
398,X32,X84,0,0.509566068649292
399,X32,X84,1,0.5283646583557129
400,X49,X86,0,0.46893975138664246
401,X49,X86,1,0.4835629165172577
402,X82,X61,0,0.9031183123588562
403,X82,X61,1,0.9020955562591553
404,X79,X25,0,0.8439450860023499
405,X79,X25,1,0.8390914797782898
406,X73,X96,0,0.46199917793273926
407,X73,X96,1,0.4622940421104431
408,X66,X24,0,0.9971253275871277
409,X66,X24,1,0.9968535304069519
410,X79,X62,0,0.8465757369995117
411,X79,X62,1,0.8455681800842285
412,X87,X75,0,0.6168321371078491
413,X87,X75,1,0.6152772903442383
414,X22,X30,0,0.03264755383133888
415,X22,X30,1,0.030658621340990067
416,X93,X22,0,0.4704904854297638
417,X93,X22,1,0.46556994318962097
418,X73,X97,0,0.424500972032547
419,X73,X97,1,0.4344022572040558
420,X62,X45,0,0.30037209391593933
421,X62,X45,1,0.2848937511444092
422,X4,X71,0,0.4817095696926117
423,X4,X71,1,0.493868887424469
424,X38,X30,0,0.5284963250160217
425,X38,X30,1,0.509989857673645
426,X92,X57,0,0.49446746706962585
427,X92,X57,1,0.4857383370399475
