,target_var,condition_var,condition_val,prob
0,X4,X43,0,0.7051905989646912
1,X4,X43,1,0.7181742191314697
2,X20,X61,0,0.1301937997341156
3,X20,X61,1,0.14595119655132294
4,X90,X77,0,0.5821356773376465
5,X90,X77,1,0.5916509032249451
6,X55,X26,0,0.0017216515261679888
7,X55,X26,1,0.0018940045265480876
8,X20,X41,0,0.12462243437767029
9,X20,X41,1,0.13100169599056244
10,X56,X89,0,0.988278865814209
11,X56,X89,1,0.9914293885231018
12,X85,X70,0,0.9369106292724609
13,X85,X70,1,0.9424586892127991
14,X15,X32,0,0.666957437992096
15,X15,X32,1,0.6699156761169434
16,X30,X90,0,0.080902598798275
17,X30,X90,1,0.07674986869096756
18,X91,X36,0,0.045150235295295715
19,X91,X36,1,0.046124573796987534
20,X6,X62,0,0.18383516371250153
21,X6,X62,1,0.16336707770824432
22,X32,X21,0,0.3904231786727905
23,X32,X21,1,0.38236191868782043
24,X37,X88,0,0.3767818808555603
25,X37,X88,1,0.3808037042617798
26,X85,X53,0,0.9399296641349792
27,X85,X53,1,0.945207417011261
28,X91,X77,0,0.0476791113615036
29,X91,X77,1,0.049139123409986496
30,X29,X54,0,0.7148799896240234
31,X29,X54,1,0.7209927439689636
32,X89,X62,0,0.1848597526550293
33,X89,X62,1,0.1801391839981079
34,X77,X29,0,0.11992906033992767
35,X77,X29,1,0.12058740109205246
36,X28,X79,0,0.644054651260376
37,X28,X79,1,0.6458309292793274
38,X69,X70,0,0.5208014249801636
39,X69,X70,1,0.5270405411720276
40,X44,X43,0,0.30477651953697205
41,X44,X43,1,0.3284166753292084
42,X48,X1,0,0.3381275236606598
43,X48,X1,1,0.3500940799713135
44,X37,X74,0,0.3815579414367676
45,X37,X74,1,0.38712066411972046
46,X31,X95,0,0.99382483959198
47,X31,X95,1,0.9950167536735535
48,X29,X18,0,0.7495049834251404
49,X29,X18,1,0.755383312702179
50,X55,X82,0,0.0022738780826330185
51,X55,X82,1,0.002475353190675378
52,X46,X8,0,0.33545035123825073
53,X46,X8,1,0.3506788909435272
54,X49,X55,0,0.026950841769576073
55,X49,X55,1,0.03335917368531227
56,X9,X35,0,0.403313010931015
57,X9,X35,1,0.4276352524757385
58,X94,X16,0,0.9244918823242188
59,X94,X16,1,0.9243330359458923
60,X56,X91,0,0.9897485375404358
61,X56,X91,1,0.9927539229393005
62,X69,X53,0,0.5256872177124023
63,X69,X53,1,0.5309188961982727
64,X4,X25,0,0.7012994885444641
65,X4,X25,1,0.7109780311584473
66,X77,X1,0,0.12919723987579346
67,X77,X1,1,0.12757958471775055
68,X52,X63,0,0.9995546936988831
69,X52,X63,1,0.9997766613960266
70,X11,X56,0,0.885614812374115
71,X11,X56,1,0.8986431956291199
72,X13,X21,0,0.17718684673309326
73,X13,X21,1,0.1736350953578949
74,X74,X87,0,0.723613440990448
75,X74,X87,1,0.7266069054603577
76,X41,X44,0,0.9869431257247925
77,X41,X44,1,0.9890611171722412
78,X27,X56,0,0.7357113361358643
79,X27,X56,1,0.7462831139564514
80,X1,X92,0,0.760174036026001
81,X1,X92,1,0.7620528340339661
82,X91,X96,0,0.04569190740585327
83,X91,X96,1,0.045788317918777466
84,X10,X72,0,0.9565887451171875
85,X10,X72,1,0.9572479724884033
86,X32,X55,0,0.4168228507041931
87,X32,X55,1,0.40769559144973755
88,X78,X30,0,0.9166041612625122
89,X78,X30,1,0.9172919988632202
90,X16,X53,0,0.5331736207008362
91,X16,X53,1,0.5300918221473694
92,X7,X71,0,0.5310212969779968
93,X7,X71,1,0.5199314951896667
94,X49,X47,0,0.02166229486465454
95,X49,X47,1,0.026653336361050606
96,X58,X35,0,0.9940962791442871
97,X58,X35,1,0.9952274560928345
98,X97,X29,0,0.9900368452072144
99,X97,X29,1,0.9914572834968567
100,X63,X66,0,0.9707194566726685
101,X63,X66,1,0.9730837941169739
102,X84,X0,0,0.41186466813087463
103,X84,X0,1,0.40831801295280457
104,X21,X31,0,0.3646588921546936
105,X21,X31,1,0.35921815037727356
106,X93,X14,0,0.13612690567970276
107,X93,X14,1,0.13342514634132385
108,X44,X25,0,0.30446702241897583
109,X44,X25,1,0.32279443740844727
110,X54,X57,0,0.49601203203201294
111,X54,X57,1,0.5002179145812988
112,X67,X46,0,0.6719977855682373
113,X67,X46,1,0.6578278541564941
114,X35,X70,0,0.6557934284210205
115,X35,X70,1,0.6860053539276123
116,X86,X92,0,0.9468919038772583
117,X86,X92,1,0.9561022520065308
118,X2,X66,0,0.4797702431678772
119,X2,X66,1,0.5000348091125488
120,X76,X30,0,0.4826987087726593
121,X76,X30,1,0.4993572235107422
122,X4,X27,0,0.6996641755104065
