,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X21,X87,0,0.010112821367025996,0.020157781541869528,0.6,86.5,1.0,"['X76', 'X6', 'X89', 'X74', 'X62', 'X27', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X98', 'X19', 'X60', 'X75', 'X15', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X71', 'X47', 'X8', 'X88', 'X39', 'X16', 'X72', 'X84', 'X14', 'X80', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X92', 'X34', 'X48', 'X2', 'X83', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X93', 'X73', 'X4', 'X18', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X41', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
1,X21,X87,1,0.791907744275199,0.2024758996260549,0.9,86.44444444444444,1.0,"['X17', 'X76', 'X6', 'X22', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X63', 'X58', 'X98', 'X19', 'X60', 'X75', 'X3', 'X53', 'X26', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X71', 'X47', 'X8', 'X88', 'X39', 'X16', 'X72', 'X80', 'X14', 'X84', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X97', 'X54', 'X56', 'X79', 'X34', 'X92', 'X48', 'X2', 'X83', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X93', 'X4', 'X73', 'X42', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X41', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
2,X90,X16,0,0.07394311809912324,0.009868258124184686,0.8,85.625,0.5,"['X17', 'X76', 'X6', 'X89', 'X74', 'X62', 'X27', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X63', 'X58', 'X98', 'X19', 'X60', 'X75', 'X15', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X8', 'X88', 'X39', 'X72', 'X80', 'X14', 'X84', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X73', 'X4', 'X42', 'X93', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
3,X90,X16,1,0.7125875088903639,0.2802600630160281,0.9,86.0,0.5555555555555556,"['X17', 'X76', 'X6', 'X22', 'X89', 'X74', 'X62', 'X27', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X98', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X8', 'X88', 'X39', 'X72', 'X84', 'X80', 'X14', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X93', 'X73', 'X4', 'X18', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
4,X98,X63,0,0.8357436408599218,0.2590982939612177,0.6,87.33333333333333,0.8333333333333334,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X53', 'X26', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X47', 'X8', 'X88', 'X39', 'X16', 'X72', 'X80', 'X84', 'X14', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X1', 'X0', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X2', 'X83', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X73', 'X93', 'X18', 'X4', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
5,X98,X63,1,0.04138436634093523,0.008413087875217839,0.4,87.0,0.75,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X47', 'X8', 'X39', 'X16', 'X72', 'X14', 'X84', 'X80', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X92', 'X34', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X93', 'X4', 'X73', 'X42', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
6,X15,X63,0,0.9489613175392151,0.022463738918304443,0.2,85.5,0.5,"['X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X47', 'X8', 'X39', 'X72', 'X84', 'X80', 'X14', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X2', 'X83', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X42', 'X93', 'X4', 'X73', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
7,X15,X63,1,0.03027668595314026,0.0,0.1,88.0,1.0,"['X47', 'X8', 'X39', 'X76', 'X72', 'X80', 'X14', 'X84', 'X6', 'X29', 'X22', 'X89', 'X32', 'X43', 'X69', 'X74', 'X33', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X0', 'X12', 'X1', 'X40', 'X54', 'X97', 'X28', 'X66', 'X52', 'X56', 'X79', 'X92', 'X34', 'X59', 'X37', 'X48', 'X24', 'X83', 'X2', 'X58', 'X19', 'X70', 'X46', 'X23', 'X61', 'X60', 'X94', 'X35', 'X99', 'X75', 'X95', 'X3', 'X42', 'X73', 'X4', 'X18', 'X93', 'X49', 'X11', 'X26', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X91', 'X5', 'X65', 'X25', 'X51', 'X9', 'X86', 'X7', 'X78', 'X90', 'X30', 'X96', 'X55', 'X64', 'X31']"
8,X64,X63,0,0.7039951485736916,0.39433207084942234,0.9,86.0,0.7777777777777778,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X47', 'X8', 'X88', 'X39', 'X16', 'X72', 'X80', 'X84', 'X14', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X73', 'X4', 'X93', 'X42', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
9,X64,X63,1,0.016801234721788204,0.045740140850928625,1.0,86.0,0.4,"['X17', 'X76', 'X6', 'X22', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X53', 'X26', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X71', 'X47', 'X8', 'X88', 'X39', 'X16', 'X72', 'X80', 'X14', 'X84', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X1', 'X0', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X73', 'X4', 'X93', 'X42', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
10,X71,X22,0,0.784590075413386,0.24596326428623388,0.6,79.83333333333333,1.0,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X47', 'X8', 'X39', 'X16', 'X72', 'X84', 'X80', 'X14', 'X29', 'X32', 'X43', 'X69', 'X33', 'X1', 'X0', 'X40', 'X54', 'X97', 'X56', 'X79', 'X92', 'X34', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X93', 'X73', 'X4', 'X18', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X21', 'X41', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
11,X71,X22,1,0.00507223135791719,0.0018001783869534818,0.5,86.8,1.0,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X47', 'X8', 'X39', 'X16', 'X72', 'X14', 'X84', 'X80', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X92', 'X34', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X93', 'X4', 'X73', 'X42', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
12,X68,X15,0,0.0666762690525502,0.0459831684494385,0.8,78.75,0.875,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X63', 'X58', 'X19', 'X60', 'X75', 'X3', 'X53', 'X26', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X47', 'X8', 'X88', 'X39', 'X16', 'X72', 'X14', 'X84', 'X80', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X73', 'X18', 'X93', 'X4', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
13,X68,X15,1,0.25731811424096424,0.05047895787713869,0.3,85.33333333333333,0.0,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X52', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X47', 'X8', 'X88', 'X39', 'X72', 'X84', 'X80', 'X14', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X97', 'X54', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X18', 'X4', 'X93', 'X73', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
14,X12,X20,0,0.9835375547409058,0.0035302042961120605,0.2,87.0,1.0,"['X76', 'X6', 'X89', 'X74', 'X62', 'X27', 'X38', 'X36', 'X82', 'X50', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X63', 'X58', 'X98', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X71', 'X47', 'X8', 'X88', 'X39', 'X16', 'X72', 'X80', 'X84', 'X14', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X1', 'X0', 'X40', 'X97', 'X54', 'X56', 'X79', 'X34', 'X92', 'X48', 'X2', 'X83', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X93', 'X18', 'X73', 'X4', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
15,X12,X20,1,0.5430966019630432,0.0,0.1,89.0,1.0,"['X47', 'X8', 'X17', 'X39', 'X76', 'X16', 'X72', 'X14', 'X84', 'X80', 'X6', 'X29', 'X89', 'X32', 'X43', 'X69', 'X74', 'X33', 'X62', 'X27', 'X38', 'X36', 'X82', 'X50', 'X0', 'X1', 'X40', 'X54', 'X97', 'X28', 'X52', 'X56', 'X79', 'X92', 'X34', 'X37', 'X48', 'X24', 'X83', 'X2', 'X58', 'X19', 'X70', 'X46', 'X23', 'X61', 'X60', 'X94', 'X35', 'X99', 'X75', 'X95', 'X15', 'X3', 'X42', 'X18', 'X73', 'X93', 'X4', 'X11', 'X49', 'X26', 'X53', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X91', 'X5', 'X65', 'X10', 'X25', 'X51', 'X9', 'X86', 'X7', 'X78', 'X90', 'X30', 'X96', 'X55', 'X64', 'X31']"
16,X16,X90,0,0.025210795953171328,0.05270507195254085,0.9,85.11111111111111,0.3333333333333333,"['X17', 'X76', 'X6', 'X89', 'X74', 'X62', 'X27', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X98', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X8', 'X88', 'X39', 'X72', 'X80', 'X14', 'X84', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X92', 'X34', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X73', 'X4', 'X93', 'X42', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
17,X16,X90,1,0.7671776638728462,0.4069257116627665,0.9,85.33333333333333,0.5555555555555556,"['X17', 'X76', 'X6', 'X89', 'X74', 'X62', 'X27', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X63', 'X58', 'X98', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X8', 'X88', 'X39', 'X72', 'X84', 'X14', 'X80', 'X29', 'X32', 'X43', 'X69', 'X33', 'X1', 'X0', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X93', 'X42', 'X73', 'X4', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
18,X64,X90,0,0.2530666530597955,0.3658669717995531,1.0,86.1,0.3,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X98', 'X19', 'X60', 'X75', 'X15', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X88', 'X8', 'X39', 'X16', 'X72', 'X80', 'X84', 'X14', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X2', 'X83', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X73', 'X4', 'X18', 'X93', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
19,X64,X90,1,0.9707764387130737,0.04638183258759942,1.0,86.1,0.3,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X98', 'X58', 'X19', 'X60', 'X75', 'X3', 'X53', 'X26', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X8', 'X39', 'X16', 'X72', 'X84', 'X80', 'X14', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X1', 'X0', 'X40', 'X97', 'X54', 'X56', 'X79', 'X92', 'X34', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X73', 'X4', 'X93', 'X42', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
20,X22,X68,0,0.14494356669352523,0.34665627216741096,0.7,85.28571428571429,1.0,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X15', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X88', 'X8', 'X39', 'X72', 'X80', 'X84', 'X14', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X97', 'X54', 'X56', 'X79', 'X92', 'X34', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X93', 'X4', 'X73', 'X18', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
21,X22,X68,1,0.7513739451766014,0.3402366929666329,0.5,69.8,0.6,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X63', 'X58', 'X98', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X90', 'X47', 'X8', 'X39', 'X72', 'X80', 'X14', 'X84', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X92', 'X34', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X73', 'X42', 'X93', 'X4', 'X11', 'X49', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X64', 'X31']"
22,X63,X64,0,0.9781370460987091,0.016969836537290013,0.4,86.75,0.75,"['X17', 'X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X15', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X8', 'X39', 'X16', 'X72', 'X14', 'X80', 'X84', 'X29', 'X68', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X2', 'X83', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X18', 'X73', 'X4', 'X42', 'X93', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X21', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
23,X63,X64,1,0.006427583983168006,5.093053914606571e-05,0.2,87.5,1.0,"['X76', 'X6', 'X89', 'X74', 'X27', 'X62', 'X38', 'X36', 'X82', 'X50', 'X12', 'X28', 'X66', 'X52', 'X59', 'X37', 'X24', 'X58', 'X19', 'X60', 'X75', 'X3', 'X26', 'X53', 'X20', 'X91', 'X5', 'X25', 'X86', 'X7', 'X78', 'X71', 'X47', 'X8', 'X39', 'X16', 'X72', 'X84', 'X80', 'X14', 'X29', 'X32', 'X43', 'X69', 'X33', 'X0', 'X1', 'X40', 'X54', 'X97', 'X56', 'X79', 'X34', 'X92', 'X48', 'X83', 'X2', 'X70', 'X46', 'X23', 'X61', 'X94', 'X35', 'X99', 'X95', 'X42', 'X93', 'X4', 'X18', 'X73', 'X49', 'X11', 'X44', 'X67', 'X77', 'X81', 'X45', 'X85', 'X57', 'X13', 'X87', 'X41', 'X65', 'X10', 'X51', 'X9', 'X30', 'X96', 'X55', 'X31']"
