,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X86,X59,0,0.5792013180575201,0.48533394702768434,0.7,93.71428571428571,1.0,"['X43', 'X35', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X69', 'X12', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X99', 'X91', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X15', 'X50', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X3', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X81', 'X70', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X96', 'X87', 'X55', 'X6', 'X75', 'X48', 'X46', 'X28', 'X58', 'X63', 'X61', 'X97', 'X22', 'X17', 'X34']"
1,X86,X59,1,0.5080942896505197,0.4916085128091929,0.6,95.16666666666667,1.0,"['X35', 'X43', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X69', 'X12', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X99', 'X91', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X50', 'X15', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X3', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X70', 'X81', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X87', 'X96', 'X55', 'X6', 'X75', 'X48', 'X46', 'X28', 'X58', 'X63', 'X61', 'X97', 'X22', 'X17', 'X34']"
2,X25,X95,0,0.9808754175901413,0.003486859492967997,0.8,94.125,1.0,"['X35', 'X43', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X12', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X99', 'X91', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X26', 'X71', 'X52', 'X53', 'X50', 'X15', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X3', 'X79', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X81', 'X70', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X87', 'X96', 'X55', 'X6', 'X75', 'X48', 'X46', 'X28', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
3,X25,X95,1,0.14119892361729094,0.06413349110391733,0.6,87.83333333333333,0.8333333333333334,"['X43', 'X35', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X12', 'X78', 'X1', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X99', 'X91', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X26', 'X71', 'X52', 'X53', 'X15', 'X50', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X3', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X70', 'X81', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X96', 'X87', 'X55', 'X6', 'X75', 'X48', 'X46', 'X28', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
4,X12,X84,0,0.34535813704133034,0.42849133206126405,1.0,89.9,1.0,"['X35', 'X43', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X91', 'X99', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X15', 'X50', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X3', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X70', 'X81', 'X74', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X96', 'X87', 'X55', 'X6', 'X75', 'X48', 'X28', 'X46', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
5,X12,X84,1,0.9997365011109246,7.446065052395976e-05,0.9,93.77777777777777,1.0,"['X35', 'X43', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X91', 'X99', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X50', 'X15', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X3', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X81', 'X70', 'X74', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X87', 'X96', 'X55', 'X6', 'X75', 'X48', 'X46', 'X28', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
6,X40,X3,0,0.15450507402420044,0.003195354817450401,0.6,94.33333333333333,0.6666666666666666,"['X43', 'X35', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X12', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X83', 'X54', 'X7', 'X91', 'X99', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X15', 'X50', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X81', 'X70', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X87', 'X96', 'X55', 'X6', 'X75', 'X48', 'X28', 'X46', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
7,X40,X3,1,0.9886697292327881,0.0011086278406252155,1.0,94.2,0.5,"['X35', 'X43', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X12', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X89', 'X41', 'X85', 'X77', 'X83', 'X54', 'X7', 'X99', 'X91', 'X37', 'X60', 'X93', 'X98', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X15', 'X50', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X70', 'X81', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X96', 'X87', 'X55', 'X6', 'X75', 'X48', 'X46', 'X28', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
8,X89,X98,0,3.902621870111034e-05,2.2708197153801463e-05,0.8,89.75,0.875,"['X43', 'X35', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X12', 'X78', 'X1', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X99', 'X91', 'X37', 'X60', 'X93', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X50', 'X15', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X79', 'X3', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X70', 'X81', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X87', 'X96', 'X55', 'X6', 'X75', 'X48', 'X46', 'X28', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
9,X89,X98,1,0.7066802694246235,0.41053311734142567,0.8,94.75,1.0,"['X35', 'X43', 'X24', 'X51', 'X10', 'X33', 'X21', 'X90', 'X59', 'X69', 'X12', 'X1', 'X78', 'X9', 'X4', 'X49', 'X13', 'X30', 'X8', 'X25', 'X80', 'X38', 'X92', 'X73', 'X41', 'X85', 'X77', 'X40', 'X83', 'X54', 'X7', 'X99', 'X91', 'X37', 'X60', 'X93', 'X44', 'X27', 'X18', 'X11', 'X68', 'X88', 'X29', 'X36', 'X94', 'X82', 'X72', 'X95', 'X26', 'X71', 'X52', 'X53', 'X50', 'X15', 'X23', 'X14', 'X16', 'X56', 'X76', 'X32', 'X3', 'X79', 'X65', 'X42', 'X2', 'X47', 'X20', 'X19', 'X64', 'X67', 'X62', 'X70', 'X81', 'X74', 'X84', 'X0', 'X39', 'X5', 'X45', 'X31', 'X57', 'X66', 'X96', 'X87', 'X55', 'X6', 'X75', 'X48', 'X28', 'X46', 'X58', 'X63', 'X61', 'X86', 'X97', 'X22', 'X17', 'X34']"
