,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X63,X98,0,0.9970857083797455,0.002540674269315097,1.0,5.1,0.8,"['X68', 'X90', 'X12', 'X25', 'X66', 'X83', 'X28', 'X64', 'X2', 'X29', 'X78', 'X96', 'X20', 'X0']"
1,X63,X98,1,0.0001228162248935405,0.00022179982874546031,1.0,9.0,1.0,"['X51', 'X39', 'X68', 'X30', 'X73', 'X41', 'X52', 'X60', 'X25', 'X83', 'X4', 'X8', 'X37', 'X56', 'X74', 'X85', 'X9', 'X14', 'X44', 'X36', 'X61', 'X96', 'X20', 'X99', 'X31', 'X80', 'X49', 'X67', 'X88', 'X57', 'X90', 'X81', 'X12', 'X5', 'X70', 'X66', 'X7', 'X28', 'X33', 'X2', 'X50', 'X1', 'X54', 'X29', 'X10', 'X78', 'X38', 'X13', 'X62', 'X23', 'X0']"
2,X22,X90,0,0.24554913826286792,0.23667648961160334,1.0,15.0,0.6,"['X58', 'X51', 'X39', 'X73', 'X98', 'X25', 'X83', 'X4', 'X21', 'X37', 'X74', 'X55', 'X17', 'X61', 'X96', 'X20', 'X99', 'X31', 'X11', 'X67', 'X48', 'X40', 'X81', 'X12', 'X70', 'X28', 'X33', 'X2', 'X1', 'X16', 'X84', 'X29', 'X78', 'X87', 'X38', 'X30', 'X41', 'X52', 'X60', 'X8', 'X97', 'X56', 'X85', 'X26', 'X9', 'X14', 'X36', 'X89', 'X94', 'X53', 'X59', 'X5', 'X66', 'X7', 'X50', 'X95', 'X10', 'X13', 'X62', 'X23', 'X0']"
3,X22,X90,1,0.7077755779027939,0.33320802388230253,1.0,13.5,0.6,"['X58', 'X51', 'X39', 'X73', 'X25', 'X83', 'X4', 'X37', 'X74', 'X44', 'X17', 'X61', 'X96', 'X20', 'X99', 'X31', 'X11', 'X49', 'X67', 'X40', 'X48', 'X81', 'X12', 'X70', 'X28', 'X33', 'X2', 'X84', 'X54', 'X29', 'X78', 'X87', 'X38', 'X30', 'X41', 'X60', 'X8', 'X97', 'X56', 'X85', 'X26', 'X9', 'X36', 'X94', 'X80', 'X53', 'X88', 'X59', 'X5', 'X63', 'X66', 'X50', 'X95', 'X10', 'X13', 'X62', 'X23', 'X0']"
4,X17,X59,0,0.7588821116327381,0.3864996093400868,1.0,6.0,0.3,"['X80', 'X51', 'X86', 'X40', 'X68', 'X53', 'X30', 'X5', 'X12', 'X60', 'X83', 'X8', 'X20', 'X2', 'X1', 'X95', 'X62', 'X96', 'X23', 'X99']"
5,X17,X59,1,0.07049894461088116,0.15471672397196148,1.0,7.2,0.4,"['X51', 'X86', 'X39', 'X68', 'X30', 'X41', 'X60', 'X83', 'X8', 'X9', 'X55', 'X36', 'X61', 'X96', 'X20', 'X99', 'X31', 'X80', 'X40', 'X48', 'X53', 'X5', 'X71', 'X70', 'X66', 'X7', 'X64', 'X2', 'X50', 'X16', 'X95', 'X10', 'X13', 'X62', 'X23', 'X0']"
6,X88,X21,0,0.051225434808293356,0.1531534583495693,1.0,11.3,0.6,"['X58', 'X51', 'X39', 'X25', 'X4', 'X83', 'X37', 'X74', 'X55', 'X44', 'X17', 'X15', 'X61', 'X96', 'X20', 'X99', 'X31', 'X49', 'X40', 'X48', 'X70', 'X28', 'X64', 'X2', 'X16', 'X84', 'X29', 'X78', 'X38', 'X86', 'X68', 'X30', 'X41', 'X8', 'X56', 'X26', 'X9', 'X36', 'X89', 'X94', 'X80', 'X59', 'X5', 'X57', 'X71', 'X66', 'X7', 'X50', 'X95', 'X10', 'X13', 'X62', 'X23', 'X0']"
7,X88,X21,1,0.9450932025909424,0.048556896304025744,1.0,10.0,0.8,"['X58', 'X39', 'X30', 'X41', 'X4', 'X83', 'X56', 'X74', 'X26', 'X9', 'X44', 'X36', 'X15', 'X17', 'X89', 'X61', 'X96', 'X20', 'X99', 'X94', 'X11', 'X31', 'X67', 'X48', 'X59', 'X57', 'X63', 'X5', 'X81', 'X71', 'X33', 'X64', 'X2', 'X50', 'X16', 'X84', 'X87', 'X38', 'X13', 'X23']"
8,X20,X12,0,0.476012329606624,0.42942916756774857,1.0,5.9,0.2,"['X80', 'X49', 'X51', 'X40', 'X53', 'X59', 'X5', 'X81', 'X41', 'X63', 'X60', 'X98', 'X83', 'X66', 'X8', 'X7', 'X28', 'X64', 'X2', 'X55', 'X10', 'X13', 'X62', 'X23', 'X99', 'X0']"
9,X20,X12,1,0.22489312328398228,0.25958037237516535,1.0,4.5,0.2,"['X49', 'X64', 'X51', 'X53', 'X59', 'X5', 'X23', 'X17', 'X10', 'X98', 'X66', 'X28', 'X99', 'X83', 'X0']"
