,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X30,X21,0,0.2791692421771586,0.2920462139145503,1.0,15.2,0.0,"['X83', 'X29', 'X92', 'X36', 'X41', 'X22', 'X69', 'X8', 'X48', 'X53', 'X0', 'X46', 'X25', 'X45', 'X15', 'X68', 'X44', 'X14', 'X31', 'X18', 'X62', 'X97', 'X77', 'X96', 'X55', 'X54', 'X66', 'X35', 'X38', 'X75', 'X57', 'X39', 'X42', 'X33', 'X93', 'X32', 'X1', 'X98', 'X4', 'X82', 'X80', 'X12', 'X64', 'X49', 'X40', 'X60', 'X28', 'X34', 'X13', 'X23', 'X67', 'X19', 'X99', 'X11', 'X63', 'X59', 'X10', 'X47', 'X3', 'X79', 'X20']"
1,X30,X21,1,0.23135333171812816,0.3860389269189668,1.0,16.8,0.0,"['X83', 'X29', 'X52', 'X92', 'X36', 'X41', 'X22', 'X69', 'X8', 'X48', 'X53', 'X0', 'X25', 'X46', 'X15', 'X68', 'X44', 'X14', 'X31', 'X18', 'X62', 'X97', 'X77', 'X56', 'X96', 'X55', 'X87', 'X54', 'X66', 'X35', 'X78', 'X38', 'X75', 'X57', 'X39', 'X42', 'X33', 'X85', 'X32', 'X1', 'X98', 'X4', 'X82', 'X80', 'X12', 'X64', 'X49', 'X40', 'X37', 'X60', 'X28', 'X34', 'X13', 'X81', 'X23', 'X95', 'X67', 'X19', 'X99', 'X11', 'X6', 'X63', 'X70', 'X59', 'X10', 'X94', 'X3', 'X79', 'X20']"
2,X93,X54,0,0.39987221837509423,0.4120502590787206,1.0,25.3,0.4,"['X83', 'X29', 'X52', 'X92', 'X36', 'X22', 'X69', 'X8', 'X48', 'X53', 'X0', 'X25', 'X46', 'X45', 'X15', 'X68', 'X44', 'X14', 'X9', 'X31', 'X18', 'X62', 'X97', 'X77', 'X96', 'X56', 'X55', 'X87', 'X66', 'X35', 'X78', 'X38', 'X75', 'X57', 'X39', 'X42', 'X33', 'X85', 'X24', 'X32', 'X1', 'X21', 'X91', 'X98', 'X4', 'X82', 'X80', 'X12', 'X64', 'X49', 'X40', 'X37', 'X60', 'X28', 'X34', 'X13', 'X81', 'X2', 'X23', 'X95', 'X67', 'X99', 'X11', 'X6', 'X63', 'X30', 'X70', 'X59', 'X10', 'X47', 'X94', 'X3', 'X79', 'X20', 'X89']"
3,X93,X54,1,0.8260993495583534,0.28248340880568606,1.0,21.8,0.3,"['X83', 'X29', 'X52', 'X92', 'X36', 'X22', 'X69', 'X8', 'X48', 'X53', 'X0', 'X25', 'X46', 'X45', 'X15', 'X68', 'X44', 'X14', 'X9', 'X31', 'X18', 'X62', 'X97', 'X77', 'X96', 'X56', 'X55', 'X87', 'X66', 'X35', 'X78', 'X38', 'X75', 'X57', 'X39', 'X42', 'X33', 'X85', 'X32', 'X24', 'X1', 'X21', 'X91', 'X98', 'X4', 'X82', 'X80', 'X84', 'X12', 'X64', 'X49', 'X40', 'X37', 'X60', 'X28', 'X13', 'X34', 'X81', 'X23', 'X95', 'X67', 'X19', 'X99', 'X6', 'X63', 'X59', 'X10', 'X47', 'X94', 'X3', 'X79', 'X20', 'X89']"
4,X39,X81,0,0.9977409303188324,0.003086112834347624,1.0,12.4,1.0,"['X83', 'X29', 'X52', 'X92', 'X36', 'X41', 'X22', 'X8', 'X48', 'X53', 'X0', 'X46', 'X25', 'X45', 'X15', 'X68', 'X14', 'X9', 'X31', 'X18', 'X62', 'X77', 'X96', 'X56', 'X55', 'X87', 'X54', 'X66', 'X35', 'X78', 'X38', 'X75', 'X57', 'X42', 'X33', 'X85', 'X32', 'X1', 'X21', 'X91', 'X98', 'X4', 'X82', 'X80', 'X12', 'X64', 'X40', 'X37', 'X60', 'X28', 'X13', 'X34', 'X23', 'X95', 'X67', 'X19', 'X11', 'X63', 'X59', 'X10', 'X94', 'X47', 'X3', 'X20']"
5,X39,X81,1,0.7719973221421241,0.23488435241844444,1.0,13.0,0.8,"['X83', 'X29', 'X52', 'X92', 'X36', 'X22', 'X69', 'X8', 'X48', 'X53', 'X46', 'X25', 'X45', 'X15', 'X68', 'X44', 'X14', 'X31', 'X18', 'X62', 'X97', 'X77', 'X96', 'X56', 'X55', 'X87', 'X54', 'X66', 'X35', 'X78', 'X38', 'X57', 'X42', 'X33', 'X85', 'X32', 'X24', 'X1', 'X21', 'X91', 'X98', 'X4', 'X82', 'X80', 'X12', 'X64', 'X49', 'X40', 'X37', 'X90', 'X60', 'X28', 'X13', 'X34', 'X23', 'X95', 'X67', 'X19', 'X6', 'X63', 'X70', 'X59', 'X47', 'X94', 'X3', 'X79', 'X20']"
6,X91,X30,0,0.5613997701555491,0.43606755049317153,1.0,8.2,1.0,"['X31', 'X23', 'X92', 'X19', 'X36', 'X11', 'X4', 'X41', 'X22', 'X80', 'X64', 'X66', 'X54', 'X48', 'X78', 'X59', 'X46', 'X0', 'X45', 'X39', 'X15', 'X79', 'X33', 'X28', 'X89']"
7,X91,X30,1,0.9900902688503266,0.02448602610231633,1.0,12.9,0.9,"['X83', 'X29', 'X52', 'X92', 'X36', 'X22', 'X69', 'X8', 'X48', 'X53', 'X0', 'X46', 'X15', 'X68', 'X14', 'X31', 'X18', 'X62', 'X97', 'X77', 'X56', 'X55', 'X66', 'X54', 'X35', 'X38', 'X75', 'X57', 'X42', 'X33', 'X85', 'X93', 'X1', 'X98', 'X4', 'X82', 'X84', 'X80', 'X12', 'X64', 'X37', 'X60', 'X28', 'X34', 'X13', 'X81', 'X2', 'X23', 'X95', 'X67', 'X99', 'X11', 'X6', 'X63', 'X59', 'X10', 'X94', 'X3', 'X79', 'X20', 'X89']"
8,X45,X44,0,0.12963751456700265,0.2894716275577848,1.0,4.8,0.1,"['X1', 'X31', 'X2', 'X29', 'X95', 'X67', 'X99', 'X4', 'X97', 'X32', 'X80', 'X84', 'X12', 'X64', 'X70', 'X35', 'X78', 'X59', 'X46', 'X0', 'X28', 'X13', 'X93']"
9,X45,X44,1,0.9865758419036865,0.0017671840531936732,1.0,3.3,0.2,"['X31', 'X32', 'X1', 'X35', 'X0', 'X46', 'X39', 'X28', 'X96', 'X13', 'X93', 'X12']"
