,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X71,X63,0,0.3487788140773773,0.28484194271195307,1.0,34.4,0.4,"['X88', 'X16', 'X7', 'X46', 'X55', 'X83', 'X23', 'X69', 'X74', 'X32', 'X68', 'X18', 'X75', 'X66', 'X36', 'X45', 'X31', 'X51', 'X80', 'X52', 'X41', 'X25', 'X2', 'X54', 'X38', 'X92', 'X5', 'X0', 'X9', 'X62', 'X29', 'X91', 'X10', 'X65', 'X93', 'X27', 'X28', 'X48', 'X95', 'X26', 'X81', 'X44', 'X78', 'X3', 'X67', 'X77', 'X40', 'X49', 'X37', 'X1', 'X70', 'X58', 'X34', 'X73', 'X33', 'X59', 'X56', 'X61', 'X4', 'X8', 'X12', 'X11', 'X97']"
1,X71,X63,1,0.6132876634597778,0.18454349953553767,1.0,30.7,0.1,"['X88', 'X16', 'X7', 'X46', 'X83', 'X23', 'X69', 'X74', 'X68', 'X36', 'X31', 'X51', 'X52', 'X25', 'X41', 'X2', 'X54', 'X38', 'X92', 'X5', 'X0', 'X9', 'X29', 'X91', 'X62', 'X10', 'X65', 'X93', 'X27', 'X28', 'X48', 'X95', 'X81', 'X20', 'X44', 'X78', 'X3', 'X67', 'X77', 'X40', 'X49', 'X37', 'X1', 'X70', 'X58', 'X34', 'X73', 'X33', 'X56', 'X61', 'X4', 'X8', 'X12', 'X11', 'X97']"
2,X98,X22,0,0.030696577495998807,0.0129986847084926,0.9,56.333333333333336,1.0,"['X88', 'X16', 'X7', 'X46', 'X53', 'X83', 'X55', 'X39', 'X64', 'X23', 'X69', 'X74', 'X32', 'X68', 'X18', 'X75', 'X66', 'X36', 'X82', 'X45', 'X31', 'X51', 'X80', 'X86', 'X52', 'X41', 'X25', 'X2', 'X79', 'X54', 'X13', 'X47', 'X87', 'X38', 'X92', 'X5', 'X0', 'X9', 'X29', 'X62', 'X91', 'X42', 'X10', 'X65', 'X93', 'X27', 'X28', 'X26', 'X48', 'X95', 'X60', 'X81', 'X44', 'X78', 'X3', 'X14', 'X67', 'X77', 'X40', 'X49', 'X37', 'X1', 'X70', 'X58', 'X34', 'X73', 'X33', 'X59', 'X71', 'X56', 'X19', 'X61', 'X4', 'X35', 'X8', 'X12', 'X11', 'X50', 'X97']"
3,X98,X22,1,0.8877428548410535,0.28698708707180537,1.0,56.0,0.9,"['X88', 'X16', 'X7', 'X53', 'X46', 'X83', 'X55', 'X39', 'X64', 'X23', 'X69', 'X74', 'X32', 'X68', 'X18', 'X75', 'X66', 'X36', 'X82', 'X45', 'X31', 'X51', 'X80', 'X86', 'X52', 'X41', 'X25', 'X2', 'X54', 'X13', 'X47', 'X87', 'X38', 'X92', 'X0', 'X5', 'X9', 'X29', 'X62', 'X91', 'X42', 'X10', 'X65', 'X93', 'X27', 'X28', 'X48', 'X26', 'X95', 'X60', 'X81', 'X44', 'X78', 'X3', 'X14', 'X67', 'X77', 'X40', 'X49', 'X37', 'X1', 'X70', 'X58', 'X34', 'X73', 'X33', 'X59', 'X71', 'X19', 'X56', 'X61', 'X4', 'X35', 'X8', 'X12', 'X11', 'X50', 'X97']"
4,X71,X98,0,0.6178863357752562,0.22717606382910532,1.0,31.8,0.4,"['X88', 'X16', 'X7', 'X46', 'X53', 'X83', 'X39', 'X23', 'X69', 'X74', 'X32', 'X68', 'X18', 'X75', 'X66', 'X36', 'X82', 'X45', 'X31', 'X51', 'X80', 'X86', 'X52', 'X25', 'X41', 'X2', 'X54', 'X13', 'X94', 'X47', 'X87', 'X38', 'X92', 'X0', 'X5', 'X9', 'X29', 'X62', 'X91', 'X42', 'X10', 'X65', 'X93', 'X27', 'X28', 'X26', 'X95', 'X48', 'X60', 'X81', 'X44', 'X78', 'X3', 'X14', 'X67', 'X77', 'X40', 'X49', 'X37', 'X1', 'X70', 'X58', 'X34', 'X73', 'X33', 'X59', 'X19', 'X56', 'X61', 'X4', 'X35', 'X8', 'X12', 'X11', 'X50', 'X97']"
5,X71,X98,1,0.38717538230121135,0.2609882382989889,1.0,28.3,0.4,"['X88', 'X16', 'X7', 'X46', 'X53', 'X55', 'X83', 'X39', 'X64', 'X23', 'X69', 'X74', 'X32', 'X68', 'X18', 'X75', 'X66', 'X36', 'X82', 'X45', 'X31', 'X51', 'X80', 'X86', 'X52', 'X41', 'X25', 'X2', 'X54', 'X13', 'X47', 'X87', 'X38', 'X92', 'X5', 'X0', 'X9', 'X91', 'X29', 'X62', 'X42', 'X10', 'X65', 'X93', 'X27', 'X28', 'X48', 'X26', 'X95', 'X60', 'X81', 'X44', 'X78', 'X3', 'X14', 'X67', 'X77', 'X40', 'X49', 'X37', 'X57', 'X1', 'X70', 'X58', 'X34', 'X73', 'X33', 'X59', 'X19', 'X56', 'X61', 'X4', 'X35', 'X8', 'X12', 'X11', 'X50', 'X97']"
6,X21,X88,0,0.29624470240539974,0.07576799867725703,0.9,59.44444444444444,0.7777777777777778,"['X22', 'X16', 'X7', 'X46', 'X39', 'X23', 'X69', 'X74', 'X63', 'X75', 'X66', 'X36', 'X31', 'X80', 'X54', 'X13', 'X90', 'X47', 'X38', 'X0', 'X5', 'X91', 'X62', 'X76', 'X42', 'X65', 'X93', 'X98', 'X27', 'X28', 'X26', 'X60', 'X3', 'X77', 'X57', 'X70', 'X85', 'X34', 'X71', 'X56', 'X61', 'X11', 'X97', 'X53', 'X83', 'X55', 'X64', 'X32', 'X68', 'X18', 'X15', 'X82', 'X45', 'X51', 'X86', 'X52', 'X41', 'X2', 'X94', 'X43', 'X87', 'X92', 'X9', 'X29', 'X10', 'X48', 'X95', 'X6', 'X81', 'X44', 'X78', 'X67', 'X14', 'X72', 'X40', 'X49', 'X37', 'X1', 'X58', 'X73', 'X33', 'X59', 'X19', 'X4', 'X35', 'X8', 'X12', 'X17', 'X50']"
7,X21,X88,1,0.2687314376235008,0.09699267821972364,0.8,54.625,0.625,"['X22', 'X16', 'X7', 'X46', 'X39', 'X23', 'X69', 'X74', 'X63', 'X75', 'X66', 'X36', 'X31', 'X80', 'X24', 'X79', 'X54', 'X13', 'X90', 'X47', 'X38', 'X0', 'X5', 'X91', 'X62', 'X76', 'X42', 'X65', 'X93', 'X27', 'X28', 'X26', 'X60', 'X3', 'X77', 'X57', 'X70', 'X34', 'X71', 'X56', 'X61', 'X11', 'X97', 'X53', 'X83', 'X55', 'X64', 'X32', 'X68', 'X18', 'X15', 'X82', 'X45', 'X51', 'X86', 'X52', 'X41', 'X25', 'X2', 'X94', 'X43', 'X87', 'X92', 'X9', 'X29', 'X30', 'X10', 'X48', 'X95', 'X6', 'X81', 'X20', 'X44', 'X78', 'X14', 'X67', 'X72', 'X40', 'X49', 'X37', 'X1', 'X58', 'X73', 'X33', 'X59', 'X19', 'X4', 'X35', 'X8', 'X12', 'X17', 'X89', 'X50']"
8,X63,X22,0,0.9302415251731873,0.021380196796871316,1.0,30.9,0.0,"['X88', 'X7', 'X46', 'X83', 'X55', 'X23', 'X74', 'X32', 'X18', 'X75', 'X36', 'X31', 'X51', 'X80', 'X86', 'X52', 'X41', 'X25', 'X2', 'X54', 'X38', 'X92', 'X5', 'X0', 'X9', 'X91', 'X29', 'X62', 'X42', 'X10', 'X65', 'X93', 'X27', 'X28', 'X48', 'X95', 'X26', 'X81', 'X78', 'X3', 'X67', 'X77', 'X40', 'X49', 'X37', 'X1', 'X70', 'X58', 'X34', 'X73', 'X56', 'X61', 'X4', 'X8', 'X12', 'X11']"
9,X63,X22,1,0.2008607316762209,0.09027881717842867,1.0,32.3,0.2,"['X88', 'X16', 'X7', 'X46', 'X53', 'X55', 'X83', 'X64', 'X23', 'X69', 'X74', 'X32', 'X18', 'X75', 'X36', 'X82', 'X45', 'X31', 'X51', 'X80', 'X86', 'X52', 'X41', 'X25', 'X2', 'X54', 'X38', 'X92', 'X5', 'X0', 'X9', 'X29', 'X62', 'X91', 'X42', 'X10', 'X65', 'X93', 'X27', 'X28', 'X26', 'X95', 'X48', 'X81', 'X44', 'X78', 'X3', 'X67', 'X77', 'X40', 'X49', 'X37', 'X1', 'X70', 'X58', 'X34', 'X73', 'X33', 'X59', 'X56', 'X61', 'X4', 'X35', 'X8', 'X12', 'X11', 'X50', 'X97']"
