,target_var,condition_var,condition_val,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X94,X80,0,0.17836269736289978,0.033382220750989816,1.0,13.6,0.0,"['X52', 'X50', 'X83', 'X13', 'X26', 'X76', 'X59', 'X20', 'X87', 'X62', 'X42', 'X47', 'X36', 'X79', 'X15', 'X54', 'X77', 'X37', 'X55', 'X33', 'X17', 'X28', 'X18', 'X78', 'X84', 'X67', 'X24', 'X97', 'X6', 'X58', 'X9', 'X56', 'X68', 'X61', 'X72', 'X41', 'X75', 'X21', 'X25', 'X64', 'X12', 'X46', 'X85', 'X69', 'X88', 'X19', 'X82', 'X5', 'X99', 'X43', 'X22', 'X16', 'X27', 'X35']"
1,X94,X80,1,0.04226190000772476,0.0295354113097217,1.0,14.1,0.0,"['X52', 'X83', 'X57', 'X50', 'X92', 'X13', 'X26', 'X51', 'X45', 'X20', 'X87', 'X62', 'X47', 'X55', 'X17', 'X28', 'X18', 'X84', 'X78', 'X24', 'X97', 'X6', 'X9', 'X61', 'X72', 'X25', 'X64', 'X12', 'X69', 'X34', 'X88', 'X19', 'X5', 'X99', 'X22', 'X16', 'X35']"
2,X69,X97,0,0.06722674551419913,0.10203777388247137,1.0,59.6,0.6,"['X57', 'X62', 'X36', 'X17', 'X58', 'X56', 'X68', 'X12', 'X34', 'X88', 'X80', 'X70', 'X82', 'X30', 'X5', 'X74', 'X52', 'X7', 'X50', 'X86', 'X13', 'X26', 'X1', 'X48', 'X45', 'X53', 'X37', 'X55', 'X6', 'X9', 'X61', 'X96', 'X2', 'X39', 'X90', 'X99', 'X11', 'X81', 'X83', 'X40', 'X76', 'X51', 'X87', 'X42', 'X47', 'X54', 'X33', 'X29', 'X28', 'X18', 'X78', 'X84', 'X67', 'X24', 'X14', 'X41', 'X75', 'X65', 'X21', 'X64', 'X60', 'X66', 'X19', 'X94', 'X16', 'X4', 'X92', 'X59', 'X20', 'X79', 'X15', 'X77', 'X8', 'X72', 'X49', 'X25', 'X10', 'X46', 'X85', 'X63', 'X43', 'X32', 'X22', 'X27', 'X35']"
3,X69,X97,1,0.2641444011591375,0.28084495861023717,1.0,42.9,0.5,"['X81', 'X83', 'X57', 'X40', 'X76', 'X51', 'X87', 'X62', 'X42', 'X47', 'X36', 'X93', 'X54', 'X33', 'X17', 'X29', 'X18', 'X78', 'X84', 'X28', 'X67', 'X24', 'X58', 'X68', 'X56', 'X14', 'X41', 'X75', 'X65', 'X21', 'X64', 'X12', 'X60', 'X88', 'X34', 'X80', 'X70', 'X19', 'X82', 'X30', 'X5', 'X94', 'X16', 'X52', 'X7', 'X50', 'X4', 'X86', 'X92', 'X13', 'X26', 'X45', 'X48', 'X59', 'X20', 'X53', 'X79', 'X15', 'X77', 'X8', 'X37', 'X55', 'X6', 'X9', 'X61', 'X72', 'X49', 'X96', 'X25', 'X2', 'X10', 'X46', 'X85', 'X39', 'X73', 'X63', 'X90', 'X99', 'X43', 'X22', 'X11', 'X27', 'X35']"
4,X91,X87,0,0.27769406568259003,0.37491757071784587,1.0,38.6,0.2,"['X81', 'X83', 'X57', 'X40', 'X76', 'X51', 'X62', 'X42', 'X47', 'X36', 'X54', 'X33', 'X17', 'X28', 'X18', 'X78', 'X29', 'X67', 'X24', 'X97', 'X84', 'X58', 'X68', 'X14', 'X75', 'X65', 'X21', 'X64', 'X12', 'X60', 'X88', 'X34', 'X80', 'X70', 'X19', 'X82', 'X5', 'X94', 'X16', 'X52', 'X50', 'X4', 'X86', 'X92', 'X13', 'X26', 'X45', 'X48', 'X59', 'X20', 'X53', 'X79', 'X15', 'X77', 'X8', 'X37', 'X55', 'X6', 'X9', 'X61', 'X72', 'X49', 'X96', 'X25', 'X10', 'X46', 'X85', 'X69', 'X39', 'X63', 'X90', 'X99', 'X43', 'X22', 'X11', 'X27', 'X35']"
5,X91,X87,1,0.8664561752229929,0.2754852409993272,1.0,33.5,0.3,"['X81', 'X83', 'X57', 'X40', 'X76', 'X3', 'X51', 'X62', 'X42', 'X47', 'X36', 'X54', 'X33', 'X17', 'X29', 'X18', 'X84', 'X78', 'X67', 'X24', 'X97', 'X28', 'X58', 'X68', 'X14', 'X41', 'X75', 'X65', 'X21', 'X60', 'X12', 'X64', 'X34', 'X88', 'X80', 'X70', 'X19', 'X82', 'X5', 'X94', 'X16', 'X7', 'X52', 'X50', 'X4', 'X86', 'X92', 'X13', 'X26', 'X45', 'X48', 'X59', 'X20', 'X53', 'X79', 'X15', 'X77', 'X8', 'X37', 'X55', 'X6', 'X9', 'X61', 'X72', 'X49', 'X96', 'X25', 'X10', 'X46', 'X85', 'X69', 'X39', 'X63', 'X90', 'X99', 'X43', 'X22', 'X11', 'X27', 'X35']"
6,X30,X9,0,0.600376607477665,0.14879947337502586,1.0,57.5,0.0,"['X57', 'X62', 'X36', 'X17', 'X97', 'X58', 'X56', 'X68', 'X12', 'X34', 'X88', 'X80', 'X70', 'X82', 'X5', 'X7', 'X52', 'X50', 'X86', 'X13', 'X26', 'X45', 'X48', 'X53', 'X37', 'X55', 'X6', 'X61', 'X96', 'X2', 'X39', 'X90', 'X99', 'X11', 'X81', 'X83', 'X40', 'X76', 'X3', 'X51', 'X87', 'X42', 'X47', 'X54', 'X33', 'X29', 'X28', 'X18', 'X84', 'X78', 'X67', 'X24', 'X14', 'X41', 'X75', 'X65', 'X21', 'X64', 'X60', 'X19', 'X94', 'X16', 'X4', 'X92', 'X59', 'X20', 'X79', 'X15', 'X77', 'X8', 'X72', 'X49', 'X25', 'X10', 'X46', 'X85', 'X69', 'X63', 'X43', 'X22', 'X27', 'X35']"
7,X30,X9,1,0.4668870449066162,0.20684828014094775,1.0,51.5,0.0,"['X57', 'X62', 'X36', 'X17', 'X97', 'X58', 'X68', 'X56', 'X12', 'X34', 'X88', 'X80', 'X70', 'X82', 'X5', 'X52', 'X7', 'X50', 'X86', 'X13', 'X26', 'X45', 'X48', 'X53', 'X37', 'X55', 'X6', 'X61', 'X96', 'X2', 'X39', 'X90', 'X99', 'X11', 'X81', 'X83', 'X40', 'X76', 'X3', 'X51', 'X87', 'X42', 'X47', 'X54', 'X33', 'X29', 'X28', 'X18', 'X78', 'X84', 'X67', 'X24', 'X14', 'X41', 'X75', 'X65', 'X21', 'X64', 'X60', 'X19', 'X94', 'X16', 'X4', 'X92', 'X59', 'X20', 'X79', 'X15', 'X77', 'X8', 'X72', 'X49', 'X25', 'X10', 'X46', 'X85', 'X69', 'X63', 'X43', 'X22', 'X27', 'X35']"
8,X66,X87,0,0.5387795865535736,0.18016478161223332,0.4,76.0,0.0,"['X57', 'X62', 'X36', 'X17', 'X97', 'X58', 'X68', 'X56', 'X12', 'X88', 'X34', 'X70', 'X82', 'X5', 'X52', 'X7', 'X50', 'X31', 'X86', 'X13', 'X26', 'X45', 'X48', 'X23', 'X53', 'X37', 'X55', 'X6', 'X9', 'X61', 'X96', 'X2', 'X39', 'X90', 'X99', 'X11', 'X81', 'X83', 'X40', 'X76', 'X3', 'X51', 'X42', 'X47', 'X54', 'X33', 'X29', 'X28', 'X18', 'X78', 'X84', 'X67', 'X24', 'X14', 'X41', 'X75', 'X65', 'X21', 'X64', 'X60', 'X19', 'X94', 'X16', 'X4', 'X92', 'X59', 'X20', 'X38', 'X79', 'X15', 'X77', 'X8', 'X71', 'X72', 'X49', 'X25', 'X10', 'X46', 'X85', 'X69', 'X73', 'X63', 'X43', 'X22', 'X27', 'X35']"
9,X66,X87,1,0.5974661707878113,0.0,0.1,76.0,1.0,"['X81', 'X83', 'X57', 'X40', 'X76', 'X51', 'X62', 'X42', 'X47', 'X36', 'X54', 'X33', 'X29', 'X28', 'X17', 'X78', 'X84', 'X18', 'X24', 'X97', 'X58', 'X68', 'X56', 'X14', 'X41', 'X75', 'X65', 'X21', 'X64', 'X60', 'X12', 'X34', 'X88', 'X80', 'X70', 'X19', 'X82', 'X5', 'X94', 'X16', 'X52', 'X7', 'X50', 'X4', 'X86', 'X92', 'X13', 'X26', 'X48', 'X59', 'X20', 'X53', 'X79', 'X15', 'X77', 'X8', 'X37', 'X55', 'X6', 'X9', 'X61', 'X72', 'X96', 'X25', 'X10', 'X46', 'X85', 'X39', 'X63', 'X90', 'X99', 'X43', 'X22', 'X11', 'X27', 'X35']"
