target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence,type,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars,checkpoint,checkpoint_idx
X24,X93,0,,0.9026440620422364,,,free,0.0475713084334699,0.5,34.8,0.4,"['X35', 'X95', 'X5', 'X77', 'X72', 'X48', 'X84', 'X75', 'X31', 'X18', 'X80', 'X59', 'X8', 'X96', 'X63', 'X79', 'X74', 'X73', 'X97', 'X69', 'X7', 'X78', 'X15', 'X20', 'X58', 'X32', 'X4', 'X9', 'X85', 'X61', 'X26', 'X45', 'X60', 'X98', 'X41', 'X13', 'X66', 'X6', 'X89', 'X1', 'X39', 'X91', 'X50', 'X68', 'X2', 'X42', 'X43', 'X22', 'X47', 'X87', 'X33', 'X37', 'X11', 'X57', 'X67', 'X27', 'X71', 'X30', 'X54', 'X36', 'X38', 'X82', 'X12', 'X65', 'X10', 'X40', 'X16', 'X52', 'X81', 'X46', 'X17', 'X86', 'X99', 'X14', 'X21', 'X34', 'X92', 'X83', 'X23', 'X28', 'X55', 'X3', 'X44']",checkpoint-5000,0.0
X24,X93,1,,0.8876516123612722,,,free,0.068990652978339,0.6,23.166666666666668,0.5,"['X0', 'X35', 'X95', 'X51', 'X77', 'X5', 'X72', 'X48', 'X31', 'X75', 'X80', 'X18', 'X59', 'X63', 'X97', 'X74', 'X73', 'X79', 'X69', 'X7', 'X78', 'X20', 'X58', 'X15', 'X32', 'X4', 'X9', 'X85', 'X61', 'X26', 'X60', 'X98', 'X41', 'X13', 'X66', 'X6', 'X89', 'X1', 'X76', 'X2', 'X91', 'X50', 'X22', 'X43', 'X70', 'X47', 'X87', 'X33', 'X37', 'X53', 'X11', 'X57', 'X67', 'X27', 'X49', 'X71', 'X30', 'X54', 'X56', 'X88', 'X36', 'X90', 'X38', 'X82', 'X94', 'X12', 'X65', 'X10', 'X16', 'X25', 'X19', 'X52', 'X81', 'X17', 'X99', 'X14', 'X21', 'X34', 'X83', 'X23', 'X55', 'X28', 'X3', 'X44']",checkpoint-5000,0.0
X77,X93,0,,0.1990044840744563,,,free,0.0564304548451933,0.7,38.0,0.4285714285714285,"['X0', 'X29', 'X35', 'X95', 'X51', 'X5', 'X48', 'X84', 'X75', 'X31', 'X18', 'X80', 'X59', 'X8', 'X96', 'X63', 'X97', 'X74', 'X73', 'X79', 'X69', 'X7', 'X78', 'X20', 'X58', 'X15', 'X32', 'X9', 'X4', 'X85', 'X61', 'X26', 'X45', 'X60', 'X98', 'X41', 'X13', 'X66', 'X89', 'X1', 'X76', 'X39', 'X50', 'X91', 'X68', 'X2', 'X22', 'X43', 'X42', 'X47', 'X87', 'X33', 'X37', 'X53', 'X11', 'X57', 'X67', 'X27', 'X49', 'X71', 'X30', 'X54', 'X56', 'X88', 'X36', 'X94', 'X38', 'X82', 'X90', 'X10', 'X65', 'X12', 'X40', 'X16', 'X25', 'X19', 'X81', 'X52', 'X46', 'X24', 'X17', 'X86', 'X99', 'X14', 'X92', 'X34', 'X83', 'X23', 'X55', 'X28', 'X44']",checkpoint-5000,0.0
X77,X93,1,,0.1672214248350688,,,free,0.0460938516665482,0.7,36.71428571428572,0.2857142857142857,"['X0', 'X35', 'X95', 'X51', 'X5', 'X72', 'X84', 'X48', 'X75', 'X31', 'X80', 'X18', 'X59', 'X96', 'X63', 'X97', 'X64', 'X73', 'X79', 'X69', 'X7', 'X74', 'X15', 'X20', 'X58', 'X32', 'X4', 'X9', 'X85', 'X61', 'X26', 'X45', 'X60', 'X98', 'X41', 'X13', 'X6', 'X1', 'X89', 'X76', 'X39', 'X91', 'X68', 'X2', 'X50', 'X22', 'X43', 'X42', 'X70', 'X47', 'X87', 'X33', 'X37', 'X53', 'X11', 'X57', 'X67', 'X27', 'X49', 'X30', 'X54', 'X56', 'X88', 'X36', 'X90', 'X94', 'X82', 'X38', 'X10', 'X12', 'X65', 'X16', 'X25', 'X19', 'X81', 'X52', 'X46', 'X24', 'X17', 'X86', 'X99', 'X14', 'X92', 'X34', 'X83', 'X23', 'X55', 'X28', 'X3', 'X44']",checkpoint-5000,0.0
X18,X62,0,,0.0896903183311224,,,free,0.0393840901843323,0.4,32.75,0.25,"['X0', 'X29', 'X35', 'X95', 'X51', 'X77', 'X5', 'X72', 'X48', 'X84', 'X75', 'X31', 'X80', 'X59', 'X8', 'X96', 'X79', 'X97', 'X64', 'X73', 'X63', 'X74', 'X15', 'X58', 'X20', 'X32', 'X4', 'X9', 'X61', 'X26', 'X45', 'X60', 'X98', 'X41', 'X13', 'X66', 'X6', 'X1', 'X89', 'X76', 'X50', 'X68', 'X2', 'X91', 'X22', 'X43', 'X47', 'X87', 'X33', 'X37', 'X53', 'X11', 'X57', 'X27', 'X49', 'X71', 'X30', 'X54', 'X56', 'X36', 'X90', 'X38', 'X82', 'X94', 'X10', 'X16', 'X25', 'X52', 'X19', 'X46', 'X17', 'X86', 'X99', 'X92', 'X21', 'X23', 'X55', 'X3', 'X44']",checkpoint-5000,0.0
X18,X62,1,,0.0698333457112312,,,free,0.0191154613024394,0.5,30.8,0.2,"['X0', 'X29', 'X35', 'X95', 'X51', 'X5', 'X72', 'X84', 'X48', 'X31', 'X75', 'X80', 'X59', 'X96', 'X63', 'X79', 'X97', 'X73', 'X64', 'X69', 'X74', 'X78', 'X20', 'X58', 'X15', 'X32', 'X9', 'X4', 'X85', 'X61', 'X26', 'X45', 'X60', 'X98', 'X41', 'X13', 'X66', 'X89', 'X1', 'X76', 'X39', 'X2', 'X68', 'X50', 'X42', 'X22', 'X70', 'X43', 'X47', 'X87', 'X33', 'X37', 'X53', 'X11', 'X57', 'X67', 'X27', 'X30', 'X54', 'X56', 'X36', 'X94', 'X38', 'X90', 'X82', 'X10', 'X12', 'X65', 'X16', 'X25', 'X52', 'X19', 'X81', 'X46', 'X24', 'X17', 'X86', 'X99', 'X14', 'X21', 'X92', 'X34', 'X83', 'X23', 'X28', 'X3', 'X44']",checkpoint-5000,0.0
X35,X6,0,,0.7091824859380722,,,free,0.0940753913344114,0.4,30.0,0.5,"['X0', 'X29', 'X95', 'X51', 'X93', 'X77', 'X72', 'X48', 'X84', 'X75', 'X18', 'X80', 'X59', 'X96', 'X63', 'X79', 'X74', 'X64', 'X73', 'X69', 'X97', 'X7', 'X78', 'X20', 'X58', 'X15', 'X32', 'X9', 'X4', 'X61', 'X26', 'X98', 'X41', 'X13', 'X66', 'X1', 'X50', 'X91', 'X68', 'X2', 'X42', 'X43', 'X47', 'X87', 'X33', 'X53', 'X11', 'X67', 'X27', 'X49', 'X30', 'X54', 'X56', 'X36', 'X94', 'X38', 'X82', 'X90', 'X10', 'X65', 'X16', 'X25', 'X81', 'X46', 'X24', 'X17', 'X86', 'X14', 'X92', 'X34', 'X23', 'X55', 'X28', 'X3']",checkpoint-5000,0.0
X35,X6,1,,0.8220655918121338,,,free,0.0,0.1,29.0,0.0,"['X15', 'X58', 'X16', 'X9', 'X4', 'X33', 'X61', 'X84', 'X98', 'X41', 'X57', 'X78', 'X17', 'X80', 'X59', 'X71', 'X34', 'X54', 'X23', 'X39', 'X68', 'X91', 'X36', 'X90', 'X2', 'X43', 'X3', 'X7', 'X65']",checkpoint-5000,0.0
X89,X70,0,,0.2117661207914352,,,free,0.040916314152221,0.5,30.6,0.2,"['X0', 'X35', 'X95', 'X51', 'X93', 'X77', 'X5', 'X72', 'X48', 'X84', 'X31', 'X75', 'X18', 'X80', 'X59', 'X8', 'X96', 'X63', 'X97', 'X74', 'X73', 'X79', 'X64', 'X69', 'X7', 'X78', 'X15', 'X58', 'X32', 'X9', 'X4', 'X85', 'X61', 'X26', 'X45', 'X60', 'X98', 'X13', 'X66', 'X1', 'X76', 'X39', 'X68', 'X91', 'X2', 'X50', 'X42', 'X43', 'X47', 'X87', 'X33', 'X37', 'X53', 'X11', 'X57', 'X67', 'X27', 'X49', 'X71', 'X30', 'X54', 'X56', 'X36', 'X94', 'X38', 'X90', 'X10', 'X12', 'X65', 'X16', 'X19', 'X81', 'X52', 'X46', 'X24', 'X86', 'X99', 'X14', 'X21', 'X34', 'X92', 'X83', 'X23', 'X55', 'X3']",checkpoint-5000,0.0
X89,X70,1,,0.1731166828955923,,,free,0.0712609171300417,0.7,25.285714285714285,0.1428571428571428,"['X0', 'X29', 'X35', 'X95', 'X51', 'X77', 'X5', 'X72', 'X48', 'X84', 'X31', 'X18', 'X59', 'X96', 'X79', 'X97', 'X74', 'X73', 'X63', 'X69', 'X7', 'X78', 'X15', 'X58', 'X20', 'X32', 'X9', 'X4', 'X85', 'X61', 'X26', 'X45', 'X60', 'X98', 'X41', 'X66', 'X6', 'X1', 'X76', 'X91', 'X2', 'X68', 'X50', 'X42', 'X22', 'X43', 'X47', 'X87', 'X33', 'X37', 'X53', 'X11', 'X57', 'X67', 'X27', 'X49', 'X71', 'X54', 'X56', 'X36', 'X94', 'X38', 'X82', 'X90', 'X10', 'X12', 'X16', 'X25', 'X19', 'X81', 'X52', 'X46', 'X17', 'X86', 'X99', 'X14', 'X21', 'X92', 'X83', 'X34', 'X23', 'X28', 'X55', 'X3', 'X44']",checkpoint-5000,0.0
