target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence,type,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars,checkpoint,checkpoint_idx
X63,X98,0,,0.6832559279033116,,,free,0.0172110763878079,0.7,50.71428571428572,0.5714285714285714,"['X32', 'X53', 'X69', 'X27', 'X50', 'X60', 'X26', 'X8', 'X66', 'X67', 'X82', 'X61', 'X85', 'X47', 'X3', 'X15', 'X83', 'X76', 'X46', 'X33', 'X30', 'X84', 'X45', 'X13', 'X73', 'X80', 'X86', 'X40', 'X44', 'X92', 'X5', 'X1', 'X95', 'X34', 'X56', 'X74', 'X18', 'X7', 'X17', 'X65', 'X87', 'X51', 'X31', 'X24', 'X72', 'X68', 'X62', 'X22', 'X93', 'X9', 'X11', 'X2', 'X39', 'X90', 'X52', 'X96', 'X25', 'X91', 'X20', 'X14', 'X79', 'X49', 'X89', 'X35', 'X54', 'X23', 'X78', 'X0', 'X37', 'X99', 'X71', 'X38', 'X55', 'X88', 'X29', 'X97', 'X77', 'X6', 'X12', 'X41', 'X4', 'X42', 'X70', 'X59', 'X28', 'X10', 'X81', 'X57', 'X36', 'X64', 'X43', 'X48', 'X21', 'X94', 'X19', 'X16', 'X75', 'X58']",checkpoint-30000,0.0
X63,X98,1,,0.6844097872575124,,,free,0.0278007771517556,0.6,50.833333333333336,0.0,"['X32', 'X53', 'X69', 'X27', 'X50', 'X60', 'X26', 'X8', 'X82', 'X67', 'X61', 'X85', 'X47', 'X3', 'X15', 'X83', 'X76', 'X46', 'X33', 'X30', 'X84', 'X45', 'X13', 'X73', 'X80', 'X86', 'X40', 'X44', 'X92', 'X5', 'X1', 'X95', 'X34', 'X56', 'X74', 'X18', 'X7', 'X17', 'X65', 'X87', 'X51', 'X31', 'X24', 'X68', 'X72', 'X62', 'X22', 'X93', 'X9', 'X11', 'X2', 'X39', 'X90', 'X52', 'X96', 'X25', 'X91', 'X20', 'X14', 'X79', 'X49', 'X89', 'X35', 'X54', 'X23', 'X78', 'X0', 'X37', 'X99', 'X71', 'X38', 'X55', 'X88', 'X29', 'X97', 'X77', 'X6', 'X12', 'X41', 'X42', 'X4', 'X70', 'X59', 'X28', 'X10', 'X81', 'X57', 'X64', 'X36', 'X43', 'X48', 'X21', 'X94', 'X19', 'X16', 'X75', 'X58']",checkpoint-30000,0.0
X15,X71,0,,0.292265946790576,,,free,0.3652246838989523,0.5,28.6,0.4,"['X24', 'X32', 'X68', 'X72', 'X62', 'X53', 'X93', 'X22', 'X69', 'X9', 'X11', 'X27', 'X2', 'X90', 'X50', 'X60', 'X26', 'X8', 'X66', 'X67', 'X25', 'X61', 'X85', 'X91', 'X14', 'X3', 'X79', 'X49', 'X89', 'X35', 'X83', 'X54', 'X78', 'X0', 'X46', 'X33', 'X30', 'X38', 'X84', 'X55', 'X45', 'X88', 'X29', 'X80', 'X86', 'X73', 'X40', 'X44', 'X6', 'X12', 'X5', 'X41', 'X1', 'X95', 'X42', 'X34', 'X56', 'X70', 'X59', 'X74', 'X18', 'X28', 'X10', 'X7', 'X81', 'X57', 'X17', 'X64', 'X43', 'X48', 'X65', 'X98', 'X87', 'X21', 'X94', 'X19', 'X63', 'X16', 'X75', 'X31', 'X58']",checkpoint-30000,0.0
X15,X71,1,,0.2212222349563879,,,free,0.3355657935967285,0.7,36.85714285714285,0.1428571428571428,"['X32', 'X53', 'X69', 'X27', 'X50', 'X26', 'X60', 'X8', 'X66', 'X82', 'X67', 'X61', 'X85', 'X47', 'X3', 'X83', 'X76', 'X46', 'X33', 'X30', 'X84', 'X45', 'X13', 'X73', 'X80', 'X86', 'X40', 'X44', 'X92', 'X5', 'X1', 'X95', 'X34', 'X56', 'X74', 'X18', 'X7', 'X17', 'X98', 'X65', 'X51', 'X31', 'X24', 'X72', 'X68', 'X62', 'X22', 'X93', 'X9', 'X11', 'X2', 'X39', 'X90', 'X52', 'X96', 'X25', 'X20', 'X91', 'X14', 'X79', 'X49', 'X89', 'X35', 'X54', 'X23', 'X78', 'X0', 'X37', 'X99', 'X38', 'X55', 'X88', 'X29', 'X97', 'X77', 'X6', 'X12', 'X41', 'X4', 'X42', 'X70', 'X59', 'X28', 'X10', 'X81', 'X57', 'X64', 'X36', 'X43', 'X48', 'X21', 'X94', 'X19', 'X63', 'X16', 'X75', 'X58']",checkpoint-30000,0.0
X21,X22,0,,0.4550165701657533,,,free,0.3250557241911395,0.6,32.666666666666664,0.3333333333333333,"['X24', 'X32', 'X72', 'X62', 'X53', 'X93', 'X69', 'X9', 'X11', 'X2', 'X27', 'X39', 'X90', 'X50', 'X26', 'X60', 'X8', 'X66', 'X52', 'X96', 'X67', 'X82', 'X25', 'X61', 'X85', 'X47', 'X91', 'X20', 'X14', 'X3', 'X79', 'X15', 'X49', 'X89', 'X35', 'X83', 'X54', 'X23', 'X78', 'X76', 'X0', 'X37', 'X46', 'X33', 'X30', 'X99', 'X71', 'X38', 'X84', 'X55', 'X45', 'X88', 'X29', 'X13', 'X73', 'X80', 'X40', 'X97', 'X77', 'X44', 'X12', 'X6', 'X92', 'X5', 'X41', 'X1', 'X95', 'X4', 'X34', 'X42', 'X56', 'X70', 'X59', 'X74', 'X18', 'X28', 'X10', 'X7', 'X81', 'X57', 'X17', 'X64', 'X36', 'X43', 'X48', 'X65', 'X87', 'X94', 'X19', 'X63', 'X16', 'X75', 'X31', 'X58']",checkpoint-30000,0.0
X21,X22,1,,0.1533653267348806,,,free,0.2604017717626028,0.6,41.5,0.5,"['X24', 'X32', 'X68', 'X72', 'X62', 'X53', 'X93', 'X69', 'X9', 'X11', 'X2', 'X27', 'X39', 'X50', 'X26', 'X60', 'X8', 'X66', 'X52', 'X96', 'X67', 'X82', 'X25', 'X61', 'X85', 'X20', 'X91', 'X47', 'X3', 'X14', 'X79', 'X15', 'X49', 'X89', 'X35', 'X83', 'X54', 'X23', 'X78', 'X76', 'X0', 'X37', 'X46', 'X33', 'X30', 'X99', 'X71', 'X84', 'X38', 'X55', 'X45', 'X29', 'X13', 'X73', 'X86', 'X80', 'X40', 'X97', 'X77', 'X44', 'X12', 'X6', 'X92', 'X1', 'X95', 'X42', 'X34', 'X4', 'X56', 'X70', 'X59', 'X74', 'X18', 'X28', 'X10', 'X7', 'X81', 'X57', 'X36', 'X17', 'X64', 'X43', 'X48', 'X65', 'X98', 'X87', 'X94', 'X63', 'X51', 'X16', 'X75', 'X31', 'X58']",checkpoint-30000,0.0
X71,X98,0,,0.5586736301581064,,,free,0.2947172917634021,0.6,37.5,0.6666666666666666,"['X24', 'X32', 'X72', 'X68', 'X62', 'X22', 'X53', 'X93', 'X69', 'X9', 'X11', 'X2', 'X39', 'X90', 'X50', 'X26', 'X60', 'X8', 'X66', 'X52', 'X96', 'X82', 'X67', 'X25', 'X61', 'X85', 'X20', 'X91', 'X47', 'X3', 'X14', 'X79', 'X15', 'X49', 'X89', 'X35', 'X83', 'X54', 'X23', 'X78', 'X76', 'X0', 'X37', 'X46', 'X33', 'X30', 'X99', 'X84', 'X38', 'X55', 'X45', 'X88', 'X29', 'X13', 'X73', 'X86', 'X80', 'X40', 'X97', 'X77', 'X44', 'X12', 'X6', 'X5', 'X41', 'X1', 'X95', 'X42', 'X4', 'X34', 'X56', 'X70', 'X59', 'X74', 'X18', 'X28', 'X10', 'X7', 'X81', 'X57', 'X17', 'X64', 'X43', 'X48', 'X65', 'X87', 'X21', 'X94', 'X51', 'X16', 'X75', 'X31', 'X58']",checkpoint-30000,0.0
X71,X98,1,,0.4197065741755068,,,free,0.2419175365379425,0.8,21.375,0.375,"['X24', 'X32', 'X72', 'X62', 'X53', 'X22', 'X69', 'X9', 'X11', 'X27', 'X2', 'X39', 'X50', 'X26', 'X60', 'X8', 'X52', 'X96', 'X67', 'X82', 'X25', 'X61', 'X85', 'X91', 'X47', 'X20', 'X3', 'X14', 'X79', 'X15', 'X49', 'X89', 'X35', 'X83', 'X23', 'X78', 'X76', 'X0', 'X37', 'X46', 'X33', 'X30', 'X99', 'X84', 'X38', 'X55', 'X45', 'X88', 'X29', 'X13', 'X80', 'X73', 'X86', 'X40', 'X97', 'X77', 'X44', 'X12', 'X6', 'X92', 'X5', 'X41', 'X1', 'X95', 'X42', 'X34', 'X4', 'X56', 'X59', 'X74', 'X18', 'X28', 'X10', 'X7', 'X81', 'X57', 'X64', 'X17', 'X43', 'X48', 'X65', 'X87', 'X21', 'X94', 'X19', 'X63', 'X16', 'X51', 'X75', 'X58']",checkpoint-30000,0.0
X12,X20,0,,0.4321049526333809,,,free,0.1459088898790236,0.6,40.333333333333336,0.0,"['X24', 'X32', 'X72', 'X68', 'X62', 'X22', 'X53', 'X69', 'X9', 'X11', 'X2', 'X27', 'X39', 'X90', 'X50', 'X60', 'X26', 'X8', 'X66', 'X52', 'X96', 'X82', 'X67', 'X25', 'X61', 'X91', 'X14', 'X3', 'X79', 'X15', 'X49', 'X89', 'X35', 'X83', 'X54', 'X23', 'X78', 'X76', 'X0', 'X37', 'X46', 'X33', 'X30', 'X99', 'X71', 'X84', 'X38', 'X55', 'X45', 'X88', 'X29', 'X80', 'X73', 'X86', 'X40', 'X97', 'X77', 'X44', 'X6', 'X92', 'X5', 'X41', 'X1', 'X95', 'X42', 'X4', 'X34', 'X56', 'X70', 'X59', 'X74', 'X18', 'X28', 'X10', 'X81', 'X57', 'X64', 'X36', 'X17', 'X43', 'X98', 'X65', 'X87', 'X21', 'X94', 'X19', 'X63', 'X51', 'X16', 'X75', 'X31', 'X58']",checkpoint-30000,0.0
X12,X20,1,,0.3800438940525055,,,free,0.1186483458562009,0.5,22.0,0.0,"['X24', 'X32', 'X68', 'X62', 'X22', 'X93', 'X53', 'X69', 'X9', 'X11', 'X2', 'X27', 'X39', 'X90', 'X60', 'X26', 'X66', 'X52', 'X96', 'X82', 'X67', 'X25', 'X61', 'X85', 'X91', 'X14', 'X3', 'X79', 'X15', 'X49', 'X83', 'X54', 'X23', 'X78', 'X76', 'X0', 'X37', 'X46', 'X33', 'X99', 'X84', 'X55', 'X45', 'X88', 'X29', 'X80', 'X86', 'X73', 'X40', 'X97', 'X44', 'X6', 'X41', 'X1', 'X4', 'X42', 'X56', 'X70', 'X74', 'X18', 'X28', 'X10', 'X7', 'X81', 'X57', 'X64', 'X17', 'X36', 'X43', 'X98', 'X65', 'X48', 'X21', 'X19', 'X51', 'X16', 'X75', 'X31']",checkpoint-30000,0.0
