target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence,type,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars,checkpoint,checkpoint_idx
X8,X90,0,,0.4035878553986549,,,free,0.0803536973474514,0.8,13.875,0.5,"['X37', 'X25', 'X70', 'X63', 'X19', 'X65', 'X13', 'X64', 'X71', 'X11', 'X46', 'X9', 'X92', 'X55', 'X48', 'X15', 'X47', 'X88', 'X94', 'X86', 'X50', 'X31', 'X26', 'X79', 'X4', 'X61', 'X10', 'X49', 'X53', 'X77', 'X35', 'X36', 'X97', 'X16', 'X38', 'X83', 'X85', 'X5', 'X32', 'X80', 'X22', 'X59', 'X67', 'X41', 'X0', 'X42', 'X44', 'X60', 'X33', 'X6', 'X58', 'X74', 'X27', 'X20', 'X78', 'X21', 'X7']",checkpoint-5000,0.0
X8,X90,1,,0.3744129315018654,,,free,0.0637679771921698,0.8,11.125,0.125,"['X37', 'X25', 'X63', 'X57', 'X19', 'X65', 'X69', 'X71', 'X46', 'X11', 'X98', 'X18', 'X92', 'X55', 'X48', 'X72', 'X89', 'X15', 'X47', 'X99', 'X95', 'X50', 'X31', 'X26', 'X79', 'X61', 'X10', 'X76', 'X56', 'X49', 'X53', 'X77', 'X36', 'X97', 'X24', 'X52', 'X38', 'X83', 'X91', 'X85', 'X5', 'X32', 'X80', 'X22', 'X17', 'X40', 'X59', 'X67', 'X96', 'X0', 'X42', 'X44', 'X60', 'X33', 'X58', 'X34', 'X27', 'X2', 'X14', 'X20', 'X21', 'X73', 'X82', 'X7']",checkpoint-5000,0.0
X40,X0,0,,0.3914866030216217,,,free,0.0297675402770566,0.5,5.8,0.4,"['X37', 'X65', 'X60', 'X33', 'X71', 'X97', 'X58', 'X74', 'X27', 'X31', 'X8', 'X18', 'X78', 'X20', 'X55', 'X91', 'X48', 'X85', 'X32', 'X61', 'X10', 'X12']",checkpoint-5000,0.0
X40,X0,1,,0.3942306505309211,,,free,0.0287969114654042,0.9,13.444444444444445,0.4444444444444444,"['X37', 'X25', 'X63', 'X19', 'X65', 'X13', 'X84', 'X71', 'X46', 'X98', 'X18', 'X92', 'X55', 'X48', 'X89', 'X15', 'X47', 'X88', 'X94', 'X95', 'X50', 'X31', 'X26', 'X79', 'X23', 'X4', 'X10', 'X61', 'X12', 'X76', 'X53', 'X1', 'X35', 'X36', 'X97', 'X24', 'X16', 'X38', 'X83', 'X45', 'X85', 'X91', 'X5', 'X32', 'X62', 'X22', 'X17', 'X67', 'X41', 'X42', 'X44', 'X60', 'X66', 'X6', 'X58', 'X90', 'X34', 'X74', 'X27', 'X2', 'X78', 'X8', 'X21', 'X82', 'X7']",checkpoint-5000,0.0
X62,X29,0,,0.5695829391479492,,,free,0.0995812849653855,0.3,19.0,0.6666666666666666,"['X63', 'X57', 'X19', 'X77', 'X35', 'X13', 'X64', 'X28', 'X69', 'X97', 'X46', 'X16', 'X52', 'X54', 'X38', 'X92', 'X91', 'X85', 'X5', 'X89', 'X22', 'X51', 'X67', 'X15', 'X47', 'X41', 'X42', 'X88', 'X60', 'X44', 'X58', 'X86', 'X30', 'X34', 'X95', 'X74', 'X3', 'X27', 'X2', 'X31', 'X14', 'X20', 'X78', 'X79', 'X73', 'X82', 'X4', 'X61', 'X10', 'X49', 'X7', 'X53']",checkpoint-5000,0.0
X62,X29,1,,0.6132501562436422,,,free,0.0572450336771845,0.3,11.666666666666666,0.0,"['X63', 'X57', 'X1', 'X77', 'X35', 'X64', 'X28', 'X69', 'X97', 'X24', 'X9', 'X38', 'X54', 'X92', 'X55', 'X85', 'X80', 'X89', 'X59', 'X42', 'X88', 'X58', 'X95', 'X74', 'X50', 'X31', 'X20', 'X21', 'X39', 'X82', 'X61', 'X76', 'X53']",checkpoint-5000,0.0
X37,X76,0,,0.3191672530439164,,,free,0.0234241906698513,0.9,11.0,0.3333333333333333,"['X25', 'X70', 'X63', 'X1', 'X19', 'X65', 'X77', 'X35', 'X13', 'X64', 'X36', 'X28', 'X69', 'X97', 'X46', 'X71', 'X38', 'X98', 'X54', 'X18', 'X92', 'X55', 'X83', 'X91', 'X85', 'X48', 'X5', 'X32', 'X80', 'X68', 'X22', 'X59', 'X15', 'X67', 'X47', 'X0', 'X42', 'X88', 'X44', 'X60', 'X33', 'X58', 'X90', 'X34', 'X74', 'X27', 'X50', 'X31', 'X26', 'X14', 'X20', 'X78', 'X23', 'X73', 'X82', 'X10', 'X49', 'X7', 'X53']",checkpoint-5000,0.0
X37,X76,1,,0.3142274154557122,,,free,0.0495165272525882,0.9,17.88888888888889,0.5555555555555556,"['X70', 'X25', 'X63', 'X57', 'X65', 'X13', 'X64', 'X84', 'X69', 'X11', 'X71', 'X9', 'X18', 'X92', 'X55', 'X48', 'X72', 'X89', 'X51', 'X15', 'X47', 'X88', 'X94', 'X86', 'X30', 'X95', 'X50', 'X31', 'X26', 'X79', 'X23', 'X39', 'X61', 'X10', 'X12', 'X49', 'X53', 'X1', 'X35', 'X36', 'X97', 'X29', 'X38', 'X83', 'X91', 'X85', 'X45', 'X5', 'X62', 'X80', 'X22', 'X17', 'X59', 'X67', 'X41', 'X0', 'X42', 'X60', 'X33', 'X6', 'X58', 'X34', 'X74', 'X27', 'X20', 'X78', 'X73', 'X82', 'X7']",checkpoint-5000,0.0
X35,X6,0,,0.6944019258022308,,,free,0.0843863117885575,1.0,8.7,0.4,"['X37', 'X25', 'X70', 'X63', 'X65', 'X13', 'X71', 'X69', 'X11', 'X46', 'X9', 'X18', 'X92', 'X48', 'X15', 'X47', 'X30', 'X95', 'X50', 'X31', 'X79', 'X23', 'X39', 'X4', 'X10', 'X76', 'X12', 'X49', 'X53', 'X1', 'X97', 'X29', 'X38', 'X83', 'X91', 'X85', 'X32', 'X80', 'X22', 'X17', 'X40', 'X59', 'X67', 'X0', 'X42', 'X60', 'X66', 'X58', 'X90', 'X34', 'X74', 'X27', 'X14', 'X8', 'X21', 'X82', 'X7']",checkpoint-5000,0.0
X35,X6,1,,0.6916280388832092,,,free,0.048851412620188,0.9,10.88888888888889,0.4444444444444444,"['X37', 'X25', 'X70', 'X63', 'X1', 'X65', 'X71', 'X97', 'X11', 'X46', 'X69', 'X24', 'X52', 'X38', 'X92', 'X55', 'X83', 'X91', 'X85', 'X48', 'X5', 'X32', 'X80', 'X68', 'X22', 'X40', 'X15', 'X47', 'X41', 'X0', 'X42', 'X88', 'X60', 'X33', 'X58', 'X86', 'X34', 'X95', 'X74', 'X27', 'X50', 'X26', 'X31', 'X78', 'X21', 'X23', 'X82', 'X12', 'X49', 'X7', 'X53']",checkpoint-5000,0.0
