,var1,var2,distance,mutual_information
0,X1,X0,8,-8.213394321965265e-17
1,X2,X0,5,4.5308198312333554e-14
2,X2,X1,3,8.42421695136323e-05
3,X3,X0,6,0.0
4,X3,X1,3,0.0005806134308249727
5,X3,X2,3,0.0
6,X4,X0,9,1.9148807302237446e-17
7,X4,X1,3,1.5400010741990246e-05
8,X4,X2,4,2.122427463186014e-06
9,X4,X3,4,1.0072310189060982e-07
10,X5,X0,4,1.6267629900289953e-05
11,X5,X1,4,0.0038919172775607955
12,X5,X2,4,3.137209005469395e-05
13,X5,X3,6,1.237810726242882e-07
14,X5,X4,6,5.821684865623235e-07
15,X6,X0,7,0.0
16,X6,X1,4,2.1343493898657976e-07
17,X6,X2,4,0.0
18,X6,X3,1,0.0001771016371469713
19,X6,X4,5,3.634791775578044e-11
20,X6,X5,7,4.466554945240627e-11
21,X7,X0,7,4.822412595884847e-16
22,X7,X1,3,1.6372902511769052e-07
23,X7,X2,2,0.005553497026465414
24,X7,X3,5,0.0
25,X7,X4,5,2.3363638726806024e-08
26,X7,X5,6,3.8730965095504547e-07
27,X7,X6,6,0.0
28,X8,X0,-1,0.0
29,X8,X1,-1,0.0
30,X8,X2,-1,0.0
31,X8,X3,-1,0.0
32,X8,X4,-1,0.0
33,X8,X5,-1,0.0
34,X8,X6,-1,0.0
35,X8,X7,-1,0.0
36,X9,X0,8,0.0
37,X9,X1,5,0.0
38,X9,X2,5,0.0
39,X9,X3,2,0.0
40,X9,X4,6,0.0
41,X9,X5,8,0.0
42,X9,X6,1,1.6144278916696e-05
43,X9,X7,7,0.0
44,X9,X8,-1,0.0
45,X10,X0,5,-9.953467118094786e-17
46,X10,X1,3,0.009468755208181311
47,X10,X2,3,7.752996045510933e-05
48,X10,X3,6,3.063978514799984e-07
49,X10,X4,5,1.4335495417910449e-06
50,X10,X5,1,0.22431131217024713
51,X10,X6,7,1.1057221552756256e-10
52,X10,X7,5,9.346467162903984e-07
53,X10,X8,-1,0.0
54,X10,X9,8,0.0
55,X11,X0,9,0.0
56,X11,X1,5,0.0
57,X11,X2,4,0.0
58,X11,X3,6,0.0
59,X11,X4,4,4.2356757367033304e-09
60,X11,X5,6,0.0
61,X11,X6,7,0.0
62,X11,X7,6,0.0
63,X11,X8,-1,0.0
64,X11,X9,8,0.0
65,X11,X10,5,0.0
66,X12,X0,11,0.0
67,X12,X1,7,0.0
68,X12,X2,6,0.0
69,X12,X3,7,0.0
70,X12,X4,9,0.0
71,X12,X5,10,0.0
72,X12,X6,8,0.0
73,X12,X7,4,0.0
74,X12,X8,-1,0.0
75,X12,X9,9,0.0
76,X12,X10,9,0.0
77,X12,X11,10,0.0
78,X13,X0,7,-1.0217252544235866e-17
79,X13,X1,3,0.0007302747421873155
80,X13,X2,3,5.1616164227675826e-05
81,X13,X3,4,1.9812353750397105e-07
82,X13,X4,4,3.358997905169797e-08
83,X13,X5,5,0.00014065508409665862
84,X13,X6,5,7.138142397086061e-11
85,X13,X7,3,6.09389101345613e-07
86,X13,X8,-1,0.0
87,X13,X9,6,0.0
88,X13,X10,4,0.0003550853053937066
89,X13,X11,6,0.0
90,X13,X12,7,0.0
91,X14,X0,4,9.616518034899052e-11
92,X14,X1,6,0.0
93,X14,X2,3,0.0
94,X14,X3,4,0.0
95,X14,X4,6,8.415815325243142e-17
96,X14,X5,4,5.0828002318490997e-11
97,X14,X6,5,0.0
98,X14,X7,5,0.0
99,X14,X8,-1,0.0
100,X14,X9,6,0.0
101,X14,X10,5,0.0
102,X14,X11,6,0.0
103,X14,X12,9,0.0
104,X14,X13,5,0.0
105,X15,X0,7,0.0
106,X15,X1,5,0.0
107,X15,X2,3,0.0
108,X15,X3,6,0.0
109,X15,X4,5,0.0
110,X15,X5,5,0.0
111,X15,X6,7,0.0
112,X15,X7,5,0.0
113,X15,X8,-1,0.0
114,X15,X9,8,0.0
115,X15,X10,4,0.0
116,X15,X11,5,0.0
117,X15,X12,9,0.0
118,X15,X13,6,0.0
119,X15,X14,3,0.0
120,X16,X0,6,1.2862115588660919e-14
121,X16,X1,4,2.4149478862504773e-05
122,X16,X2,1,0.1210748953057344
123,X16,X3,4,0.0
124,X16,X4,5,5.93550925575599e-07
125,X16,X5,5,8.99746058582074e-06
126,X16,X6,5,0.0
127,X16,X7,3,0.001590254289032666
128,X16,X8,-1,0.0
129,X16,X9,6,0.0
130,X16,X10,4,2.22419207998746e-05
131,X16,X11,5,0.0
132,X16,X12,7,0.0
133,X16,X13,4,1.4722523504936665e-05
134,X16,X14,4,0.0
135,X16,X15,4,0.0
136,X17,X0,8,3.704372560925663e-17
137,X17,X1,3,0.00014023677318312317
138,X17,X2,5,1.794107516443354e-05
139,X17,X3,2,0.0
140,X17,X4,4,2.1568302607513558e-08
141,X17,X5,7,1.9713594797653438e-08
142,X17,X6,3,0.0
143,X17,X7,3,0.0015155812128148606
144,X17,X8,-1,0.0
145,X17,X9,4,0.0
146,X17,X10,6,4.8802321076814575e-08
147,X17,X11,6,0.0
148,X17,X12,5,0.0
149,X17,X13,4,3.1514431044095664e-08
150,X17,X14,6,0.0
151,X17,X15,7,0.0
152,X17,X16,6,5.1403870301313e-06
153,X18,X0,9,0.0
154,X18,X1,6,0.0
155,X18,X2,6,0.0
156,X18,X3,3,0.0
157,X18,X4,7,0.0
158,X18,X5,9,0.0
159,X18,X6,2,0.1841881402481309
160,X18,X7,8,0.0
161,X18,X8,-1,0.0
162,X18,X9,3,0.0
163,X18,X10,9,0.0
164,X18,X11,9,0.0
165,X18,X12,10,0.0
166,X18,X13,7,0.0
167,X18,X14,7,0.0
168,X18,X15,9,0.0
169,X18,X16,7,0.0
170,X18,X17,5,0.0
171,X19,X0,6,9.182166309210386e-13
172,X19,X1,3,0.013039210714145471
173,X19,X2,1,0.10005295564954386
174,X19,X3,4,6.343853185022648e-07
175,X19,X4,3,9.946386642020093e-06
176,X19,X5,3,0.026308047119167302
177,X19,X6,5,2.288282586800303e-10
178,X19,X7,3,0.0012578372521081637
179,X19,X8,-1,0.0
180,X19,X9,6,0.0
181,X19,X10,2,0.06446147931849784
182,X19,X11,3,0.0
183,X19,X12,7,0.0
184,X19,X13,4,0.0006801836941291621
185,X19,X14,3,6.895321806868395e-15
186,X19,X15,2,0.0
187,X19,X16,2,0.027974718260081684
188,X19,X17,5,3.933119248543458e-06
189,X19,X18,7,0.0
190,X20,X0,7,0.0
191,X20,X1,7,0.0
192,X20,X2,4,0.0
193,X20,X3,5,0.0
194,X20,X4,8,0.0
195,X20,X5,7,0.0
196,X20,X6,6,0.0
197,X20,X7,6,0.0
198,X20,X8,-1,0.0
199,X20,X9,7,0.0
200,X20,X10,7,0.0
201,X20,X11,8,0.0
202,X20,X12,10,0.0
203,X20,X13,7,0.0
204,X20,X14,5,0.0
205,X20,X15,7,0.0
206,X20,X16,5,0.0
207,X20,X17,7,0.0
208,X20,X18,8,0.0
209,X20,X19,5,0.0
210,X21,X0,5,9.248484878323423e-07
211,X21,X1,3,0.026191888160016975
212,X21,X2,3,0.0019826593873405757
213,X21,X3,4,7.730989419886688e-06
214,X21,X4,4,1.2678270752458556e-06
215,X21,X5,5,0.0056671685089370975
216,X21,X6,5,2.7880614803989657e-09
217,X21,X7,3,2.36664432873827e-05
218,X21,X8,-1,0.0
219,X21,X9,6,0.0
220,X21,X10,4,0.01385962007413287
221,X21,X11,6,0.0
222,X21,X12,7,0.0
223,X21,X13,2,0.009003795716170025
224,X21,X14,3,5.072408658298262e-09
225,X21,X15,5,0.0
226,X21,X16,4,0.0005671617822210493
227,X21,X17,4,1.200719472366804e-06
228,X21,X18,7,0.0
229,X21,X19,3,0.028615839773816903
230,X21,X20,6,0.0
231,X22,X0,9,-1.3231538860602262e-16
232,X22,X1,1,0.00013373728082991584
233,X22,X2,4,2.4295718517956257e-08
234,X22,X3,4,1.5080580529219258e-07
235,X22,X4,4,3.936522258287666e-09
236,X22,X5,5,9.68054981641725e-07
237,X22,X6,5,5.439652094703613e-11
238,X22,X7,4,5.212753961874057e-11
239,X22,X8,-1,0.0
240,X22,X9,6,0.0
241,X22,X10,4,2.3976028453024972e-06
242,X22,X11,6,0.0
243,X22,X12,8,0.0
244,X22,X13,4,1.5260321091461307e-07
245,X22,X14,7,0.0
246,X22,X15,6,0.0
247,X22,X16,5,6.961941734762969e-09
248,X22,X17,4,3.58434694318883e-08
249,X22,X18,7,0.0
250,X22,X19,4,3.865677660559914e-06
251,X22,X20,8,0.0
252,X22,X21,4,5.969870123160681e-06
253,X23,X0,7,3.3546873362277916e-17
254,X23,X1,1,0.07151454486256792
255,X23,X2,3,0.0006264679289327462
256,X23,X3,4,2.5011922205962875e-06
257,X23,X4,4,2.503978818422961e-06
258,X23,X5,3,0.025691960545756724
259,X23,X6,5,9.032018405662009e-10
260,X23,X7,3,7.605315466640487e-06
261,X23,X8,-1,0.0
262,X23,X9,6,0.0
263,X23,X10,2,0.06306433960015934
264,X23,X11,5,0.0
265,X23,X12,7,0.0
266,X23,X13,2,0.0035138885009666056
267,X23,X14,5,0.0
268,X23,X15,4,0.0
269,X23,X16,4,0.0001796324826530949
270,X23,X17,4,3.8882695282404524e-07
271,X23,X18,7,0.0
272,X23,X19,2,0.09496152780651862
273,X23,X20,7,0.0
274,X23,X21,2,0.13126465404756762
275,X23,X22,2,1.8899571301231972e-05
276,X24,X0,5,4.4692369056376954e-14
277,X24,X1,5,6.19409911337189e-10
278,X24,X2,2,2.7216043217132392e-06
279,X24,X3,3,0.0
280,X24,X4,6,1.1862246125582266e-11
281,X24,X5,5,1.7582363544547448e-10
282,X24,X6,4,0.0
283,X24,X7,4,3.335836550400411e-08
284,X24,X8,-1,0.0
285,X24,X9,5,0.0
286,X24,X10,5,4.252282407619804e-10
287,X24,X11,6,0.0
288,X24,X12,8,0.0
289,X24,X13,5,2.7449383129225076e-10
290,X24,X14,3,0.0
291,X24,X15,5,0.0
292,X24,X16,3,7.798801850371199e-07
293,X24,X17,5,9.749420366253028e-11
294,X24,X18,6,0.0
295,X24,X19,3,5.924420081514312e-07
296,X24,X20,2,0.08924019894862337
297,X24,X21,4,1.1048031954821107e-08
298,X24,X22,6,1.5798116653086401e-13
299,X24,X23,5,3.4738619806261306e-09
300,X25,X0,7,5.632438040880438e-17
301,X25,X1,2,0.0012078169047925694
302,X25,X2,4,2.0817642339862304e-06
303,X25,X3,1,0.26183249811483594
304,X25,X4,3,2.055252976637678e-07
305,X25,X5,6,2.4603061586997107e-07
306,X25,X6,2,8.67504389726226e-05
307,X25,X7,4,0.00017154691367678295
308,X25,X8,-1,0.0
309,X25,X9,3,0.0
310,X25,X10,5,6.090147870091217e-07
311,X25,X11,5,0.0
312,X25,X12,6,0.0
313,X25,X13,3,3.935823830729406e-07
314,X25,X14,5,0.0
315,X25,X15,6,0.0
316,X25,X16,5,5.965140346133289e-07
317,X25,X17,1,0.05753951928001888
318,X25,X18,4,0.0
319,X25,X19,4,9.240573789880287e-08
320,X25,X20,6,0.0
321,X25,X21,3,1.536469676755546e-05
322,X25,X22,3,3.113939987605286e-07
323,X25,X23,3,4.97307377747753e-06
324,X25,X24,4,4.3360917476758295e-09
325,X26,X0,11,0.0
326,X26,X1,7,0.0
327,X26,X2,6,0.0
328,X26,X3,7,0.0
329,X26,X4,9,0.0
330,X26,X5,10,0.0
331,X26,X6,8,0.0
332,X26,X7,4,0.0
333,X26,X8,-1,0.0
334,X26,X9,9,0.0
335,X26,X10,9,0.0
336,X26,X11,10,0.0
337,X26,X12,6,0.0
338,X26,X13,7,0.0
339,X26,X14,9,0.0
340,X26,X15,9,0.0
341,X26,X16,7,0.0
342,X26,X17,5,0.0
343,X26,X18,10,0.0
344,X26,X19,7,0.0
345,X26,X20,10,0.0
346,X26,X21,7,0.0
347,X26,X22,8,0.0
348,X26,X23,7,0.0
349,X26,X24,8,0.0
350,X26,X25,6,0.0
351,X27,X0,5,1.3320095822862958e-15
352,X27,X1,4,7.272512499398396e-06
353,X27,X2,2,8.622839456638763e-08
354,X27,X3,1,0.005853899843219518
355,X27,X4,5,1.20193330973984e-09
356,X27,X5,5,1.3550523645982428e-09
357,X27,X6,2,2.2261726724620784e-06
358,X27,X7,4,1.0568004766761256e-09
359,X27,X8,-1,0.0
360,X27,X9,3,0.0
361,X27,X10,5,3.3594980297029875e-09
362,X27,X11,6,0.0
363,X27,X12,8,0.0
364,X27,X13,5,2.169077059253461e-09
365,X27,X14,3,0.0
366,X27,X15,5,0.0
367,X27,X16,3,2.470865750211045e-08
368,X27,X17,3,3.0884607512793487e-12
369,X27,X18,4,0.0
370,X27,X19,3,3.794054961852179e-09
371,X27,X20,4,0.0
372,X27,X21,4,8.455872507847262e-08
373,X27,X22,5,1.8590206474024588e-09
374,X27,X23,5,2.7442865396174994e-08
375,X27,X24,2,8.524252454892916e-08
376,X27,X25,2,0.002934558373070115
377,X27,X26,8,0.0
378,X28,X0,9,-1.2151171487662251e-16
379,X28,X1,4,6.436116392133373e-05
380,X28,X2,4,3.876370383588978e-05
381,X28,X3,3,0.0
382,X28,X4,5,8.648180275570394e-09
383,X28,X5,8,4.714352344088187e-09
384,X28,X6,4,0.0
385,X28,X7,2,0.0032707982342759234
386,X28,X8,-1,0.0
387,X28,X9,5,0.0
388,X28,X10,7,1.167116517645871e-08
389,X28,X11,7,0.0
390,X28,X12,4,0.0
391,X28,X13,5,7.534920224973614e-09
392,X28,X14,7,0.0
393,X28,X15,7,0.0
394,X28,X16,5,1.1106623657444249e-05
395,X28,X17,1,0.24974324329830122
396,X28,X18,6,0.0
397,X28,X19,5,7.162737184176235e-06
398,X28,X20,8,0.0
399,X28,X21,5,2.943003282247943e-07
400,X28,X22,5,1.643959560986046e-08
401,X28,X23,5,9.534184254194917e-08
402,X28,X24,6,2.1071079572446372e-10
403,X28,X25,2,0.02681432454343695
404,X28,X26,4,0.0
405,X28,X27,4,6.675273286889063e-12
406,X29,X0,7,1.6411002657155856e-14
407,X29,X1,4,3.153367651283429e-05
408,X29,X2,2,0.15615594929771945
409,X29,X3,3,0.0
410,X29,X4,6,7.535322171175563e-07
411,X29,X5,6,1.1588301283617939e-05
412,X29,X6,4,0.0
413,X29,X7,3,0.0
414,X29,X8,-1,0.0
415,X29,X9,5,0.0
416,X29,X10,5,2.8641063835279984e-05
417,X29,X11,6,0.0
418,X29,X12,7,0.0
419,X29,X13,4,1.9027853936891812e-05
420,X29,X14,5,0.0
421,X29,X15,5,0.0
422,X29,X16,3,0.03980043656036298
423,X29,X17,5,0.0
424,X29,X18,6,0.0
425,X29,X19,3,0.03539338229641188
426,X29,X20,6,0.0
427,X29,X21,4,0.0007316119015321173
428,X29,X22,5,8.099471876133889e-09
429,X29,X23,4,0.00023156217298566945
430,X29,X24,4,9.92086379798503e-07
431,X29,X25,4,0.0
432,X29,X26,7,0.0
433,X29,X27,4,3.143234379635702e-08
434,X29,X28,5,0.0
435,X30,X0,10,0.0
436,X30,X1,2,0.0
437,X30,X2,5,0.0
438,X30,X3,5,0.0
439,X30,X4,5,0.0
440,X30,X5,6,0.0
441,X30,X6,6,0.0
442,X30,X7,5,0.0
443,X30,X8,-1,0.0
444,X30,X9,7,0.0
445,X30,X10,5,0.0
446,X30,X11,7,0.0
447,X30,X12,9,0.0
448,X30,X13,5,0.0
449,X30,X14,8,0.0
450,X30,X15,7,0.0
451,X30,X16,6,0.0
452,X30,X17,5,0.0
453,X30,X18,8,0.0
454,X30,X19,5,0.0
455,X30,X20,9,0.0
456,X30,X21,5,0.0
457,X30,X22,1,0.029145563514410663
458,X30,X23,3,0.0
459,X30,X24,7,0.0
460,X30,X25,4,0.0
461,X30,X26,9,0.0
462,X30,X27,6,0.0
463,X30,X28,6,0.0
464,X30,X29,6,0.0
465,X31,X0,-1,0.0
466,X31,X1,-1,0.0
467,X31,X2,-1,0.0
468,X31,X3,-1,0.0
469,X31,X4,-1,0.0
470,X31,X5,-1,0.0
471,X31,X6,-1,0.0
472,X31,X7,-1,0.0
473,X31,X8,-1,0.0
474,X31,X9,-1,0.0
475,X31,X10,-1,0.0
476,X31,X11,-1,0.0
477,X31,X12,-1,0.0
478,X31,X13,-1,0.0
479,X31,X14,-1,0.0
480,X31,X15,-1,0.0
481,X31,X16,-1,0.0
482,X31,X17,-1,0.0
483,X31,X18,-1,0.0
484,X31,X19,-1,0.0
485,X31,X20,-1,0.0
486,X31,X21,-1,0.0
487,X31,X22,-1,0.0
488,X31,X23,-1,0.0
489,X31,X24,-1,0.0
490,X31,X25,-1,0.0
491,X31,X26,-1,0.0
492,X31,X27,-1,0.0
493,X31,X28,-1,0.0
494,X31,X29,-1,0.0
495,X31,X30,-1,0.0
496,X32,X0,6,0.0
497,X32,X1,6,0.0
498,X32,X2,3,0.0
499,X32,X3,4,0.0
500,X32,X4,7,0.0
501,X32,X5,6,0.0
502,X32,X6,5,0.0
503,X32,X7,5,0.0
504,X32,X8,-1,0.0
505,X32,X9,6,0.0
506,X32,X10,6,0.0
507,X32,X11,7,0.0
508,X32,X12,9,0.0
509,X32,X13,6,0.0
510,X32,X14,4,0.0
511,X32,X15,6,0.0
512,X32,X16,4,0.0
513,X32,X17,6,0.0
514,X32,X18,7,0.0
515,X32,X19,4,0.0
516,X32,X20,1,0.28757223305268065
517,X32,X21,5,0.0
518,X32,X22,7,0.0
519,X32,X23,6,0.0
520,X32,X24,1,0.22266264485160048
521,X32,X25,5,0.0
522,X32,X26,9,0.0
523,X32,X27,3,0.0
524,X32,X28,7,0.0
525,X32,X29,5,0.0
526,X32,X30,8,0.0
527,X32,X31,-1,0.0
528,X33,X0,7,4.38838381538675e-14
529,X33,X1,3,0.0007424162154195625
530,X33,X2,2,0.005337120133504816
531,X33,X3,4,2.9640363222181493e-08
532,X33,X4,2,0.00020482839638198518
533,X33,X5,4,0.0012376596595316345
534,X33,X6,5,1.0695343458775389e-11
535,X33,X7,4,6.403239764614789e-05
536,X33,X8,-1,0.0
537,X33,X9,6,0.0
538,X33,X10,3,0.003077571642131613
539,X33,X11,2,9.781858557205954e-06
540,X33,X12,8,0.0
541,X33,X13,4,3.267384452771923e-05
542,X33,X14,4,1.8102451113978322e-16
543,X33,X15,3,0.0
544,X33,X16,3,0.0015231248317878667
545,X33,X17,4,1.2261257120109014e-07
546,X33,X18,7,0.0
547,X33,X19,1,0.025828785706787045
548,X33,X20,6,0.0
549,X33,X21,4,0.0012837624573337862
550,X33,X22,4,1.8755268412679364e-07
551,X33,X23,3,0.004785698146263402
552,X33,X24,4,2.830772266658281e-08
553,X33,X25,3,1.2089510333738307e-08
554,X33,X26,8,0.0
555,X33,X27,4,1.4807584521798377e-10
556,X33,X28,5,3.352097550892634e-07
557,X33,X29,4,0.0019452120214745044
558,X33,X30,5,0.0
559,X33,X31,-1,0.0
560,X33,X32,5,0.0
561,X34,X0,8,1.724135874328858e-14
562,X34,X1,2,0.017206048091687798
563,X34,X2,3,0.0022330004501250646
564,X34,X3,3,0.00010026232205777698
565,X34,X4,1,0.0005000919759145968
566,X34,X5,5,0.0005765118761341028
567,X34,X6,4,3.6045200056755244e-08
568,X34,X7,4,2.429089869509355e-05
569,X34,X8,-1,0.0
570,X34,X9,5,0.0
571,X34,X10,4,0.0014327125650789169
572,X34,X11,3,3.2933919880770044e-06
573,X34,X12,8,0.0
574,X34,X13,3,3.4196474496922774e-05
575,X34,X14,5,1.0300333678326473e-16
576,X34,X15,4,0.0
577,X34,X16,4,0.0006380446804794843
578,X34,X17,3,2.135085607116974e-05
579,X34,X18,6,0.0
580,X34,X19,2,0.011057521925167523
581,X34,X20,7,0.0
582,X34,X21,3,0.0013483896425025357
583,X34,X22,3,4.056081150228467e-06
584,X34,X23,3,0.0026747361057032383
585,X34,X24,5,1.219732483291174e-08
586,X34,X25,2,0.00020434448265898696
587,X34,X26,8,0.0
588,X34,X27,4,1.191451690492405e-06
589,X34,X28,4,8.532376511584286e-06
590,X34,X29,5,0.0008153181624835967
