,target_var,condition_var,condition_val,prob,prob_std
0,X12,X20,False,0.6918873637914658,0.005764136806400047
1,X12,X20,True,0.2522839825600386,0.034575128527231797
2,X15,X22,False,0.0024107721215113997,0.00017072781381176079
3,X15,X22,True,0.9411491870880127,0.0032024383544921884
4,X15,X63,False,0.754810767173767,0.002283038877180616
5,X15,X63,True,0.03070421442389488,0.0023904889822006226
6,X15,X66,False,0.04545259475708008,0.0010421209987224976
7,X15,X66,True,0.9781176400184631,0.0025201121908643366
8,X15,X68,False,0.27692750573158265,0.008557400454486035
9,X15,X68,True,0.8510214138031006,4.4462160845740036e-05
10,X15,X71,False,0.5582523369789123,0.0037186063891092506
11,X15,X71,True,0.02741718467324972,0.004057686802997919
12,X15,X98,False,0.010773581303656101,0.00020884832659200746
13,X15,X98,True,0.9565964889526367,0.0060474963102867116
14,X16,X68,False,0.29925371408462526,0.0169999625268588
15,X16,X68,True,0.8387511730194092,0.0027121833609520087
16,X16,X90,False,0.11207884684205055,0.043936684599952786
17,X16,X90,True,0.9473387169837951,0.0015234038666244564
18,X17,X59,False,0.7053433787822724,0.0038204694828738524
19,X17,X59,True,0.12976012229919434,0.004430202057145119
20,X20,X12,False,0.3996926546096802,0.0
21,X20,X12,True,0.34249375700950624,0.003534664919716687
22,X21,X22,False,0.4218908327817917,0.0009868231267191182
23,X21,X22,True,0.03528951797634363,0.0008637982256781926
24,X21,X87,False,0.038197401468642055,0.02313169905101653
25,X21,X87,True,0.9459054839611053,0.0032814621925353997
26,X21,X88,False,0.04271967783570289,0.02289742976427079
27,X21,X88,True,0.9386608648300171,0.00031640800892335436
28,X22,X15,False,0.016744838915765285,0.0008203022874266894
29,X22,X15,True,0.9970754694938659,0.00011705715646475791
30,X22,X21,False,0.45941120624542237,0.0001317243738553872
31,X22,X21,True,0.022211748547852038,0.001369756180378955
32,X22,X63,False,0.8256036460399627,0.011762346989015049
33,X22,X63,True,0.009611613694578408,3.940257812510196e-05
34,X22,X68,False,0.2592444097995758,0.00030125957832158535
35,X22,X68,True,0.7790962666273117,0.23161220780190403
36,X22,X71,False,0.6826443314552307,0.009200365649067888
37,X22,X71,True,0.04688345119357109,0.0038075302565384124
38,X22,X90,False,0.09974973648786545,0.0071905974506090075
39,X22,X90,True,0.9317855882644653,0.00861682692461072
40,X22,X98,False,0.05351562425494194,0.0
41,X22,X98,True,0.9450624823570252,0.015758189952696827
42,X25,X88,False,0.7372183793783188,0.006286087433764431
43,X25,X88,True,0.04950598031282425,2.9670907848947757e-05
44,X53,X62,False,0.8347875094413757,0.008999831593361084
45,X53,X62,True,0.0044044371508061885,0.0007018052889670497
46,X59,X17,False,0.33583355367183687,0.0017138351425394125
47,X59,X17,True,0.0035353977116756143,0.00016334357897276606
48,X62,X53,False,0.9821248006820679,0.0007800277130694156
49,X62,X53,True,0.10497227482497692,0.016391831378166456
50,X63,X15,False,0.9602471470832825,0.026250600814819336
51,X63,X15,True,0.016042768647894265,0.017008582782000306
52,X63,X22,False,0.9708724164962769,0.00046574715236853356
53,X63,X22,True,0.10936323672533035,0.0009784337027066994
54,X63,X64,False,0.9521954452991486,2.7898422845935244e-05
55,X63,X64,True,0.1600095221400261,0.004865230434279503
56,X63,X71,False,0.3056194469332695,0.40056542160307884
57,X63,X71,True,0.9101547795534134,0.06224335192763496
58,X63,X98,False,0.9948386454582214,0.00021670436713427883
59,X63,X98,True,0.00016527282889001072,1.0270154858812853e-05
60,X64,X63,False,0.8067535746097565,0.0022894066200358585
61,X64,X63,True,0.026079083532094954,0.00411959444063149
62,X64,X90,False,0.08696468502283096,0.0021697346486391203
63,X64,X90,True,0.9115149354934693,0.006306599326930364
64,X66,X15,False,0.024325364604592323,0.0001378435268026947
65,X66,X15,True,0.8454439717531205,0.003120265756321383
66,X68,X15,False,0.10640434801578522,0.0004396047685808614
67,X68,X15,True,0.32243375450372697,0.01147282335321083
68,X68,X16,False,0.09427628450095654,0.007190998411997293
69,X68,X16,True,0.32266031205654144,0.012455336127769879
70,X68,X22,False,0.11538116455078125,0.04016863257140018
71,X68,X22,True,0.34658610820770264,0.022570196190677537
72,X71,X15,False,0.7445755887031555,0.00048554518221733073
73,X71,X15,True,0.01721841223537922,0.0018795810248982971
74,X71,X22,False,0.7476053321361542,0.006351692998947448
75,X71,X22,True,0.03427998490631581,0.0017945564315312065
76,X71,X63,False,0.22955282792448997,0.0035428598090289404
77,X71,X63,True,0.5423714518547058,0.0
78,X71,X98,False,0.6842244577407837,0.0017636713407131114
79,X71,X98,True,0.07266367902047932,0.03383538468605679
80,X87,X21,False,0.04903404116630554,0.001974684865469083
81,X87,X21,True,0.9962397813796997,0.0
82,X88,X21,False,0.033102658521384,0.00404189250723489
83,X88,X21,True,0.9938716387748718,0.00019481182098388713
84,X88,X25,False,0.812446016073227,6.08408437477432e-06
85,X88,X25,True,0.03575415445491672,0.02680020687513261
86,X90,X16,False,0.11627641871571541,0.011830627360505804
87,X90,X16,True,0.6921560156345368,0.008648034001372982
88,X90,X22,False,0.10096346497535706,0.043388615391338536
89,X90,X22,True,0.8492689180374146,0.012986610724501158
90,X90,X64,False,0.08441392064094544,0.006359106163716772
91,X90,X64,True,0.7296240997314453,0.004703961901758725
92,X98,X15,False,0.042818472795188425,0.0006704034549586469
93,X98,X15,True,0.813015170097351,0.005113088164948041
94,X98,X22,False,0.06663518585264683,7.371059344785001e-05
95,X98,X22,True,0.6361029279232026,0.00787842598152551
96,X98,X63,False,0.8364662986993789,0.0007814784354743076
97,X98,X63,True,0.02419889038428664,0.0012431777960197595
98,X98,X71,False,0.38740401655435563,0.0018223337515267464
99,X98,X71,True,0.13035561859607697,0.07637849755920305
