,target_var,condition_var,condition_val,prob,prob_std
0,X10,X61,False,0.49800905466079715,0.009069050578288256
1,X10,X61,True,0.9459346532821655,0.0
2,X17,X50,False,0.07233688086271287,0.001416066502173012
3,X17,X50,True,0.8583151292800903,0.0006117972598428736
4,X17,X82,False,0.17708032131195067,6.849048326643257e-05
5,X17,X82,True,0.9999880790710449,0.0
6,X21,X24,False,0.9699316954612732,0.0027077411725542205
7,X21,X24,True,0.0766516976058483,0.0014805332156985805
8,X24,X21,False,0.894874997138977,0.030198987450883223
9,X24,X21,True,0.24828659281134605,0.004392261264026352
10,X24,X61,False,0.0007540786755271256,0.00012874375042565874
11,X24,X61,True,0.8770191651582718,0.009518239691563853
12,X29,X49,False,0.44861938565969467,0.015861418343991227
13,X29,X49,True,0.5436515736579896,0.009283395679403098
14,X3,X66,False,0.5953018665313721,0.0
15,X3,X66,True,0.6584940671920776,0.004695058246065352
16,X3,X76,False,0.5764713597297668,0.008043885147638949
17,X3,X76,True,0.670432042479515,0.001943543261781246
18,X42,X50,False,0.0001795016892720014,4.585553138440828e-06
19,X42,X50,True,0.8510573697090149,0.00049841103782658
20,X42,X63,False,0.9870884388685226,0.00016373498314179686
21,X42,X63,True,0.06840010792016983,0.004125002545213999
22,X42,X66,False,0.8514566969871521,0.006112057551534351
23,X42,X66,True,0.4644765019416809,0.0014419463993378058
24,X42,X71,False,0.0027843487821519377,0.00019099450952778785
25,X42,X71,True,0.9995154857635498,3.969016416160532e-06
26,X42,X82,False,0.003957204222679138,0.00018477884564915462
27,X42,X82,True,0.9992831325531006,0.0003639565243248482
28,X42,X9,False,0.19285804629325867,0.00022815492826035053
29,X42,X9,True,0.6718191576004028,0.002795154074069517
30,X49,X29,False,0.22208671063184737,0.0008242618730278863
31,X49,X29,True,0.21907292306423187,0.0
32,X49,X82,False,0.22665128588676453,0.015641210928860737
33,X49,X82,True,0.12707765400409698,0.0016845471812348407
34,X5,X82,False,0.8470960766077041,0.01564816570306949
35,X5,X82,True,0.2882459032535553,0.014884738437171577
36,X50,X17,False,0.3343661952018738,0.004103066869218391
37,X50,X17,True,0.993364839553833,0.0006819959707923714
38,X50,X42,False,0.3628043395280838,0.004560452676792506
39,X50,X42,True,0.9998825895786285,1.0848045349255069e-06
40,X50,X66,False,0.8968104362487793,0.0037816892860998543
41,X50,X66,True,0.6939465153217316,0.002444889694825874
42,X50,X82,False,0.4545778542757034,0.0029799871379601567
43,X50,X82,True,0.9999847757816315,6.514604489825796e-07
44,X51,X9,False,0.00011958896546275355,1.609389337080308e-06
45,X51,X9,True,0.3602520453929901,0.004831480756306044
46,X54,X97,False,0.7063884752988815,0.004008122889520951
47,X54,X97,True,0.5531009268760682,0.054618599516190455
48,X61,X10,False,0.5745878159999848,0.007252098014982117
49,X61,X10,True,0.897459859251976,0.0033378855267718888
50,X61,X24,False,0.7500504714250564,0.04113228494972077
51,X61,X24,True,0.9971391201019287,0.000569623921974698
52,X63,X42,False,0.9889600872993469,0.000212788581848133
53,X63,X42,True,0.06559095665812492,0.0005433371489311301
54,X63,X71,False,0.9763137102127075,0.0008703251946904723
55,X63,X71,True,0.06026248723268509,0.00014019377757692057
56,X63,X82,False,0.6833275490999222,0.002974511864744506
57,X63,X82,True,0.03576409554108977,0.00288418523738976
58,X66,X3,False,0.7476362001895904,0.013446096686266396
59,X66,X3,True,0.468462373316288,0.008656139336930813
60,X66,X42,False,0.7159317463636399,0.00310407112486545
61,X66,X42,True,0.47567002952098847,0.02161424637097395
62,X66,X50,False,0.8009765255451202,0.007360647713313052
63,X66,X50,True,0.524368735551834,0.006401390986634669
64,X71,X42,False,0.0005540459172334522,0.0004008752177469432
65,X71,X42,True,0.9952533602714538,5.4745535976002504e-05
66,X71,X63,False,0.9779616516828536,0.0004902628295319618
67,X71,X63,True,0.0642503947019577,0.0041910381980095725
68,X71,X82,False,0.003677194027695805,0.00014687154916373743
69,X71,X82,True,0.9980422830581666,6.766340353582915e-05
70,X71,X9,False,0.2889347529411316,0.005368788422251133
71,X71,X9,True,0.6595431697368622,0.0003469181467227236
72,X76,X3,False,0.21380192577838897,0.000443170618088202
73,X76,X3,True,0.38576435059309006,0.0016387378649224277
74,X82,X17,False,0.0036598754348233344,0.0004590843881203314
75,X82,X17,True,0.4605528461933136,0.014166383047037436
76,X82,X42,False,0.060797456093132494,0.0038636606186628333
77,X82,X42,True,0.17820584893226624,0.10115622049863753
78,X82,X49,False,0.41762719124555586,0.0031555789611443738
79,X82,X49,True,0.015355490250512957,0.0026131738973469727
80,X82,X5,False,0.7067725038528443,0.009776728012188938
81,X82,X5,True,0.003751485478132963,0.0009448911967872859
82,X82,X50,False,0.031710054352879526,0.0005868412554264076
83,X82,X50,True,0.3898323178291321,0.0
84,X82,X63,False,0.6781365275382996,0.015526097769800863
85,X82,X63,True,0.012671400299295784,0.0006686365323538326
86,X82,X71,False,0.17129796743392944,0.0
87,X82,X71,True,0.25740008473396303,0.0015213111228191457
88,X82,X90,False,0.10754565224051475,0.005185312481868859
89,X82,X90,True,0.07902072250843048,0.015011680115897246
90,X9,X42,False,0.6497187894582749,0.0037719045685277643
91,X9,X42,True,0.8799188017845154,0.0007956027984619326
92,X9,X51,False,0.7140152633190155,0.04533237633109853
93,X9,X51,True,0.9964981436729431,0.00015340112745795226
94,X9,X71,False,0.6891571283340454,0.0
95,X9,X71,True,0.8643845891952515,0.0013995680099420438
96,X90,X82,False,0.016013508755713703,0.002211147380902377
97,X90,X82,True,0.9998316955566406,2.3865223041623368e-05
98,X97,X54,False,0.44752199172973633,0.0007810704799015723
99,X97,X54,True,0.17048587799072265,0.026360248639894657
