,target_var,condition_var,condition_val,prob,prob_std
0,X10,X61,False,0.5996353626251221,0.0400310754776001
1,X10,X61,True,0.9639880165457726,0.1050497028635232
2,X17,X50,False,0.0811963677406311,0.0
3,X17,X50,True,0.8757518339157104,0.28596714248470256
4,X17,X82,False,0.21160654723644257,0.023166268252499567
5,X17,X82,True,0.9997442340850831,7.781372472993735e-05
6,X21,X24,False,0.19668201938271523,0.3486607379350548
7,X21,X24,True,0.04727054387331009,0.0
8,X24,X21,False,0.7760990858078003,0.0
9,X24,X21,True,0.772432171702385,0.0009966703313809555
10,X24,X61,False,0.7603996396064758,0.0
11,X24,X61,True,0.7636020314693451,0.0011499047882292444
12,X29,X49,False,0.37671070694923403,0.12299300351790424
13,X29,X49,True,0.8729981291294098,0.10590906451019089
14,X3,X66,False,0.6022039043903351,0.02702433800807515
15,X3,X66,True,0.5189425501227379,0.05473550380356938
16,X3,X76,False,0.7992530897259712,0.15840052771370375
17,X3,X76,True,0.5123346829414368,0.2709691987084186
18,X42,X50,False,0.020436755557311698,0.14061901784968794
19,X42,X50,True,0.9000200784066692,0.3006368777291157
20,X42,X63,False,0.96989503843477,0.17134338330065838
21,X42,X63,True,0.07431493569165468,0.2551922860742046
22,X42,X66,False,0.7606124770641327,0.3489599521102009
23,X42,X66,True,0.6032880264520645,0.4106884789690412
24,X42,X71,False,0.00039233791176229715,0.0
25,X42,X71,True,0.9998125433921814,0.0
26,X42,X82,False,0.029290118142962455,0.009940831431543253
27,X42,X82,True,0.9825461959838867,0.016420873452992594
28,X42,X9,False,0.5101162891380955,0.5020726032531138
29,X42,X9,True,0.7002052035881207,0.4598698470238053
30,X49,X29,False,0.020149346045218407,0.12738728656245468
31,X49,X29,True,0.5038934828201309,0.46381251347725166
32,X49,X82,False,0.2373291328549385,0.010211692756928657
33,X49,X82,True,0.22971475958824158,0.005727527518003394
34,X5,X82,False,0.7637832748889923,0.004986038143983492
35,X5,X82,True,0.735042639374733,0.3129208647761652
36,X50,X17,False,0.276538610458374,0.0
37,X50,X17,True,0.9900681328773498,0.04611578120429438
38,X50,X42,False,0.3014827370643616,0.0
39,X50,X42,True,0.999642014503479,0.0
40,X50,X66,False,0.792721474468708,0.30076182509085203
41,X50,X66,True,0.6537201097607612,0.34765825664547534
42,X50,X82,False,0.40738500237464903,0.022131527230849244
43,X50,X82,True,0.9988949966430664,0.0007927983795381747
44,X51,X9,False,0.3225718140602112,0.0
45,X51,X9,True,0.32029287695884706,0.0011388798378971342
46,X54,X97,False,0.5302789001166821,0.39615133799388513
47,X54,X97,True,0.6063734608888626,0.36877039948828766
48,X61,X10,False,0.5267840623855591,0.04736781120300294
49,X61,X10,True,0.9403377026319504,0.16182632396727656
50,X61,X24,False,0.8772270965576172,0.025734559965432162
51,X61,X24,True,0.9785693055391311,0.0018171131610870295
52,X63,X42,False,0.958209705799818,0.08212077170610427
53,X63,X42,True,0.09733819231390953,0.05933960026411846
54,X63,X71,False,0.9667516946792603,0.0
55,X63,X71,True,0.09105641700327397,0.044343055039644245
56,X63,X82,False,0.9521709787845611,0.008086415074173917
57,X63,X82,True,0.08762080520391465,0.014959817734803383
58,X66,X3,False,0.6297124719619751,0.22347072277327376
59,X66,X3,True,0.4951039618253708,0.23979775525620078
60,X66,X42,False,0.7735225558280945,0.0
61,X66,X42,True,0.36675629019737244,0.0
62,X66,X50,False,0.7340277433395386,0.0
63,X66,X50,True,0.43713015615940093,0.11159200586200448
64,X71,X42,False,0.0002891931217163801,0.0
65,X71,X42,True,0.9997988343238831,0.0
66,X71,X63,False,0.9798668232432101,0.14062827716393297
67,X71,X63,True,0.11333507923176513,0.31322964545837384
68,X71,X82,False,0.03749196026474237,0.010598399276625413
69,X71,X82,True,0.9801116901636123,0.02565366018685967
70,X71,X9,False,0.5800253736850572,0.4957246098272058
71,X71,X9,True,0.6401831542141736,0.4817844516751722
72,X76,X3,False,0.6526246336102486,0.2534410666152826
73,X76,X3,True,0.30919532492756846,0.2063423815500572
74,X82,X17,False,0.020773837342858315,0.0
75,X82,X17,True,0.9147602245211601,0.1677785415156386
76,X82,X42,False,0.004955911077558994,0.0
77,X82,X42,True,0.992410854101181,0.016979420185089116
78,X82,X49,False,0.5834402668476105,0.00041078841758306685
79,X82,X49,True,0.5870643377304077,0.001396675987287565
80,X82,X5,False,0.5119025135040283,0.0844356588132537
81,X82,X5,True,0.6115038597583771,0.21969962722153122
82,X82,X50,False,0.01668058739043772,0.09886467205360533
83,X82,X50,True,0.7865169188380241,0.40369773874373893
84,X82,X63,False,0.9683312057587318,0.1706831527542984
85,X82,X63,True,0.17437272369861603,0.3195239169221479
86,X82,X71,False,0.04626279335469007,0.012007780187281195
87,X82,X71,True,0.9955420345067978,0.0032786866247404263
88,X82,X90,False,0.002317859325557947,0.0
89,X82,X90,True,0.9983826875686646,0.0
90,X9,X42,False,0.619493305683136,0.0
91,X9,X42,True,0.8786061406135559,0.0
92,X9,X51,False,0.8014865440130233,0.0003215347007830738
93,X9,X51,True,0.8014566469192504,0.0005754864907835205
94,X9,X71,False,0.6037982106208801,0.0
95,X9,X71,True,0.8757523894309998,0.0
96,X90,X82,False,0.0743549632653594,0.008731088304961361
97,X90,X82,True,0.9798900991678238,0.025975821155319472
98,X97,X54,False,0.29117073222994805,0.19024595178734427
99,X97,X54,True,0.2713529182970524,0.195364835553441
