,target_var,condition_var,condition_val,prob,prob_std
0,X12,X44,False,0.793340508993715,0.3995453808611243
1,X12,X44,True,0.0005337081383913755,0.0
2,X14,X63,False,0.11463887989521027,0.0
3,X14,X63,True,0.9983924031257629,0.0
4,X14,X88,False,0.999572217464447,0.0
5,X14,X88,True,0.5052151124179364,0.24487766852992068
6,X16,X33,False,0.7930074948072433,0.11869029535269238
7,X16,X33,True,0.2143176645040512,0.0
8,X16,X52,False,0.019371733963489533,0.010854304470164857
9,X16,X52,True,0.8485543727874756,0.0
10,X16,X65,False,0.01750604622066021,0.0
11,X16,X65,True,0.8021699977666139,0.11002441992941438
12,X16,X66,False,0.8635371218621731,0.33530029267555084
13,X16,X66,True,0.04392465226352215,0.09578993211903648
14,X20,X53,False,0.6507821416854859,0.10077773306124563
15,X20,X53,True,0.0864957632869482,0.012080601509190039
16,X21,X55,False,0.6234865081310272,0.3488741157212862
17,X21,X55,True,0.05755061283707619,0.0
18,X21,X79,False,0.20715820476412772,0.297288275712557
19,X21,X79,True,0.9755734801292419,0.0
20,X22,X28,False,0.008654540650895796,0.08577659215661698
21,X22,X28,True,0.9702901440672577,0.1385173538547203
22,X22,X6,False,0.011472446843981743,0.0
23,X22,X6,True,0.7623225435242057,0.2869485059607277
24,X28,X22,False,0.017112847417593002,0.0
25,X28,X22,True,0.996864378452301,0.0
26,X33,X16,False,0.9804601073265076,0.0
27,X33,X16,True,0.3352915076942736,0.4590614938799296
28,X33,X99,False,0.9358190870285035,0.028047621046935423
29,X33,X99,True,0.06179559975862503,0.0
30,X36,X70,False,0.06486800766550005,0.21440709451999498
31,X36,X70,True,0.9261848330497742,0.0
32,X37,X43,False,0.9906400111317635,0.08331689536571503
33,X37,X43,True,0.05970543622970581,0.0
34,X37,X92,False,0.8448049829900265,0.3416671126116731
35,X37,X92,True,0.3949657583236694,0.45552091264928124
36,X37,X95,False,0.9248238092660904,0.2546565706035443
37,X37,X95,True,0.1567844059690833,0.2978080818384763
38,X4,X57,False,0.28865385995537507,0.43197014570102504
39,X4,X57,True,0.9698003567755222,0.13258262537171359
40,X4,X61,False,0.5041181144118309,0.02733486659695674
41,X4,X61,True,0.6802636122703553,0.05226121113508618
42,X43,X37,False,0.9999489784240723,0.0
43,X43,X37,True,0.0004082857631146908,0.0
44,X43,X92,False,0.19658359549939633,0.3948186207173499
45,X43,X92,True,0.5438496301900159,0.4943316037642945
46,X44,X12,False,0.8700742125511169,0.0
47,X44,X12,True,0.003488247417844832,0.0015952554133591664
48,X52,X16,False,0.1899424231192097,0.3808937958958189
49,X52,X16,True,0.9611288448795676,0.13561056738913682
50,X52,X99,False,0.14482991548255086,0.33456203178524807
51,X52,X99,True,0.9773309230804443,0.0
52,X53,X20,False,0.4813735039110907,0.49356219241872995
53,X53,X20,True,0.02912074649876061,0.1664210909482846
54,X55,X21,False,0.7743642926216125,0.0
55,X55,X21,True,0.024236261416226625,0.05671385418793928
56,X57,X4,False,0.0124306620657444,0.025947588860872155
57,X57,X4,True,0.8783831831812858,0.05390262901782991
58,X6,X22,False,0.21646200120449066,0.0
59,X6,X22,True,0.9904154539108276,0.0
60,X61,X4,False,0.08205652162432671,0.016698680818080902
61,X61,X4,True,0.5513244512677192,0.046426863550988816
62,X63,X14,False,0.0031554922461509705,0.0
63,X63,X14,True,0.9307878858968616,0.09301578290760516
64,X63,X79,False,0.8594137572590261,0.34738227869348526
65,X63,X79,True,0.004224496893584728,0.0
66,X65,X16,False,0.34715888381004334,0.06594036817550661
67,X65,X16,True,0.981242002248764,0.10689258454999645
68,X65,X66,False,0.8427149784564972,0.2891173065201555
69,X65,X66,True,0.4003980755805969,0.0
70,X65,X99,False,0.43865020070225,0.469759925072686
71,X65,X99,True,0.9999988079071045,0.0
72,X66,X16,False,0.8832706022262573,0.007166997648437955
73,X66,X16,True,0.10031411474337801,0.26808267211520614
74,X66,X65,False,0.8828745484352112,0.0
75,X66,X65,True,0.21081453561782837,0.0
76,X70,X36,False,0.22147210726514457,0.4146120341262892
77,X70,X36,True,0.997948944568634,0.0
78,X70,X74,False,0.45003869376378136,0.49747475853655493
79,X70,X74,True,0.99693763256073,0.0
80,X74,X70,False,0.06399995744228364,0.030226759140856804
81,X74,X70,True,0.6193696856498718,0.0
82,X79,X21,False,0.008077328093349934,0.0
83,X79,X21,True,0.9113997595850378,0.20846354497622321
84,X79,X63,False,0.8015314608812332,0.02298685908317564
85,X79,X63,True,0.002364456420764327,0.0
86,X88,X14,False,0.9998384714126587,0.0
87,X88,X14,True,0.1564093464612961,0.08520864844322207
88,X92,X37,False,0.8742449283599854,0.0
89,X92,X37,True,0.47253798574209216,0.06717681974018724
90,X92,X43,False,0.44363483220338823,0.054201278151211445
91,X92,X43,True,0.8191196322441101,0.0
92,X95,X37,False,0.77055823802948,0.0
93,X95,X37,True,0.09423279747366906,0.08310333407829487
94,X99,X33,False,0.7639235553145408,0.07656272933315189
95,X99,X33,True,0.20778712630271912,0.0
96,X99,X52,False,0.004554259870201349,0.015645453489295278
97,X99,X52,True,0.8607549667358398,0.0
98,X99,X65,False,0.00035761744948104024,0.0
99,X99,X65,True,0.66577739809989,0.09546559123176042
