Unnamed: 0,var1,var2,distance,mutual_information
3191,X80,X31,3,0.049612637438797
3246,X81,X6,3,0.0493432736177943
4916,X99,X65,4,0.0497383278401883
3767,X87,X26,2,0.1076502750762149
2996,X77,X70,2,0.1071711500877227
720,X38,X17,4,0.0577769196503751
915,X43,X12,3,0.1110866160276598
246,X22,X15,2,0.051518601969205
642,X36,X12,2,0.2505297609096882
1117,X47,X36,2,0.0542060400282948
142,X17,X6,2,0.0710840027411546
2164,X66,X19,3,0.1323812180370354
1301,X51,X26,3,0.0600538651757605
3098,X79,X17,2,0.0693579311576516
386,X28,X8,2,0.0685415206170767
1877,X61,X47,2,0.2075342154262912
2116,X65,X36,3,0.0535366041112174
3997,X89,X81,2,0.0775633479575062
3979,X89,X63,2,0.150601168699182
3576,X85,X6,2,0.0520999564558636
2176,X66,X31,2,0.0422125862086195
729,X38,X26,3,0.1109271786378755
2156,X66,X11,2,0.0819720488776362
4205,X92,X19,2,0.2596556901970698
3284,X81,X44,2,0.0442724698702306
